team,side,position,depth_rank,name,class_year,jersey,ourlads_id
Colorado State Rams,defense,MLB,3,Jaylen King,FR,27,180830
Colorado State Rams,defense,LCB,1,Caleb Presley,RS-JR/TR,0,160211
Colorado State Rams,defense,LCB,2,Richard Mosley III,RS-JR/TR,1,180814
Colorado State Rams,defense,LCB,3,Elijah Brown,JR/TR,6,176331
Colorado State Rams,defense,SS,1,Jace Bellah,RS-SR,12,158330
Colorado State Rams,defense,SS,2,AJ Noland,RS-SO,18,173239
Colorado State Rams,defense,SS,3,Jermaine Santana-Diaz,FR,25,180818
Colorado State Rams,defense,FS,1,Elijah Mc-Cantos,RS-SR/TR,13,152820
Colorado State Rams,defense,FS,2,Tre'Shawn Moore,JR/TR,15,180813
Colorado State Rams,defense,FS,3,Dagan Myers,RS-SO,3,173238
Colorado State Rams,defense,RCB,1,Jordan Lessard,SR/TR,7,180808
Colorado State Rams,defense,RCB,2,CJ Blocker,RS-JR/TR,17,166292
Colorado State Rams,defense,NB,1,Dylan Phelps,RS-JR,4,163706
Colorado State Rams,defense,NB,2,D'Angelo Hagans Jr.,SO,5,178269
Colorado State Rams,special_teams,PT,1,Cavan Craig,RS-SO/TR,99,180799
Colorado State Rams,special_teams,PT,2,Nathan Sutcliffe,RS-SO,39,176125
Colorado State Rams,special_teams,PK,1,Kali Nguma,RS-JR/TR,40,166273
Colorado State Rams,special_teams,PK,2,Casey Carr,RS-FR,36,178265
Colorado State Rams,special_teams,KO,1,Kali Nguma,RS-JR/TR,40,166273
Colorado State Rams,special_teams,KO,2,Casey Carr,RS-FR,36,178265
Colorado State Rams,special_teams,LS,1,Walker Himebauch,SR/TR,56,165292
Colorado State Rams,special_teams,LS,2,Declan McKernan,FR,42,180811
Colorado State Rams,special_teams,H,1,Cavan Craig,RS-SO/TR,99,180799
Colorado State Rams,special_teams,H,2,Nathan Sutcliffe,RS-SO,39,176125
Colorado State Rams,special_teams,PR,1,Jackson Harper,RS-JR/TR,6,163107
Colorado State Rams,special_teams,KR,1,Mel Brown,RS-SR/TR,1,170077
Colorado State Rams,special_teams,KR,2,Terrence Smith Jr.,RS-SO/TR,15,172286
Connecticut Huskies,offense,WR-X,1,Shamar Porter,RS-JR/TR,5,167563
Connecticut Huskies,offense,WR-X,2,Zy'marion Lang,RS-SO/TR,8,170406
Connecticut Huskies,offense,WR-X,3,Javon Brown,RS-SO/TR,19,173121
Connecticut Huskies,offense,WR-X,4,Kamren Flowers,RS-FR/TR,16,178039
Connecticut Huskies,offense,WR-X,5,Logan Barnes,FR,81,182253
Connecticut Huskies,offense,WR-Z,1,Ryder Treadway,SO/TR,11,178050
Connecticut Huskies,offense,WR-Z,2,Cam Abshire,RS-SR/TR,14,176857
Connecticut Huskies,offense,WR-Z,3,Emanuel Ross,RS-SO/TR,18,172463
Connecticut Huskies,offense,WR-Z,4,Drew Kron,RS-JR,85,175691
Connecticut Huskies,offense,WR-SL,1,Ky Wilson,SR/TR,0,182264
Connecticut Huskies,offense,WR-SL,2,JD Willoughby,RS-JR/TR,2,164340
Connecticut Huskies,offense,WR-SL,3,Julian Allen,RS-JR/TR,9,164344
Connecticut Huskies,offense,WR-SL,4,Teddy Williams,RS-JR,17,163111
Connecticut Huskies,offense,WR-SL,5,Daniel Rose,RS-FR,25,178703
Connecticut Huskies,offense,LT,1,Hannes Hammer,RS-JR/TR,67,160158
Connecticut Huskies,offense,LT,2,Dominic Rivera,RS-JR/TR,76,165950
Connecticut Huskies,offense,LT,3,Isiah Switzer,RS-FR/TR,78,178048
Connecticut Huskies,offense,LG,1,Tamarus Walker,RS-JR/TR,56,164472
Connecticut Huskies,offense,LG,2,Fred Johnson,RS-SO/TR,55,170561
Connecticut Huskies,offense,LG,3,Hill Greenlee,RS-FR,75,175690
Connecticut Huskies,offense,C,1,Terrence Moore,RS-SR/TR,58,147485
Connecticut Huskies,offense,C,2,Deron McLaughlin,RS-SO,52,172284
Connecticut Huskies,offense,RG,1,Ty Chan,RS-SR/TR,69,155579
Connecticut Huskies,offense,RG,2,Raphael Greene-Nyarko,RS-FR/TR,73,174918
Connecticut Huskies,offense,RG,3,Ben Mulholland,RS-SO/TR,62,182258
Connecticut Huskies,offense,RT,1,Christian Richter,RS-SR/TR,79,170245
Connecticut Huskies,offense,RT,2,Nathan Pahanich,RS-FR/TR,74,173971
Connecticut Huskies,offense,RT,3,Joe McGann,RS-FR,51,175692
Connecticut Huskies,offense,TE,1,Matt Ragan,RS-SR/TR,86,153443
Connecticut Huskies,offense,TE,2,Alex Godavitarne,RS-SR/TR,80,182254
Connecticut Huskies,offense,TE,3,Mike Burton,RS-SR/TR,42,178684
Connecticut Huskies,offense,TE,4,Xavier Watson,RS-FR,83,175696
Connecticut Huskies,offense,TE,5,Clemens Richter,RS-SO,87,170072
Connecticut Huskies,offense,QB,1,Jake Merklinger,RS-SO/TR,4,169172
Connecticut Huskies,offense,QB,2,Kalieb Osborne,RS-SO/TR,7,170409
Connecticut Huskies,offense,QB,3,Tucker McDonald,RS-JR,12,163108
Connecticut Huskies,offense,QB,4,Tyler Smith,RS-FR,15,178704
Connecticut Huskies,offense,QB,5,Bo Polston,FR,13,182259
Connecticut Huskies,offense,RB,1,Kenji Christian,RS-SR/TR,3,75777
Connecticut Huskies,offense,RB,2,Cyncir Bowers,JR/TR,23,176517
Connecticut Huskies,offense,RB,3,Trey Cornist,RS-JR/TR,6,163629
Connecticut Huskies,offense,RB,4,Dashun Reeder,RS-SO/TR,24,167789
Connecticut Huskies,offense,RB,5,Jaden Hart,JR/TR,22,169256
Connecticut Huskies,defense,LDE,1,Avery Dunn,RS-SR/TR,11,139833
Connecticut Huskies,defense,LDE,2,Anas Luqman,RS-SR/TR,15,175910
Connecticut Huskies,defense,LDE,3,Shamar Riser-Pressley,RS-SO/TR,17,173105
Connecticut Huskies,defense,LDE,4,Odera Orizu,RS-JR/TR,25,166220
Connecticut Huskies,defense,LDT,1,Esean Carter,RS-SR/TR,3,151759
Connecticut Huskies,defense,LDT,2,Tahjae Mullix,RS-SR/TR,2,174034
Connecticut Huskies,defense,RDT,1,Melvin Hills III,RS-SO/TR,95,171325
Connecticut Huskies,defense,RDT,2,Andrew Laurich,RS-JR/TR,55,163700
Connecticut Huskies,defense,RDT,3,Desmond Aladuge,RS-JR/TR,14,161612
Connecticut Huskies,defense,RDE,1,Joshua Mickens,RS-JR/TR,52,161021
Connecticut Huskies,defense,RDE,2,Matt Hoffman,RS-SR,94,159015
Connecticut Huskies,defense,RDE,3,Zakaih Saez,RS-JR/TR,9,160238
Connecticut Huskies,defense,RDE,4,Chamberlain Campbell,RS-JR/TR,97,164486
Connecticut Huskies,defense,WLB,1,K'Von Sherman,SR/TR,0,170411
Connecticut Huskies,defense,WLB,2,Rickey Williams,RS-SO/TR,5,168474
Connecticut Huskies,defense,WLB,3,Kylish Hicks,RS-SR,18,159014
Connecticut Huskies,defense,MLB,1,John Lista,RS-SR/TR,44,182263
Connecticut Huskies,defense,MLB,2,Luke Murphy,RS-SR/TR,20,78431
Connecticut Huskies,defense,MLB,3,Ethan Hogg,RS-SO,19,172282
Connecticut Huskies,defense,LCB,1,Moussa Kane,RS-JR/TR,16,161624
Connecticut Huskies,defense,LCB,2,Ty McKinstry,JR/TR,7,170421
Connecticut Huskies,defense,SS,1,Jayden Davis,RS-SR/TR,10,156711
Connecticut Huskies,defense,SS,2,Jayden Price,RS-FR/TR,13,178043
Connecticut Huskies,defense,SS,3,Saxton Suchanic,RS-FR,12,175694
Connecticut Huskies,defense,FS,1,Braedyn Moore,RS-JR/TR,4,162421
Connecticut Huskies,defense,FS,2,Steve Miller,RS-FR/TR,23,175741
Connecticut Huskies,defense,FS,3,Axavier Bridges-Brooks,RS-FR,22,175684
Connecticut Huskies,defense,RCB,1,Zion Paret,SO/TR,24,174986
Connecticut Huskies,defense,RCB,2,Renick Dorilas,RS-FR/TR,6,175749
Connecticut Huskies,defense,NB,1,Tracy Revels,RS-JR/TR,21,164359
Connecticut Huskies,defense,NB,2,Jalil Martin,RS-SR/TR,22,163870
Connecticut Huskies,special_teams,PT,1,Tommy Warner,SO/TR,49,182260
Connecticut Huskies,special_teams,PT,2,Spencer Sullins,RS-SO/TR,35,171834
Connecticut Huskies,special_teams,PK,1,Mike Baker,RS-SO/TR,89,170694
Connecticut Huskies,special_teams,KO,1,Mike Baker,RS-SO/TR,89,170694
Connecticut Huskies,special_teams,LS,1,David LaGanga,RS-SR/TR,59,175015
Connecticut Huskies,special_teams,LS,2,Tashi Crofut,RS-SO/TR,24,176248
Connecticut Huskies,special_teams,H,1,Tommy Warner,SO/TR,49,182260
Connecticut Huskies,special_teams,H,2,Spencer Sullins,RS-SO/TR,35,171834
Connecticut Huskies,special_teams,PR,1,Julian Allen,RS-JR/TR,9,164344
Connecticut Huskies,special_teams,KR,1,Ky Wilson,SR/TR,0,182264
Connecticut Huskies,special_teams,KR,2,Zy'marion Lang,RS-SO/TR,8,170406
Delaware Fightin' Blue Hens,offense,WR-X,1,Da'Wain Lofton,GR/TR,5,80432
Delaware Fightin' Blue Hens,offense,WR-X,2,Donovan Lewis,RS-JR,14,177194
Delaware Fightin' Blue Hens,offense,WR-X,3,Calvin Thomas,RS-FR,83,177226
Delaware Fightin' Blue Hens,offense,WR-Z,1,Sean Wilson,RS-SO,18,177197
Delaware Fightin' Blue Hens,offense,WR-Z,2,Brandon Rehmann,RS-SO/TR,1,168469
Delaware Fightin' Blue Hens,offense,WR-SL,1,Bryson Graves,SR/TR,0,164640
Delaware Fightin' Blue Hens,offense,WR-SL,2,Nick Tyree,RS-SO,6,177182
Delaware Fightin' Blue Hens,offense,LT,1,Noah Rosahac,RS-SO/TR,75,169261
Delaware Fightin' Blue Hens,offense,LT,2,Dylan Stewart,RS-FR,55,177223
Delaware Fightin' Blue Hens,offense,LG,1,Mustafa Kanneh,RS-SR/TR,67,181286
Delaware Fightin' Blue Hens,offense,LG,2,Tyler Burnham,RS-SO,74,177115
Delaware Fightin' Blue Hens,offense,C,1,Steven Demboski,GR,61,177127
Delaware Fightin' Blue Hens,offense,C,2,Patrick Methlie,GR/TR,59,177213
Delaware Fightin' Blue Hens,offense,RG,1,Anthony Caccese,RS-JR,62,177116
Delaware Fightin' Blue Hens,offense,RG,2,Wahkeem Roman,GR/TR,65,177162
Delaware Fightin' Blue Hens,offense,RT,1,Jack Small,RS-SO/TR,77,170688
Delaware Fightin' Blue Hens,offense,RT,2,Carter Sareyka,RS-SO,60,177165
Delaware Fightin' Blue Hens,offense,TE,1,Elijah Sessoms,GR,88,177169
Delaware Fightin' Blue Hens,offense,TE,2,Scott Moore,SO,40,177214
Delaware Fightin' Blue Hens,offense,TE,3,Josh Humes,SR/TR,12,176263
Delaware Fightin' Blue Hens,offense,TE,4,Jackson Whitacre,RS-SO,85,177187
Delaware Fightin' Blue Hens,offense,QB,1,Nick Minicucci,SR,4,177148
Delaware Fightin' Blue Hens,offense,QB,2,Braden Streeter,RS-SO,16,177178
Delaware Fightin' Blue Hens,offense,QB,3,Riley Trujillo,RS-SO/TR,2,169368
Delaware Fightin' Blue Hens,offense,QB,4,EJ Archield Jr.,RS-FR,11,177199
Delaware Fightin' Blue Hens,offense,RB,1,Jo Silver,GR,27,177196
Delaware Fightin' Blue Hens,offense,RB,2,Viron Ellison Jr.,JR/TR,21,169768
Delaware Fightin' Blue Hens,offense,RB,3,Kaderris Roberts,RS-SR/TR,3,178384
Delaware Fightin' Blue Hens,offense,RB,4,Greg Spiller,RS-SO,26,177175
Delaware Fightin' Blue Hens,defense,LDE,1,Noah Matthews,GR/TR,13,153334
Delaware Fightin' Blue Hens,defense,LDE,2,Kaeden Singleton,RS-SO,44,177173
Delaware Fightin' Blue Hens,defense,LDE,3,Q'yaeir Price,GR/TR,0,80455
Delaware Fightin' Blue Hens,defense,NT,1,Dominick Brogna,GR,52,177113
Delaware Fightin' Blue Hens,defense,NT,2,Dylan Mann,RS-JR/TR,96,170264
Delaware Fightin' Blue Hens,defense,RDE,1,Brandon Gorham,SO,3,177205
Delaware Fightin' Blue Hens,defense,RDE,2,Trace Scott III,RS-SO,33,177166
Delaware Fightin' Blue Hens,defense,RDE,3,James Steel,RS-FR/TR,14,177110
Delaware Fightin' Blue Hens,defense,WLB,1,Colin Gallagher,RS-SO,9,177131
Delaware Fightin' Blue Hens,defense,WLB,2,Julius Puryear,RS-FR,46,177217
Delaware Fightin' Blue Hens,defense,MLB,1,Gavin Moul,SR,35,177149
Delaware Fightin' Blue Hens,defense,MLB,2,Jawarren Corbin,RS-JR/TR,11,177201
Delaware Fightin' Blue Hens,defense,SLB,1,Blake Matthews,GR/TR,10,79210
Delaware Fightin' Blue Hens,defense,SLB,2,Jalen Bell,JR/TR,20,181305
Delaware Fightin' Blue Hens,defense,LCB,1,Jamarion Kolagbodi,SO,18,177209
Delaware Fightin' Blue Hens,defense,LCB,2,Jaquise Alexander,RS-SR/TR,8,181280
Delaware Fightin' Blue Hens,defense,SS,1,Kahlil Ali,RS-JR/TR,2,165847
Delaware Fightin' Blue Hens,defense,SS,2,Nasir Eatmon,SO,36,177203
Delaware Fightin' Blue Hens,defense,FS,1,KT Seay,SR,7,177167
Delaware Fightin' Blue Hens,defense,FS,2,George Mullins,RS-FR/TR,29,174383
Delaware Fightin' Blue Hens,defense,RCB,1,Kshawn Cox Jr.,RS-JR,6,177123
Delaware Fightin' Blue Hens,defense,NB,1,Noah Jefferson,SO,16,177224
Delaware Fightin' Blue Hens,special_teams,PT,1,Josh Cupitt,GR/TR,39,177125
Delaware Fightin' Blue Hens,special_teams,PK,1,Tucker Smack,SR/TR,31,181299
Delaware Fightin' Blue Hens,special_teams,PK,2,Kason Mullis,FR,92,181294
Delaware Fightin' Blue Hens,special_teams,KO,1,Tucker Smack,SR/TR,31,181299
Delaware Fightin' Blue Hens,special_teams,KO,2,Kason Mullis,FR,92,181294
Delaware Fightin' Blue Hens,special_teams,LS,1,Maddox Sills,SO,49,177221
Delaware Fightin' Blue Hens,special_teams,H,1,Josh Cupitt,GR/TR,39,177125
Delaware Fightin' Blue Hens,special_teams,PR,1,Bryson Graves,SR/TR,0,164640
Delaware Fightin' Blue Hens,special_teams,KR,1,Kaderris Roberts,RS-SR/TR,3,178384
Delaware Fightin' Blue Hens,special_teams,KR,2,Brandon Rehmann,RS-SO/TR,1,168469
Duke Blue Devils,offense,WR-X,1,Jared Richardson,GR/TR,17,180318
Duke Blue Devils,offense,WR-X,2,Kavon Simmons,RS-FR,7,174280
Duke Blue Devils,offense,WR-X,3,Brody Keefe,FR,18,180309
Duke Blue Devils,offense,WR-Z,1,Jaivon Solomon,RS-FR,4,174281
Duke Blue Devils,offense,WR-Z,2,Jamien Little,RS-FR,1,174272
Duke Blue Devils,offense,WR-Z,3,Paxon Kettering,RS-SO,88,171268
Duke Blue Devils,offense,WR-SL,1,Javen Nicholas,GR/TR,5,155933
Duke Blue Devils,offense,WR-SL,2,Jayden Moore,RS-SO,8,169271
Duke Blue Devils,offense,WR-SL,3,Qeanu Johnson,RS-FR,21,174267
Duke Blue Devils,offense,LT,1,Nick Del Grande,GR/TR,56,154894
Duke Blue Devils,offense,LT,2,Caleb Dorris,RS-JR,66,161619
Duke Blue Devils,offense,LT,3,Roman Fina,RS-FR,79,174263
Duke Blue Devils,offense,LG,1,Jordan Larsen,RS-SR/TR,64,176874
Duke Blue Devils,offense,LG,2,Micah Sahakian,GR/TR,75,171275
Duke Blue Devils,offense,LG,3,Reagan McCranie,RS-JR,74,161626
Duke Blue Devils,offense,C,1,Matt Craycraft,RS-SR,72,156889
Duke Blue Devils,offense,C,2,Ryan Daly,RS-SO,55,171279
Duke Blue Devils,offense,C,3,Sean Stover,FR,60,180314
Duke Blue Devils,offense,RG,1,Bradley Smith,RS-SO,63,170689
Duke Blue Devils,offense,RG,2,Gemyel Allen,RS-SO,76,170685
Duke Blue Devils,offense,RT,1,Braden Miller,GR/TR,77,157330
Duke Blue Devils,offense,RT,2,Cole Allen,RS-FR,62,174284
Duke Blue Devils,offense,TE,1,Jeremiah Hasley,RS-SR,85,156890
Duke Blue Devils,offense,TE,2,Nate Kurisky,GR/TR,44,155957
Duke Blue Devils,offense,TE,3,Jake Taylor,RS-SR,15,156896
Duke Blue Devils,offense,QB,1,Walker Eget,GR/TR,2,151550
Duke Blue Devils,offense,QB,2,Dan Mahan,RS-FR,10,174273
Duke Blue Devils,offense,QB,3,Terry Walker III,FR,13,180316
Duke Blue Devils,offense,RB,1,Nate Sheppard,SO,20,174279
Duke Blue Devils,offense,RB,2,CJ Campbell,GR/TR,0,78902
Duke Blue Devils,offense,RB,3,Wilhelm Daal II,GR/TR,24,180317
Duke Blue Devils,offense,RB,4,CJ Givers,FR,26,180308
Duke Blue Devils,offense,RB,5,Jayvian Tanelus,FR,22,180315
Duke Blue Devils,defense,LDE,1,Kevin O'Connor,RS-JR,15,161628
Duke Blue Devils,defense,LDE,2,Bryce Davis,SO,12,174285
Duke Blue Devils,defense,LDE,3,Sampson Onuoha,RS-FR,93,174274
Duke Blue Devils,defense,LDT,1,Owen Wafle,RS-SO/TR,91,170987
Duke Blue Devils,defense,LDT,2,Dakota Quiñonez,GR/TR,99,180312
Duke Blue Devils,defense,LDT,3,Julius Columbus,RS-FR,55,174261
Duke Blue Devils,defense,RDT,1,Preston Watson,JR,95,169276
Duke Blue Devils,defense,RDT,2,David Anderson,RS-JR,44,161613
Duke Blue Devils,defense,RDT,3,Bariate Kara,RS-FR,88,174269
Duke Blue Devils,defense,RDE,1,Tyshon Reed Jr.,JR,10,169273
Duke Blue Devils,defense,RDE,2,Semaj Turner,RS-JR,43,161632
Duke Blue Devils,defense,RDE,3,Kobe Smith,RS-SO,18,170693
Duke Blue Devils,defense,WLB,1,Nick Morris Jr.,GR,7,146911
Duke Blue Devils,defense,WLB,2,Kendall Johnson,RS-JR,42,161636
Duke Blue Devils,defense,WLB,3,Will Felder Jr.,RS-FR,30,174262
Duke Blue Devils,defense,MLB,1,Luke Mergott,RS-JR,34,161627
Duke Blue Devils,defense,MLB,2,Bradley Gompers,SO,24,174264
Duke Blue Devils,defense,MLB,3,Elliott Schaper,SO,31,174277
Duke Blue Devils,defense,LCB,1,Kimari Robinson,RS-JR,5,161629
Duke Blue Devils,defense,LCB,2,Dylan Flowers,GR/TR,0,165136
Duke Blue Devils,defense,LCB,3,Evan Smith,GR/TR,4,156814
Duke Blue Devils,defense,SS,1,Andrew Pellicciotta,SO,35,174275
Duke Blue Devils,defense,SS,2,Patrick Smith-Young,GR/TR,2,79633
Duke Blue Devils,defense,FS,1,DaShawn Stone,RS-JR,8,161631
Duke Blue Devils,defense,FS,2,Leon Griffin III,RS-JR,6,161621
Duke Blue Devils,defense,RCB,1,Landan Callahan,RS-SO,3,169267
Duke Blue Devils,defense,RCB,2,Kyon Loud,RS-SO/TR,1,180310
Duke Blue Devils,defense,NB,1,Ché Ojarikre,RS-JR/TR,9,161226
Duke Blue Devils,defense,NB,2,Kaleb Lanier,RS-FR,28,174271
Duke Blue Devils,special_teams,PT,1,Kade Reynoldson,JR,41,169274
Duke Blue Devils,special_teams,PK,1,Cosme Salas,RS-SO,39,171276
Duke Blue Devils,special_teams,PK,2,Ashton Zamani,RS-FR,38,178577
Duke Blue Devils,special_teams,PK,3,Mika Levy,RS-FR/TR,31,181984
Duke Blue Devils,special_teams,KO,1,Cosme Salas,RS-SO,39,171276
Duke Blue Devils,special_teams,KO,2,Ashton Zamani,RS-FR,38,178577
Duke Blue Devils,special_teams,KO,3,Mika Levy,RS-FR/TR,31,181984
Duke Blue Devils,special_teams,LS,1,Jack Yates,RS-SR,27,157419
Duke Blue Devils,special_teams,LS,2,Jack Ronilo,RS-JR,49,166534
Duke Blue Devils,special_teams,LS,3,Jake Fitzgerald,GR/TR,52,177945
Duke Blue Devils,special_teams,H,1,Kade Reynoldson,JR,41,169274
Duke Blue Devils,special_teams,PR,1,Jayden Moore,RS-SO,8,169271
Duke Blue Devils,special_teams,PR,2,Javen Nicholas,GR/TR,5,155933
Duke Blue Devils,special_teams,KR,1,Jayden Moore,RS-SO,8,169271
Duke Blue Devils,special_teams,KR,2,Nate Sheppard,SO,20,174279
East Carolina Pirates,offense,WR-X,1,Landon Sides,SR/TR,7,166274
East Carolina Pirates,offense,WR-X,2,Tyler Johnson,RS-SR/TR,2,152715
East Carolina Pirates,offense,WR-X,3,Dillon Lorick,RS-SO,14,173470
East Carolina Pirates,offense,WR-Z,1,Brock Spalding,RS-SR,10,155528
East Carolina Pirates,offense,WR-Z,2,Jeremiah Melvin,RS-SO/TR,11,168583
East Carolina Pirates,offense,WR-Z,3,Ja'Keith Hamilton,RS-JR/TR,15,180953
East Carolina Pirates,offense,WR-SL,1,Ray Ray Joseph Jr.,RS-JR/TR,1,160372
East Carolina Pirates,offense,WR-SL,2,Jaquaize Pettaway,SR/TR,19,160267
East Carolina Pirates,offense,WR-SL,3,Kyler Pearson,RS-SR/TR,0,69497
East Carolina Pirates,offense,LT,1,Marleo Neolien,RS-JR,66,160966
East Carolina Pirates,offense,LT,2,Zach Caulder,RS-SR/TR,52,176840
East Carolina Pirates,offense,LG,1,Bryce Weaver,RS-JR,71,163357
East Carolina Pirates,offense,LG,2,Kendall Walton,RS-FR,69,176852
East Carolina Pirates,offense,LG,3,Tre Hardison,RS-SR,68,157660
East Carolina Pirates,offense,C,1,Brandon Best,RS-SR/TR,58,153968
East Carolina Pirates,offense,C,2,Jeremiah Williams,RS-JR/TR,74,176854
East Carolina Pirates,offense,RG,1,Ethan Kramer,RS-SR/TR,55,180956
East Carolina Pirates,offense,RT,1,Hayes Creel,RS-SR/TR,75,176158
East Carolina Pirates,offense,TE,1,Kanen Hamlett,RS-SR/TR,6,156356
East Carolina Pirates,offense,TE,2,Ismael Smith Flores,RS-JR/TR,8,162158
East Carolina Pirates,offense,TE,3,Mason Brown,RS-JR,45,166230
East Carolina Pirates,offense,QB,1,Mitch Griffis,RS-SR/TR,12,79496
East Carolina Pirates,offense,QB,2,Emory Williams,RS-JR/TR,9,162096
East Carolina Pirates,offense,QB,3,Cole Hodge,RS-FR,7,174949
East Carolina Pirates,offense,QB,4,Trey Burke,FR,13,180949
East Carolina Pirates,offense,RB,1,Ashton Gray,RS-SO/TR,3,170582
East Carolina Pirates,offense,RB,2,Michael Allen,RS-SR/TR,21,78486
East Carolina Pirates,offense,RB,3,TJ Engleman Jr.,RS-SO,4,168827
East Carolina Pirates,offense,RB,4,DeJuan Lacy,RS-SO/TR,5,174952
East Carolina Pirates,defense,DE,1,Jasiyah Robinson,RS-SR/TR,0,151393
East Carolina Pirates,defense,DE,2,Kieran Davis,RS-JR,5,163356
East Carolina Pirates,defense,DE,3,Evan Powell,RS-FR,50,176850
East Carolina Pirates,defense,DE,4,Jacoby Martin,RS-SO,97,173471
East Carolina Pirates,defense,NT,1,Preston Carr,RS-SR,44,157654
East Carolina Pirates,defense,NT,2,Javon Williams,RS-SO,94,173485
East Carolina Pirates,defense,NT,3,Dominick Moody,RS-FR,55,176849
East Carolina Pirates,defense,DT,1,Rion Roseborough,RS-JR/TR,88,174958
East Carolina Pirates,defense,DT,2,Torin Brazell,RS-SO,98,173459
East Carolina Pirates,defense,DT,3,Josiah Dwyer,RS-FR,90,174948
East Carolina Pirates,defense,RUSH,1,Julien Davis,RS-JR,42,163460
East Carolina Pirates,defense,RUSH,2,Kendrick DuJour,RS-SR/TR,9,170660
East Carolina Pirates,defense,RUSH,3,Landon Lewis,RS-FR,35,174953
East Carolina Pirates,defense,RUSH,4,Dylon Worthen,RS-FR,40,174963
East Carolina Pirates,defense,WLB,1,Crews Law,RS-SO/TR,10,171230
East Carolina Pirates,defense,WLB,2,Jordan Miles,SO,43,176848
East Carolina Pirates,defense,WLB,3,Cade Law,RS-SR/TR,20,165652
East Carolina Pirates,defense,MLB,1,DJ Johnson Jr.,RS-JR,11,163459
East Carolina Pirates,defense,MLB,2,Jackson Barker,RS-SR,1,157651
East Carolina Pirates,defense,MLB,3,Jayden Olden,RS-SO,41,173474
East Carolina Pirates,defense,LCB,1,Jaylen Bowden,SR/TR,2,174353
East Carolina Pirates,defense,LCB,2,Rae'mon Mosby,RS-SO/TR,17,170558
East Carolina Pirates,defense,LCB,3,Derrion Horsley,RS-FR,14,174951
East Carolina Pirates,defense,SS,1,Ayden Duncanson,RS-JR/TR,13,165647
East Carolina Pirates,defense,SS,2,Myles Pollard,RS-SR/TR,12,152749
East Carolina Pirates,defense,SS,3,Josh Benton,RS-SR,23,157653
East Carolina Pirates,defense,FS,1,Zyeir Gamble,RS-JR/TR,3,161410
East Carolina Pirates,defense,FS,2,Kamaurri McKinley,RS-JR,8,163509
East Carolina Pirates,defense,RCB,1,Ashton Levells-Mitchell,RS-SR/TR,7,169876
East Carolina Pirates,defense,RCB,2,Jonathan Akins,RS-JR/TR,21,164460
East Carolina Pirates,defense,RCB,3,Angelo Ross,RS-FR,22,176856
East Carolina Pirates,defense,NB,1,Christian Peterson,JR/TR,15,169364
East Carolina Pirates,defense,NB,2,Kevon Merrell,JR,4,168831
East Carolina Pirates,defense,NB,3,Alex Moye,RS-SO,26,173472
East Carolina Pirates,special_teams,PT,1,Tomas O'Halloran,RS-SO,48,173473
East Carolina Pirates,special_teams,PT,2,Elliot Huether,SR/TR,83,180955
East Carolina Pirates,special_teams,PK,1,Andrew Conrad,RS-SR,95,155520
East Carolina Pirates,special_teams,PK,2,Noah Perez,RS-SR/TR,43,158780
East Carolina Pirates,special_teams,PK,3,Everett Scott,JR,93,173477
East Carolina Pirates,special_teams,KO,1,Andrew Conrad,RS-SR,95,155520
East Carolina Pirates,special_teams,KO,2,Everett Scott,JR,93,173477
East Carolina Pirates,special_teams,KO,3,Noah Perez,RS-SR/TR,43,158780
East Carolina Pirates,special_teams,LS,1,Blake Shirley,RS-SR/TR,53,183914
East Carolina Pirates,special_teams,LS,2,Cole Walker,RS-SO,51,173482
East Carolina Pirates,special_teams,H,1,Tomas O'Halloran,RS-SO,48,173473
East Carolina Pirates,special_teams,H,2,Elliot Huether,SR/TR,83,180955
Eastern Michigan Eagles,offense,WR-X,1,Nick Devereaux,GR/TR,2,155395
Eastern Michigan Eagles,offense,WR-X,2,Dalin Wilkins,RS-SO,86,170460
Eastern Michigan Eagles,offense,WR-Z,1,Harold Mack,SO,5,175224
Eastern Michigan Eagles,offense,WR-Z,2,Antonio Floyd,RS-SO,11,170439
Eastern Michigan Eagles,offense,WR-Z,3,Kozy Isaac,RS-FR,85,174559
Eastern Michigan Eagles,offense,WR-H,1,Benson Prosper,RS-SR/TR,3,175228
Eastern Michigan Eagles,offense,WR-H,2,Carl Jean-Bart,FR,89,183205
Eastern Michigan Eagles,offense,LT,1,Tyler Brumfield,RS-SR/TR,71,174360
Eastern Michigan Eagles,offense,LT,2,Cole Powell,RS-FR,77,175227
Eastern Michigan Eagles,offense,LG,1,Guzzy Kayed,RS-JR/TR,55,183208
Eastern Michigan Eagles,offense,LG,2,Dennis Strey Jr.,GR,78,155790
Eastern Michigan Eagles,offense,C,1,Nicholas Gallegos,GR,65,155778
Eastern Michigan Eagles,offense,C,2,Richardo Wourman,RS-SO/TR,52,183232
Eastern Michigan Eagles,offense,C,3,Chad Troxler,SO/TR,56,183229
Eastern Michigan Eagles,offense,RG,1,Cole Dellinger,RS-JR/TR,72,161101
Eastern Michigan Eagles,offense,RG,2,Nily Taylor,FR,76,183227
Eastern Michigan Eagles,offense,RT,1,Tyler McMillan,GR/TR,68,176357
Eastern Michigan Eagles,offense,RT,2,Samuel Adjin,FR,70,183189
Eastern Michigan Eagles,offense,TE-Y,1,Joshua Long,JR/TR,9,178504
