player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Micah Alejado,184162,QB,HAWAII,3,71.0,124,138,7.7,2.8,5,2,1.4,59.4,82,0,48,6.8,153,6,-0.03,41,180,45.2,66.6,71.1,35.0,1,1,157,0,43.8,18.8,77.4,5.9,9,6,0,8,2,4,2.5,793,5.7
Noah Kim,129623,QB,E MICHIGAN,3,71.9,96,108,7.5,2.54,3,2,1.8,62.0,67,0,33,2.9,118,2,-0.29,22,160,47.4,54.1,53.2,60.4,0,1,122,2,39.0,18.2,81.4,5.1,6,4,0,9,3,6,4.9,576,5.3
Luke Weaver,198494,QB,S JOSE ST,3,78.1,96,106,10.5,2.72,2,7,6.4,62.3,66,0,25,12.0,120,9,0.23,40,285,45.5,78.3,85.3,52.4,2,1,125,3,48.3,8.0,106.2,1.7,2,12,1,5,8,4,3.2,788,7.4
Trey Hedden,185848,QB,NEW MEX ST,3,62.8,94,99,13.2,2.51,2,7,6.7,56.6,56,0,28,5.1,108,3,0.11,32,242,38.5,66.5,72.0,37.6,1,3,113,2,40.7,14.3,86.3,3.7,4,5,0,2,5,6,5.3,781,7.9
Braden Atkinson,201350,QB,OREGON ST,2,72.0,93,98,11.5,2.66,2,4,3.8,60.2,59,0,32,11.9,106,8,0.11,34,265,72.7,77.6,75.0,63.6,1,1,114,0,40.2,18.8,91.3,5.7,6,2,0,2,3,3,2.7,779,7.9
Drew Mestemaker,190616,QB,OKLA STATE,2,67.8,87,93,7.3,2.92,1,3,3.1,59.1,55,0,32,6.8,101,4,-0.12,30,262,55.2,65.3,60.6,72.8,2,4,105,1,46.5,6.3,69.2,2.0,2,6,0,3,3,5,4.8,558,6.0
Max Johnson,124099,QB,GA SOUTHRN,2,68.7,83,86,7.9,2.3,0,1,1.1,64.0,55,0,20,3.5,91,2,-0.12,24,174,25.3,43.5,43.7,54.4,0,0,96,0,39.6,20.0,88.6,4.4,4,1,0,3,2,6,6.3,525,6.1
JJ Kohl,174674,QB,FIU,2,71.4,77,86,8.6,2.57,0,1,1.1,60.5,52,0,30,5.5,92,3,0.19,28,166,54.1,73.2,74.4,50.5,4,2,96,2,50.0,3.3,90.6,1.1,1,5,0,5,4,1,1.0,668,7.8
Jayden Maiava,158135,QB,USC,3,83.1,83,85,7.3,2.57,0,3,3.4,78.8,67,0,14,2.9,88,2,0.64,48,326,72.5,90.7,90.8,57.4,0,1,90,1,70.5,0.0,144.9,0.0,0,2,1,1,10,2,2.2,896,10.5
Jackson Arnold,173684,QB,UNLV,3,78.4,74,85,9.5,3.0,4,2,2.2,60.0,51,0,45,12.1,104,7,-0.11,28,325,53.1,74.5,69.1,70.2,2,0,113,1,42.3,24.4,89.4,10.6,11,8,2,3,2,4,3.5,601,7.1
Caden Veltkamp,156642,QB,FAU,2,80.5,77,84,8.8,2.45,4,3,3.3,72.6,61,0,24,1.6,92,1,0.27,31,165,34.7,75.9,80.2,46.6,1,2,99,1,47.8,20.8,109.2,5.4,5,3,0,2,6,4,4.0,660,7.9
Landyn Locke,199937,QB,SM HOUSTON,2,83.3,72,82,7.0,2.76,2,5,5.8,65.9,54,0,37,10.0,92,6,0.1,25,281,52.7,67.3,72.1,45.6,2,1,97,4,44.6,16.2,105.3,6.5,6,4,1,5,5,4,4.1,651,7.9
Steve Angeli,156966,QB,SYRACUSE,2,67.6,71,79,11.7,2.65,1,4,4.8,55.7,44,0,28,8.3,86,4,-0.06,26,304,51.8,65.9,67.5,43.6,4,3,92,2,43.0,17.9,79.6,5.8,5,2,0,3,4,6,6.5,570,7.2
Davis Warren,73940,QB,STANFORD,2,74.3,70,76,10.9,2.71,1,2,2.4,56.6,43,0,18,17.3,80,9,-0.05,23,300,71.7,79.4,81.8,56.2,1,0,86,3,40.0,5.6,82.3,1.3,1,3,0,4,1,0,0.0,524,6.9
Demond Williams Jr.,183648,QB,WASHINGTON,2,77.1,70,76,7.8,2.96,3,1,1.3,65.8,50,0,31,7.4,90,4,0.08,29,340,72.9,69.6,70.3,63.6,1,0,94,2,53.3,6.5,89.6,2.2,2,12,0,2,1,1,1.1,517,6.8
Caden Creel,170414,QB,JVILLE ST,3,80.3,71,75,7.6,2.75,2,3,3.7,68.0,51,0,14,10.5,89,6,0.35,27,196,51.7,66.9,69.7,57.4,0,2,98,0,58.4,21.4,111.5,3.4,3,11,0,2,6,3,3.1,669,8.9
Jaron-Keawe Sagapolutele,198237,QB,CAL,2,71.4,70,75,9.3,2.58,2,7,8.6,60.0,45,0,19,10.0,80,5,-0.1,22,130,51.4,77.0,75.7,62.8,1,2,87,1,36.3,21.1,83.9,5.0,4,1,0,2,4,3,3.4,453,6.0
Roman Gagliano,183961,QB,MIDDLE TN,2,73.9,69,73,7.7,2.52,2,0,0.0,61.6,45,0,16,11.8,77,6,0.08,26,224,51.4,57.6,57.8,59.7,1,1,82,1,48.1,0.0,91.3,0.0,0,4,0,1,4,2,2.4,443,6.1
Malik Washington,198729,QB,MARYLAND,2,77.5,71,72,5.6,2.57,0,3,3.9,73.6,53,0,13,3.6,78,2,0.3,27,215,71.5,86.9,86.2,63.2,0,0,82,0,52.6,15.4,108.2,2.6,2,4,0,1,3,0,0.0,533,7.4
Drake Lindsey,184727,QB,MINNESOTA,2,76.8,69,72,7.9,2.59,0,1,1.3,69.4,50,0,10,5.7,75,3,0.15,23,225,71.4,73.7,72.5,62.3,0,0,80,0,52.0,20.0,95.8,2.7,2,1,0,3,1,1,1.3,539,7.5
Ryan Browne,174949,QB,PURDUE,2,83.6,67,72,7.3,2.61,2,1,1.3,76.4,55,0,21,1.8,80,1,0.41,33,273,56.7,82.4,88.0,42.7,1,0,84,1,60.0,14.3,121.6,3.8,3,5,0,2,4,1,1.2,646,9.0
Mason Heintschel,199088,QB,PITTSBURGH,2,78.8,66,70,9.8,2.92,0,6,8.3,70.0,49,0,15,5.8,76,3,0.47,29,268,73.5,86.2,86.8,63.7,1,0,80,1,56.6,13.3,133.3,2.6,2,4,0,3,7,2,2.5,665,9.5
Owen McCown,157688,QB,UTSA,2,78.5,65,69,7.4,2.4,1,1,1.3,72.5,50,0,28,2.0,77,1,0.13,23,331,71.6,62.2,64.2,51.9,0,0,85,0,51.9,7.1,111.3,2.6,2,4,0,3,4,3,3.5,489,7.1
KJ Jackson,184386,QB,ARKANSAS,2,69.8,63,69,7.0,2.74,4,1,1.3,55.1,38,0,20,13.6,78,6,-0.1,24,111,73.6,60.7,56.1,69.7,1,2,86,1,44.9,20.0,74.9,5.1,4,5,0,1,3,3,3.5,406,5.9
Nathan Hayes,162204,QB,N DAK ST,3,72.7,66,67,9.8,2.46,0,2,2.7,70.1,47,0,20,2.1,72,1,0.3,29,250,74.3,69.6,64.4,73.9,1,2,79,1,58.3,15.0,115.1,4.2,3,2,0,0,6,2,2.5,598,8.9
Marcus Stokes,180185,QB,MEMPHIS,3,73.0,63,67,14.0,2.65,0,3,4.1,65.7,44,1,24,4.3,77,2,0.31,31,218,74.4,67.8,64.5,65.9,1,3,85,1,51.9,16.7,112.5,5.2,4,6,1,2,5,4,4.7,795,11.9
Sam Leavitt,175465,QB,LSU,2,75.8,62,66,9.8,2.9,3,3,4.4,62.1,41,0,23,12.8,82,6,0.05,30,211,73.1,88.7,78.1,86.7,0,4,85,0,50.0,26.1,74.9,7.3,6,10,0,1,2,1,1.2,574,8.7
Dante Moore,173983,QB,OREGON,2,76.3,59,65,8.0,2.63,0,2,3.0,64.6,42,0,19,6.7,73,3,0.02,19,264,71.0,69.9,74.0,47.5,0,0,77,1,39.2,26.3,118.0,6.8,5,3,0,6,5,2,2.6,569,8.8
