player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Jaylen Raynor,172203,QB,ARK STATE,12,69.9,372,391,9.7,2.72,8,16,3.8,61.9,242,0,151,6.9,468,18,0.02,143,113,77.7,76.6,74.0,67.0,1,9,497,0,43.4,18.5,83.3,6.0,28,47,0,10,14,17,3.4,2564,6.6
Devon Dampier,171556,QB,NEW MEXICO,12,66.9,369,391,11.9,2.84,2,20,4.7,57.5,225,0,98,8.9,435,22,0.14,145,241,56.9,89.9,78.9,86.5,2,12,473,4,49.0,4.1,76.9,0.9,4,40,0,18,12,10,2.1,2761,7.1
Tyler Shough,83537,QB,LOUISVILLE,12,75.1,354,391,9.7,2.93,2,21,5.1,62.1,243,0,150,8.6,424,23,0.23,148,210,72.6,87.4,87.7,56.0,3,6,446,3,46.7,9.3,101.1,3.3,14,18,1,31,23,8,1.8,3191,8.2
Ben Finley,122864,QB,AKRON,12,65.9,364,390,9.4,2.7,7,16,3.9,54.6,213,0,150,11.3,436,27,-0.02,120,102,51.2,61.6,62.4,54.3,2,9,459,5,38.1,16.7,79.6,5.7,25,21,1,16,16,15,3.3,2620,6.7
Fernando Mendoza,158323,QB,CAL,11,75.5,367,390,8.4,2.6,3,12,2.9,67.9,265,0,156,4.3,460,12,0.16,156,130,62.3,77.4,75.7,66.3,7,6,490,4,48.7,25.6,98.1,8.7,40,28,2,11,16,17,3.5,3004,7.7
Rocco Becht,157567,QB,IOWA STATE,12,68.7,348,389,9.8,2.65,13,15,3.6,58.6,228,0,131,4.6,436,11,0.18,156,193,76.1,72.5,65.9,78.3,0,8,465,3,46.1,11.5,91.8,3.4,15,30,4,24,20,19,4.1,3015,7.8
Brendan Sorsby,156398,QB,CINCINNATI,12,71.8,369,388,9.1,2.82,2,9,2.2,63.9,248,0,112,6.4,435,17,0.1,156,138,64.0,77.0,73.2,70.8,3,7,455,1,48.3,15.2,93.5,3.9,17,30,0,14,18,13,2.9,2813,7.3
Dylan Raiola,183581,QB,NEBRASKA,12,73.2,354,383,8.0,2.76,5,16,3.9,65.8,252,0,130,2.7,423,7,-0.04,123,238,40.3,71.5,71.0,53.7,2,10,453,3,41.8,18.5,84.7,5.7,24,13,2,20,12,11,2.4,2592,6.8
Dillon Gabriel,86272,QB,OREGON,12,81.4,361,377,7.0,2.72,3,14,3.5,72.9,275,0,103,6.5,405,19,0.29,160,264,74.4,88.3,87.0,65.4,4,6,427,2,53.8,10.7,113.6,2.7,11,17,2,7,24,6,1.4,3272,8.7
JC French IV,162521,QB,GA SOUTHRN,12,75.0,352,377,7.8,2.63,4,16,3.9,65.8,248,0,123,6.1,438,16,0.04,133,174,24.9,68.1,66.8,62.4,2,7,476,2,43.8,19.5,92.3,5.5,24,35,1,18,16,18,3.8,2627,7.0
Max Brosmer,105568,QB,MINNESOTA,12,78.0,345,377,8.6,2.75,8,12,3.0,66.3,250,0,114,7.1,426,19,0.07,137,225,62.3,84.3,84.3,59.3,3,5,444,1,47.2,22.8,95.5,6.1,26,23,3,18,17,7,1.6,2590,6.9
