name,team,number,position,side,off_grade_off,off_grade_pass,off_grade_run,off_grade_recv,off_grade_pblk,off_grade_rblk,off_snaps_off,off_snaps_pass,off_snaps_run,off_snaps_recv,off_snaps_pblk,off_snaps_rblk,def_grade_def,def_grade_rdef,def_grade_prush,def_grade_cov,def_snaps_def,def_snaps_rdef,def_snaps_prush,def_snaps_cov,height,weight
Elijah Hughes,NOTRE DAME,56,DT,Defense,,,,,,,,,,,,,75.5,74.4,71.1,59.4,264,119,144,1,"6' 3""",295
Francis Brewu,NOTRE DAME,7,DT,Defense,,,,,,,,,,,,,78.4,77,74,,484,249,235,,"6' 1""",285
Guerby Lambert,NOTRE DAME,76,OG,Offense,63.3,,,,64.7,62.7,684,,,,329,355,,,,,,,,,"6' 7""",325
Jaiden Ausberry,NOTRE DAME,4,LB,Defense,,,,,,,,,,,,,64.2,66.2,66.9,59.2,437,174,71,192,"6' 1""",226
Jared Dawson,NOTRE DAME,93,DT,Defense,,,,,,,,,,,,,79.8,80.2,75.2,60,323,141,182,0,"6' 1""",288
Jason Onye,NOTRE DAME,47,DT,Defense,,,,,,,,,,,,,78.2,74.6,78.3,62.1,354,171,183,0,"6' 5""",295
Jayden Sanders,NOTRE DAME,12,CB,Defense,,,,,,,,,,,,,75.2,68.6,60,75,303,119,1,183,"6' 0""",195
Jaylen Sneed,NOTRE DAME,3,LB,Defense,,,,,,,,,,,,,69.7,67.7,73.1,64.8,313,123,62,128,"6' 1""",227
Joe Otting,NOTRE DAME,64,C,Offense,64.2,,,,69.5,62.0,380,,,,174,206,,,,,,,,,"6' 4""",309
Jordan Faison,NOTRE DAME,6,WR,Offense,75.7,75.4,60.0,77.0,64.6,62.7,583,1,0,298,1,283,,,,,,,,,"5' 11""",185
Leonard Moore,NOTRE DAME,15,CB,Defense,,,,,,,,,,,,,91.8,69.6,53.2,92.5,632,230,3,399,"6' 2""",197
Mark Zackery IV,NOTRE DAME,24,CB,Defense,,,,,,,,,,,,,71.3,63.2,66.9,70.7,307,119,0,188,"5' 10""",190
Sullivan Absher,NOTRE DAME,75,OG,Offense,64.1,,,,71.1,62.6,327,,,,161,166,,,,,,,,,"6' 7""",320
Ty Washington,NOTRE DAME,7,TE,Offense,47.0,,,60.4,40.5,43.6,244,,,56,33,155,,,,,,,,,"6' 4""",253
Aidan Chiles,NWESTERN,0,QB,Offense,63.4,56.6,73.0,27.1,,60.1,479,261,42,2,,174,,,,,,,,,"6' 4""",220
Alex Honig,NWESTERN,86,TE,Offense,69.1,,62.7,64.7,71.6,63.7,479,,1,121,99,258,,,,,,,,,"6' 6""",275
Blake Van Buren,NWESTERN,83,TE,Offense,60.4,,,44.3,59.4,64.9,245,,,28,41,176,,,,,,,,,"6' 4""",250
Braden Turner,NWESTERN,9,CB,Defense,,,,,,,,,,,,,79,63.1,66.3,83.9,593,267,19,307,"5' 11""",195
