name,team,number,position,side,off_grade_off,off_grade_pass,off_grade_run,off_grade_recv,off_grade_pblk,off_grade_rblk,off_snaps_off,off_snaps_pass,off_snaps_run,off_snaps_recv,off_snaps_pblk,off_snaps_rblk,def_grade_def,def_grade_rdef,def_grade_prush,def_grade_cov,def_snaps_def,def_snaps_rdef,def_snaps_prush,def_snaps_cov,height,weight
Alec Falk,AIR FORCE,75,OG,Offense,60.8,,,,37.8,61.1,539,,,,132,407,,,,,,,,,"6' 5""",315
Alexander Perez,AIR FORCE,26,S,Defense,,,,,,,,,,,,,55.4,50,57.4,58.4,349,133,19,197,"5' 10""",200
Blake Fletcher,AIR FORCE,6,LB,Defense,,,,,,,,,,,,,63.4,71.4,67.6,52.3,702,317,71,314,"6' 1""",230
Dallas Daley,AIR FORCE,8,LB,Defense,,,,,,,,,,,,,64.7,64.6,74,58.8,407,181,43,183,"6' 1""",215
Isaac Hubert,AIR FORCE,30,EDGE,Defense,,,,,,,,,,,,,77.3,73.6,74.6,66.1,564,254,272,38,"6' 1""",225
Korey Johnson,AIR FORCE,2,CB,Defense,,,,,,,,,,,,,58.5,66.6,50,57.6,464,218,3,243,"6' 0""",195
Liam Szarka,AIR FORCE,9,QB,Offense,80.6,71.0,74.9,57.8,,60.0,574,143,180,1,,250,,,,,,,,,"5' 11""",190
Mikhail Seiken,AIR FORCE,4,CB,Defense,,,,,,,,,,,,,54.1,58.5,60,52.8,467,213,2,252,"5' 11""",190
Nick Beckwith,AIR FORCE,7,S,Defense,,,,,,,,,,,,,44.9,57.5,53.9,38.8,324,151,22,151,"6' 0""",205
Owen Allen,AIR FORCE,2,RB,Offense,73.3,,75.3,31.5,66.9,55.1,390,,132,18,58,182,,,,,,,,,"5' 11""",215
Payton Zdroik,AIR FORCE,96,DT,Defense,,,,,,,,,,,,,90.4,79,92.2,64.3,515,230,284,1,"6' 0""",275
Roger Jones Jr.,AIR FORCE,5,S,Defense,,,,,,,,,,,,,60.1,74.6,53.2,51.7,719,328,14,377,"5' 10""",184
TJ Tarascio,AIR FORCE,58,OG,Offense,61.8,,,,50.3,62.8,273,,,,83,190,,,,,,,,,"6' 3""",310
Aamii Branch,AKRON,9,CB,Defense,,,,,,,,,,,,,58.6,69.6,58.2,54.8,294,114,28,152,"5' 10""",180
Alex Branch,AKRON,3,S,Defense,,,,,,,,,,,,,55.3,56.4,57.6,54.6,304,130,24,150,"6' 0""",190
Amarie Archer,AKRON,55,OG,Offense,62.1,,,,53.9,62.6,421,,,,239,182,,,,,,,,,"6' 3""",300
Caiden Newsome,AKRON,17,CB,Defense,,,,,,,,,,,,,54.2,63,64,52.7,410,189,1,220,"6' 0""",180
Cameron Monteiro,AKRON,12,WR,Offense,51.0,,,51.4,61.1,49.4,245,,,130,1,114,,,,,,,,,"6' 1""",190
Colin Lyons,AKRON,72,C,Offense,65.6,,,,66.2,67.8,644,,,,360,284,,,,,,,,,"6' 3""",295
Conner Cravaack,AKRON,85,TE,Offense,56.0,,,51.2,60.6,63.4,522,,,227,57,238,,,,,,,,,"6' 4""",245
Cyrus Durham,AKRON,1,EDGE,Defense,,,,,,,,,,,,,64.7,62.3,70.1,64.8,699,331,336,32,"6' 3""",245
Jordan Gant,AKRON,1,RB,Offense,75.7,,80.4,52.6,43.4,51.3,614,,212,206,155,41,,,,,,,,,"5' 10""",205
Kyan Mason,AKRON,3,WR,Offense,73.6,,,75.2,,52.9,320,,,198,,122,,,,,,,,,"5' 9""",155
Marcel Williams,AKRON,2,WR,Offense,75.1,74.6,,75.9,,58.7,557,1,,318,,238,,,,,,,,,"5' 11""",200
Miles Burris,AKRON,4,WR,Offense,55.6,,,54.6,61.0,66.7,352,,,207,1,144,,,,,,,,,"6' 3""",205
Rodrick Hunter,AKRON,13,S,Defense,,,,,,,,,,,,,60.5,48.5,66.3,64.9,292,123,8,161,"5' 11""",190
Vaughn Highland,AKRON,52,DT,Defense,,,,,,,,,,,,,80.7,82,68.8,63.5,386,200,186,0,"6' 1""",315
Bray Hubbard,ALABAMA,18,S,Defense,,,,,,,,,,,,,84.1,90.4,61.2,82.6,816,343,43,430,"6' 2""",215
Caleb Woodson,ALABAMA,7,LB,Defense,,,,,,,,,,,,,60.1,62.5,74.4,53.7,378,200,27,151,"6' 3""",240
Carmelo O'neal,ALABAMA,28,CB,Defense,,,,,,,,,,,,,68.5,62,93.4,66.3,767,310,6,451,"6' 4""",210
Daniel Hill,ALABAMA,4,RB,Offense,66.0,60.6,71.6,59.6,34.3,54.2,344,1,76,188,56,23,,,,,,,,,"6' 1""",236
Desmond Umeozulu,ALABAMA,9,EDGE,Defense,,,,,,,,,,,,,64.9,66.6,59.7,59.9,331,162,161,8,"6' 6""",255
Dijon Lee Jr.,ALABAMA,5,CB,Defense,,,,,,,,,,,,,79.4,66.6,,80.2,586,236,,350,"6' 4""",202
Edric Hill,ALABAMA,94,DT,Defense,,,,,,,,,,,,,72.2,73.7,62.8,63.6,347,152,193,2,"6' 3""",292
Kadyn Proctor,ALABAMA,74,OT,Offense,89.7,,,,72.6,89.0,823,,,,477,346,,,,,,,,,"6' 7""",360
Kaleb Edwards,ALABAMA,81,TE,Offense,51.6,,,53.3,51.8,50.8,369,,,184,44,141,,,,,,,,,"6' 6""",264
Keon Sabb,ALABAMA,3,S,Defense,,,,,,,,,,,,,81.2,71,69,83.7,821,346,35,440,"6' 1""",208
London Simmons,ALABAMA,90,DT,Defense,,,,,,,,,,,,,69.3,75.6,57.2,58.6,266,120,146,0,"6' 3""",300
Lotzeir Brooks,ALABAMA,3,WR,Offense,68.1,,68.8,69.8,,41.5,374,,5,258,,111,,,,,,,,,"5' 9""",193
Noah Rogers,ALABAMA,5,WR,Offense,65.1,,,64.9,61.9,62.9,532,,,331,1,200,,,,,,,,,"6' 2""",201
Racin Delgatty,ALABAMA,55,C,Offense,67.2,,,,79.9,62.2,772,,,,460,312,,,,,,,,,"6' 3""",305
Red Morgan,ALABAMA,6,CB,Defense,,,,,,,,,,,,,63.1,70.9,55.2,60.6,355,157,16,182,"6' 0""",191
Rico Scott,ALABAMA,7,WR,Offense,56.0,,,57.2,61.1,45.8,258,,,156,1,101,,,,,,,,,"6' 0""",198
Ryan Coleman-Williams,ALABAMA,1,WR,Offense,66.5,,67.6,66.0,,58.5,573,,2,392,,179,,,,,,,,,"6' 0""",184
Tim Keenan III,ALABAMA,96,DT,Defense,,,,,,,,,,,,,71.5,73.7,63,59.1,400,196,202,2,"6' 2""",320
Yhonzae Pierre,ALABAMA,0,EDGE,Defense,,,,,,,,,,,,,68.4,72.6,66.6,57.2,617,259,244,114,"6' 3""",251
Zabien Brown,ALABAMA,2,CB,Defense,,,,,,,,,,,,,73.9,85,68.4,69.9,764,315,4,445,"6' 0""",196
Aaron Clark,APP STATE,99,EDGE,Defense,,,,,,,,,,,,,80.4,87.2,59.8,64.9,548,278,265,5,"6' 0""",305
Aiden Benton,APP STATE,33,EDGE,Defense,,,,,,,,,,,,,74.2,71.6,74.2,59.1,495,222,269,4,"6' 2""",250
Alexander Sanchez,APP STATE,16,WR,Offense,54.5,,,53.1,,65.6,271,,,161,,110,,,,,,,,,"6' 2""",195
Cary Grant,APP STATE,0,S,Defense,,,,,,,,,,,,,53.7,58.2,71.3,51.6,431,201,4,226,"6' 2""",180
Cayden Sweatt,APP STATE,52,OG,Offense,62.1,,,,66.0,59.7,940,,,,580,360,,,,,,,,,"6' 4""",300
Chris Lofton,APP STATE,6,WR,Offense,87.3,,,88.6,,61.0,622,,,344,,278,,,,,,,,,"6' 0""",180
Darrin Fugitt,APP STATE,7,TE,Offense,64.6,,59.7,70.2,67.1,48.8,709,,1,259,111,338,,,,,,,,,"6' 5""",240
Dylan Hasz,APP STATE,8,S,Defense,,,,,,,,,,,,,60.9,58.8,76.1,58.9,273,108,12,153,"5' 11""",195
Jaquari Lewis,APP STATE,5,RB,Offense,73.8,,75.8,70.1,37.4,70.0,428,,140,219,44,25,,,,,,,,,"5' 10""",205
Jehchys Brown,APP STATE,50,DT,Defense,,,,,,,,,,,,,76,75.6,71.7,,288,141,147,,"6' 2""",300
Joshua Williams,APP STATE,0,CB,Defense,,,,,,,,,,,,,74.8,93.4,51,66.4,399,187,8,204,"5' 10""",190
Kaleb Purdy,APP STATE,0,S,Defense,,,,,,,,,,,,,81.6,78.6,66.9,80.4,537,227,7,303,"5' 11""",185
Sam Mbake,APP STATE,3,WR,Offense,56.2,,,55.2,61.0,62.2,333,,,192,1,140,,,,,,,,,"6' 3""",210
Sam Pickett III,APP STATE,0,WR,Offense,60.9,,63.2,60.5,,56.3,414,,2,278,,134,,,,,,,,,"6' 0""",185
Trent Ramsey,APP STATE,67,OG,Offense,58.7,,,,39.7,63.4,432,,,,259,173,,,,,,,,,"6' 5""",315
Alexander Doost,ARIZONA,63,OG,Offense,67.2,,,,75.7,62.2,878,,,,529,349,,,,,,,,,"6' 7""",332
Antwan Roberts,ARIZONA,44,RB,Offense,69.4,,73.5,54.0,54.9,57.8,300,,93,82,47,78,,,,,,,,,"6' 0""",201
Braylon Hyder,ARIZONA,75,OT,Offense,55.3,,,,58.8,51.4,842,,,,440,402,,,,,,,,,"6' 5""",315
Cam Chapa,ARIZONA,13,S,Defense,,,,,,,,,,,,,91.4,90.4,,89.2,781,390,,391,"5' 11""",190
Chase Kennedy,ARIZONA,7,EDGE,Defense,,,,,,,,,,,,,65.5,60.4,66.1,67.2,537,252,229,56,"6' 3""",230
Chris Hunter,ARIZONA,11,WR,Offense,60.4,,,61.3,,47.5,445,,,275,,170,,,,,,,,,"6' 1""",195
Cooper Blomstrom,ARIZONA,48,EDGE,Defense,,,,,,,,,,,,,79.4,76.9,81.3,61.5,448,211,212,25,"6' 2""",243
Deshawn McKnight,ARIZONA,0,DT,Defense,,,,,,,,,,,,,76.4,82.3,64.3,55.5,449,221,221,7,"6' 3""",288
Dwight Bootle,ARIZONA,12,CB,Defense,,,,,,,,,,,,,67.5,59.7,55.3,69.1,434,208,3,223,"5' 9""",171
Everett Roussaw Jr.,ARIZONA,16,LB,Defense,,,,,,,,,,,,,63.8,63,55.7,66.9,777,363,141,273,"6' 2""",235
Jay'Vion Cole,ARIZONA,8,CB,Defense,,,,,,,,,,,,,86.3,55.8,70.8,89.8,381,180,6,195,"5' 10""",190
Jordan Ross,ARIZONA,10,WR,Offense,54.4,,59.5,54.0,,66.9,248,,1,151,,96,,,,,,,,,"5' 10""",171
Kedrick Reescano,ARIZONA,3,RB,Offense,76.1,,83.0,50.9,68.6,32.1,245,,86,96,33,30,,,,,,,,,"6' 0""",214
Noah Fifita,ARIZONA,1,QB,Offense,85.1,83.3,66.9,55.9,,60.0,898,534,62,1,,301,,,,,,,,,"5' 10""",190
Quincy Craig,ARIZONA,24,RB,Offense,65.5,,72.5,54.4,33.0,68.7,287,,68,151,45,23,,,,,,,,,"5' 10""",194
Rodney Gallagher III,ARIZONA,84,WR,Offense,58.6,,74.8,56.3,,48.6,503,,14,256,,233,,,,,,,,,"5' 10""",177
Taye Brown,ARIZONA,6,LB,Defense,,,,,,,,,,,,,75.9,87.1,53.9,64.9,752,365,149,238,"6' 2""",226
Tre Spivey,ARIZONA,12,WR,Offense,63.0,,62.6,61.8,74.3,74.0,521,,1,311,2,207,,,,,,,,,"6' 4""",213
Tyrese Boss,ARIZONA,9,CB,Defense,,,,,,,,,,,,,62.9,55.6,60,64.8,643,321,1,321,"5' 11""",179
Zach Henning,ARIZONA,58,C,Offense,67.8,,,,71.0,65.7,333,,,,183,150,,,,,,,,,"6' 4""",314
Zuri Watson,ARIZONA,25,CB,Defense,,,,,,,,,,,,,71.6,64.4,,73.8,591,302,,289,"5' 10""",185
Anthony Miller,ARIZONA ST,85,TE,Offense,55.7,,,62.9,57.4,50.0,359,,,71,63,225,,,,,,,,,"6' 5""",265
C.J. Fite,ARIZONA ST,99,DT,Defense,,,,,,,,,,,,,68.5,72.6,54.6,68.1,587,271,316,0,"6' 2""",310
Clayton Smith,ARIZONA ST,10,EDGE,Defense,,,,,,,,,,,,,65.8,69.1,60.7,63.5,469,171,288,10,"6' 4""",260
Cutter Boley,ARIZONA ST,8,QB,Offense,59.4,59.2,56.5,54.3,,60.1,675,387,13,1,,274,,,,,,,,,"6' 5""",213
David Avit,ARIZONA ST,24,RB,Offense,90.2,,91.2,55.5,87.7,58.3,271,,126,99,34,12,,,,,,,,,"5' 11""",235
Derek Eusebio,ARIZONA ST,5,WR,Offense,57.4,,59.1,57.9,62.1,54.9,417,,3,275,1,138,,,,,,,,,"5' 9""",185
Emar'rion Winston,ARIZONA ST,4,EDGE,Defense,,,,,,,,,,,,,65.9,65.2,67.1,53.4,586,296,251,39,"6' 3""",265
Jalen Moss,ARIZONA ST,18,WR,Offense,60.3,,,62.0,,47.4,370,,,191,,179,,,,,,,,,"6' 1""",185
Jalen Thompson,ARIZONA ST,9,EDGE,Defense,,,,,,,,,,,,,68.2,71.5,66.3,52.1,420,161,243,16,"6' 3""",265
Khamari Anderson,ARIZONA ST,15,TE,Offense,56.3,,,49.8,72.2,72.6,247,,,123,7,117,,,,,,,,,"6' 5""",255
Kristian Ingman,ARIZONA ST,44,TE,Offense,66.5,,,74.3,57.3,52.7,482,,,188,40,254,,,,,,,,,"6' 5""",255
Makua Pule,ARIZONA ST,71,C,Offense,61.3,,,,74.8,60.3,311,,,,178,133,,,,,,,,,"6' 3""",320
Marquis Gillis,ARIZONA ST,6,RB,Offense,87.2,,86.0,76.7,67.7,61.2,357,,179,107,10,61,,,,,,,,,"6' 0""",220
Montana Warren,ARIZONA ST,7,CB,Defense,,,,,,,,,,,,,58.7,57.3,68.6,57.7,377,173,10,194,"6' 0""",205
Omarion Miller,ARIZONA ST,4,WR,Offense,67.9,,,71.5,,48.5,561,,,324,,237,,,,,,,,,"6' 2""",210
Raiden Vines-Bright,ARIZONA ST,7,WR,Offense,63.4,,62.2,60.7,71.2,76.4,435,,1,275,3,156,,,,,,,,,"6' 1""",200
Ramere Davis,ARIZONA ST,18,EDGE,Defense,,,,,,,,,,,,,67.7,69.8,62.9,64.3,666,259,219,188,"6' 1""",220
Reed Harris,ARIZONA ST,3,WR,Offense,65.6,,59.7,66.2,66.3,56.1,761,,1,497,2,261,,,,,,,,,"6' 5""",220
Tana Alo-Tupuola,ARIZONA ST,58,C,Offense,57.1,,,,56.4,62.9,455,,,,225,230,,,,,,,,,"6' 1""",335
Wade Helton,ARIZONA ST,64,C,Offense,52.9,,,,56.5,50.8,555,,,,299,256,,,,,,,,,"6' 4""",310
AG McGhee,ARK STATE,6,S,Defense,,,,,,,,,,,,,59.1,62.4,56.6,58.6,919,425,15,479,"5' 10""",187
Baker North,ARK STATE,79,OG,Offense,57.0,,,,55.9,58.2,344,,,,210,134,,,,,,,,,"6' 3""",329
Bralen Henderson,ARK STATE,78,OT,Offense,64.1,,,,67.4,61.4,853,,,,480,373,,,,,,,,,"6' 5""",315
Brandon Barnes,ARK STATE,8,S,Defense,,,,,,,,,,,,,48.5,61.4,84.7,39.5,871,403,2,466,"6' 1""",189
Bryson Ross,ARK STATE,12,CB,Defense,,,,,,,,,,,,,62.2,54.7,59.8,63.2,526,261,1,264,"6' 3""",190
Chauncy Cobb,ARK STATE,2,WR,Offense,67.7,,59.5,69.2,,55.1,756,,1,504,,251,,,,,,,,,"5' 6""",161
Devin Spencer,ARK STATE,4,RB,Offense,73.3,,80.7,54.7,87.8,44.1,429,,110,234,40,45,,,,,,,,,"5' 10""",183
Donquarius Parker,ARK STATE,14,EDGE,Defense,,,,,,,,,,,,,72.8,74.9,65.3,73.2,404,202,180,22,"6' 1""",244
Elias Sherman,ARK STATE,92,DT,Defense,,,,,,,,,,,,,79.1,83,71.4,69.9,565,224,340,1,"6' 1""",291
Five Hamilton,ARK STATE,5,CB,Defense,,,,,,,,,,,,,77.4,63.3,56.6,82.1,444,156,6,282,"5' 10""",178
Gavin Taylor,ARK STATE,30,EDGE,Defense,,,,,,,,,,,,,74.9,64.5,83.1,68.7,649,252,341,56,"6' 2""",247
Hunter Summers,ARK STATE,3,WR,Offense,62.3,,,62.9,,60.4,726,,,455,,271,,,,,,,,,"6' 3""",165
Jaylen Bonelli,ARK STATE,10,WR,Offense,59.9,,,59.9,,69.1,320,,,206,,114,,,,,,,,,"5' 11""",175
Josh Burrell,ARK STATE,16,TE,Offense,54.7,,62.3,55.0,62.5,51.8,597,,1,343,21,232,,,,,,,,,"6' 2""",233
Kenyon Clay,ARK STATE,5,RB,Offense,64.5,60.0,64.1,67.7,66.6,56.6,522,1,138,258,57,68,,,,,,,,,"6' 1""",223
Malachi Wood,ARK STATE,79,OT,Offense,61.0,,,,66.7,57.7,843,,,,462,381,,,,,,,,,"6' 6""",315
Mason Myers,ARK STATE,52,C,Offense,61.2,,,,68.3,62.1,904,,,,566,338,,,,,,,,,"6' 4""",289
Nicolas Kalume,ARK STATE,45,EDGE,Defense,,,,,,,,,,,,,64.3,70,59.3,59.3,329,163,149,17,"6' 3""",244
Noah Flores,ARK STATE,3,CB,Defense,,,,,,,,,,,,,71.4,71.1,49.6,71.2,375,184,6,185,"5' 9""",181
Shakai Woods,ARK STATE,98,DT,Defense,,,,,,,,,,,,,71.5,75.1,61,,608,315,293,,"6' 0""",305
Tristian Smith,ARK STATE,68,OG,Offense,81.4,,,,90.1,79.6,677,,,,419,258,,,,,,,,,"6' 3""",319
Wil Saxton,ARK STATE,50,OG,Offense,63.8,,,,65.6,64.0,967,,,,601,366,,,,,,,,,"6' 3""",314
Braydon Lee,ARKANSAS,3,CB,Defense,,,,,,,,,,,,,64.3,58.8,,64.8,282,140,,142,"6' 1""",180
Brian Alston,ARKANSAS,41,EDGE,Defense,,,,,,,,,,,,,67.3,73.3,58.8,62.6,460,191,261,8,"6' 2""",247
CJ Brown,ARKANSAS,3,WR,Offense,59.6,,,59.0,,64.3,605,,,389,,216,,,,,,,,,"6' 1""",195
Caden Kitler,ARKANSAS,52,C,Offense,57.7,,,,68.4,51.8,719,,,,432,287,,,,,,,,,"6' 3""",303
Cameron Ball,ARKANSAS,5,DT,Defense,,,,,,,,,,,,,70.6,68.8,64.4,72.1,583,274,309,0,"6' 5""",323
Chris Marshall,ARKANSAS,6,WR,Offense,62.4,,,61.6,,64.9,469,,,329,,140,,,,,,,,,"6' 3""",213
Danny Saili,ARKANSAS,88,DT,Defense,,,,,,,,,,,,,68.6,74.5,55.8,61,313,159,154,0,"6' 3""",319
Davion Weatherspoon,ARKANSAS,51,OG,Offense,75.2,,,,78.5,75.7,881,,,,417,464,,,,,,,,,"6' 0""",302
Donovan Faupel,ARKANSAS,8,WR,Offense,71.6,74.3,,71.7,,59.5,647,3,,429,,215,,,,,,,,,"6' 1""",201
Fernando Carmona Jr.,ARKANSAS,78,OT,Offense,78.7,,,,74.9,76.4,890,,,,419,471,,,,,,,,,"6' 4""",322
Jaden Platt,ARKANSAS,83,TE,Offense,59.7,,,66.0,67.5,51.3,526,,,222,44,260,,,,,,,,,"6' 5""",255
Jalen Brown,ARKANSAS,17,WR,Offense,56.7,,,57.1,,51.8,241,,,145,,96,,,,,,,,,"6' 1""",171
Jamari Hawkins,ARKANSAS,9,WR,Offense,69.6,,65.3,70.0,74.3,59.0,568,,4,369,2,193,,,,,,,,,"5' 10""",188
Joker Johnson,ARKANSAS,20,CB,Defense,,,,,,,,,,,,,76.2,78.4,63.2,75.3,834,351,15,468,"6' 0""",195
Kobe Branham,ARKANSAS,50,OG,Offense,67.2,,,,66.2,66.7,733,,,,428,305,,,,,,,,,"6' 5""",336
Kyeaure Magloire,ARKANSAS,14,CB,Defense,,,,,,,,,,,,,59.6,72.8,53.9,55.9,615,283,8,324,"6' 3""",210
La'khi Roland,ARKANSAS,4,CB,Defense,,,,,,,,,,,,,67.7,55.6,,71,376,183,,193,"6' 2""",195
Malachi Breland,ARKANSAS,71,OG,Offense,69.4,,,,77.6,65.8,845,,,,482,363,,,,,,,,,"6' 5""",334
Matt Adcock,ARKANSAS,32,TE,Offense,60.4,,,56.8,59.0,64.4,338,,,117,39,182,,,,,,,,,"6' 3""",258
Quincy Rhodes Jr.,ARKANSAS,97,EDGE,Defense,,,,,,,,,,,,,71.3,62.6,77.4,67.6,650,325,322,3,"6' 6""",273
Sutton Smith,ARKANSAS,5,RB,Offense,73.6,,75.1,63.7,48.3,70.0,311,,102,124,38,47,,,,,,,,,"5' 9""",196
Brady Anderson,ARMY,84,WR,Offense,78.1,,57.7,83.9,74.4,59.0,454,,1,121,8,324,,,,,,,,,"6' 1""",209
Brady Small,ARMY,51,C,Offense,79.6,,,,66.0,79.7,893,,,,185,708,,,,,,,,,"6' 0""",318
Cale Hellums,ARMY,3,QB,Offense,77.0,67.0,72.7,51.1,,60.0,655,137,282,3,,233,,,,,,,,,"5' 11""",208
Carson Smith,ARMY,34,RB,Offense,67.0,,70.9,30.3,51.5,57.5,224,,56,10,32,126,,,,,,,,,"6' 1""",230
Jack Bousum,ARMY,99,EDGE,Defense,,,,,,,,,,,,,66.6,64.9,65.6,60,631,331,300,0,"6' 5""",255
Jake Rendina,ARMY,33,RB,Offense,72.2,,72.1,55.7,75.0,63.3,235,,39,8,30,158,,,,,,,,,"5' 11""",240
Jaydan Mayes,ARMY,7,CB,Defense,,,,,,,,,,,,,65.5,72.5,60.9,62.7,692,362,8,322,"5' 10""",188
Paolo Gennarelli,ARMY,71,OG,Offense,62.8,,,,60.3,64.6,674,,,,139,535,,,,,,,,,"6' 2""",301
Parker Poloskey,ARMY,44,TE,Offense,64.6,,,55.0,62.3,69.5,731,,,113,44,574,,,,,,,,,"6' 4""",251
Stephen Nnadozie,ARMY,3,S,Defense,,,,,,,,,,,,,79.7,73.2,72.9,79.1,248,121,2,125,"6' 0""",187
Andre Jordan Jr.,AUBURN,22,CB,Defense,,,,,,,,,,,,,72,57.3,71.3,74,553,255,3,295,"6' 1""",185
Bobby Jamison-Travis,AUBURN,97,DT,Defense,,,,,,,,,,,,,78.2,84.6,63.4,57.4,391,178,213,0,"6' 4""",322
Bryson Washington,AUBURN,30,RB,Offense,70.3,,74.5,56.0,44.6,57.8,436,,154,197,76,9,,,,,,,,,"6' 0""",210
Byrum Brown,AUBURN,17,QB,Offense,91.5,85.7,86.2,47.9,,60.1,790,431,116,3,,240,,,,,,,,,"6' 3""",235
Carde Smith,AUBURN,74,OT,Offense,80.6,,,,79.3,75.8,680,,,,392,288,,,,,,,,,"6' 4""",327
Chas Nimrod,AUBURN,5,WR,Offense,68.8,,,70.5,62.1,48.3,322,,,184,1,137,,,,,,,,,"6' 2""",200
Chris Murray,AUBURN,13,EDGE,Defense,,,,,,,,,,,,,71.5,74.6,71.3,47,277,113,139,25,"6' 3""",256
Christian Neptune,AUBURN,8,WR,Offense,63.1,88.1,70.6,61.3,71.5,55.1,378,1,6,218,2,151,,,,,,,,,"5' 11""",190
Cody Sigler,AUBURN,94,DT,Defense,,,,,,,,,,,,,85.7,82.8,79,61.1,518,228,290,0,"6' 2""",308
Cole Best,AUBURN,72,C,Offense,72.3,,,,78.7,69.1,879,,,,490,389,,,,,,,,,"6' 4""",322
Cole Skinner,AUBURN,56,OG,Offense,70.8,,64.2,,70.4,72.1,412,,3,,241,168,,,,,,,,,"6' 5""",322
Da'Shawn Womack,AUBURN,15,EDGE,Defense,,,,,,,,,,,,,68.6,74.9,59.3,75.2,295,121,173,1,"6' 5""",265
Dallas Walker IV,AUBURN,35,DT,Defense,,,,,,,,,,,,,72.8,77.1,57.6,60,251,142,109,0,"6' 3""",345
Eric Winters,AUBURN,5,S,Defense,,,,,,,,,,,,,78.5,92,66.4,66,258,123,2,133,"6' 0""",215
Fred Gaskin III,AUBURN,23,S,Defense,,,,,,,,,,,,,57.7,47.7,69.5,62.2,737,297,35,405,"5' 10""",202
Jake Johnson,AUBURN,19,TE,Offense,57.3,,,57.8,59.3,57.1,297,,,222,12,63,,,,,,,,,"6' 6""",245
Jeremiah Cobb,AUBURN,23,RB,Offense,73.2,,84.3,44.1,28.2,48.7,597,,176,262,81,78,,,,,,,,,"5' 11""",205
Jeremiah Koger,AUBURN,4,WR,Offense,70.2,,,71.5,61.1,56.8,518,,,270,1,247,,,,,,,,,"6' 3""",213
Jonathan Echols,AUBURN,1,TE,Offense,58.1,,,60.1,76.3,49.4,307,,,111,61,135,,,,,,,,,"6' 6""",235
Kamari Todd,AUBURN,33,CB,Defense,,,,,,,,,,,,,62.3,71.6,61.3,59.3,511,220,13,278,"6' 1""",175
Kenneth McManus IV,AUBURN,55,OG,Offense,64.4,,,,59.2,65.2,505,,,,286,219,,,,,,,,,"6' 2""",315
Keshaun Singleton,AUBURN,11,WR,Offense,74.0,,,75.4,,59.6,627,,,365,,262,,,,,,,,,"6' 3""",220
Nykahi Davenport,AUBURN,24,RB,Offense,83.9,73.4,85.7,51.5,69.3,75.7,315,2,97,92,70,54,,,,,,,,,"6' 0""",212
Rayshawn Pleasant,AUBURN,4,CB,Defense,,,,,,,,,,,,,63.9,62.9,55.4,65,292,103,2,187,"5' 11""",200
Saint Farrior,AUBURN,99,DT,Defense,,,,,,,,,,,,,68.1,66.4,68.4,60,261,126,135,0,"6' 3""",340
Shamar Arnoux,AUBURN,14,CB,Defense,,,,,,,,,,,,,60.3,61.3,52.8,60,345,173,5,167,"6' 2""",195
Sylvester Smith-Reed,AUBURN,0,CB,Defense,,,,,,,,,,,,,68.7,76.6,70.5,65.5,290,123,17,150,"6' 0""",195
Tae Meadows,AUBURN,21,RB,Offense,72.6,,75.2,46.2,80.8,57.9,495,,162,174,114,45,,,,,,,,,"5' 10""",200
Xavier Chaplin,AUBURN,76,OT,Offense,75.7,,,,68.1,76.4,668,,,,384,284,,,,,,,,,"6' 7""",340
CJ Nelson,BALL ST,7,WR,Offense,69.4,,66.0,69.1,,59.0,369,,5,206,,158,,,,,,,,,"5' 11""",180
Cole Mosier,BALL ST,73,C,Offense,50.6,,,,32.2,56.7,485,,,,259,226,,,,,,,,,"6' 4""",305
Derek Fields,BALL ST,0,S,Defense,,,,,,,,,,,,,56.3,64.8,57.6,52.7,442,217,2,223,"6' 1""",195
Donovan Hamilton,BALL ST,1,WR,Offense,61.4,,,60.6,60.9,66.2,443,,,228,1,214,,,,,,,,,"6' 4""",217
Drew Hughes,BALL ST,47,DT,Defense,,,,,,,,,,,,,66.9,70.6,58.8,61.2,502,246,255,1,"6' 2""",294
Maxwell Wentz,BALL ST,63,C,Offense,66.3,,,,66.8,63.7,662,,,,328,334,,,,,,,,,"6' 3""",301
TJ Horton,BALL ST,4,RB,Offense,67.1,,66.7,74.5,28.2,44.6,225,,60,73,42,50,,,,,,,,,"5' 10""",200
Tate Hoover,BALL ST,24,TE,Offense,65.0,,,51.2,66.6,68.5,325,,,39,66,220,,,,,,,,,"6' 2""",252
Will Yates,BALL ST,4,CB,Defense,,,,,,,,,,,,,71.7,64.2,59,73.4,360,161,1,198,"6' 0""",175
Asher Hale,BAYLOR,72,OG,Offense,48.1,,,,66.7,45.8,695,,,,296,399,,,,,,,,,"6' 5""",326
Caden Knighten,BAYLOR,11,RB,Offense,68.3,,74.9,50.6,25.4,45.5,299,,108,133,55,3,,,,,,,,,"5' 11""",211
Cooper Lanz,BAYLOR,9,DT,Defense,,,,,,,,,,,,,73.5,76.5,61.6,60.5,476,265,209,2,"6' 4""",286
DJ Lagway,BAYLOR,12,QB,Offense,66.7,62.6,69.4,,,60.7,717,402,30,,,285,,,,,,,,,"6' 3""",239
Daniel Cobbs,BAYLOR,14,CB,Defense,,,,,,,,,,,,,69.7,81.8,61.3,64.4,415,176,18,221,"5' 11""",199
David Conner,BAYLOR,62,OT,Offense,72.1,,,,70.8,72.4,889,,,,466,423,,,,,,,,,"6' 6""",315
