game_id,week,home_team,away_team,home_spread,total
1107b27a3395b91cf33c3475755ed37f,1,Georgia Southern Eagles,Charleston Southern Buccaneers,-25.5,51.5
f918d3d3ebf6112ff1362c0f48465204,1,Jacksonville State Gamecocks,Eastern Kentucky Colonels,-20.5,54.5
85b9f3dfd3a9deeaaa046572f9b4fbeb,1,South Florida Bulls,Florida International Panthers,-14.0,52.0
34c23c88d29703e3b8a3b0b9d29a7c31,1,Rice Owls,Houston Baptist Huskies,-22.5,47.5
e6624a0cd664a38cde2f68f865e0536f,1,Utah State Aggies,Idaho State Bengals,-12.5,62.5
b4077e17d5393758cd18778ca067bd0a,1,Kansas State Wildcats,Nicholls State Colonels,-41.0,55.0
965fa47588c773e6753d409fc1020dec,1,Michigan Wolverines,Western Michigan Broncos,-27.5,48.5
ac175ca7938ed96d7f3831a9fa2e9270,1,Middle Tennessee Blue Raiders,Murray State Racers,-20.5,59.5
19db717a66097e6d3fb887ae8cf3aaae,1,Texas A&M Aggies,Missouri State Bears,-40.5,53.5
fb6839df368dc6724c22bd58cbe64a5d,1,Troy Trojans,Sam Houston State Bearkats,-16.5,53.5
92e9ba19aef9e422898288605879f16a,1,South Alabama Jaguars,Southeastern Louisiana Lions,-12.5,52.5
6fda1c04dbc63f6c24f795f05e32d11b,1,BYU Cougars,Utah Tech Trailblazers,-51.5,59.5
073bba47dc105fcd66913e74f281ae96,1,LSU Tigers,Clemson Tigers,-10.0,51.0
6def2370b6493e65be537864869f5f20,1,Louisiana Tech Bulldogs,Northwestern State Demons,-44.5,55.5
61a35dab6017f6f7de74fab10707197c,1,Mississippi State Bulldogs,UL Monroe Warhawks,-28.5,55.0
516f500b559017bc6c6f127259da99f1,1,Virginia Tech Hokies,VMI Keydets,-55.5,61.5
247137e181f9ff51165c0283d6d56987,1,Florida Gators,Florida Atlantic Owls,-26.5,59.5
993d8ce79314ba23c226f4588a015d05,1,Louisiana Ragin Cajuns,Lamar Cardinals,-19.25,48.5
7062c81b2c402a10362f42c8c30f72f4,1,Northwestern Wildcats,South Dakota State Jackrabbits,-12.5,46.5
5df98ab50cf92b2a49fd7ad6f5d98b67,1,New Mexico State Aggies,Mercyhurst Lakers,-28.5,51.5
020f07f6edd4f49bb1db1eab439f57dd,1,Arizona Wildcats,Northern Arizona Lumberjacks,-32.0,57.5
2d361438c10dddccfd25146090dae71a,1,San Diego State Aztecs,Portland State Vikings,-40.5,62.25
4239b7c310247c5b1c1a5e975fc6d53f,1,Arizona State Sun Devils,Morgan State Bears,-43.5,52.5
0434161af1b45c8a61dac5ba00210af1,1,New Mexico Lobos,Central Michigan Chippewas,-10.0,46.5
df569f05eeee15a5fdf95bd5ce086d6d,1,Hawaii Rainbow Warriors,UNLV Rebels,3.0,58.25
29cb5ab7b872568cd54873777ff226ff,1,Sacramento State Hornets,Mississippi Valley State Delta Devils,-38.0,56.5
1bb9e45b6e7ed1200104ed018eff9093,1,California Golden Bears,UCLA Bruins,1.5,53.5
63efb66a308ba1892fb100b7341a76d8,1,Nevada Wolf Pack,Western Kentucky Hilltoppers,2.5,52.25
36c2a063d7a55e85488fbe0e89015686,1,Washington Huskies,Washington State Cougars,-23.5,50.5
4f0e1900bdc8d12bf0cc91ae291c104e,1,Ole Miss Rebels,Louisville Cardinals,-7.0,55.5
b460f3aa4235ec2485f25182755304d6,1,Notre Dame Fighting Irish,Wisconsin Badgers,-20.5,47.5
a570687d47661da4982cfd885cdb4a44,1,Florida State Seminoles,SMU Mustangs,3.0,53.5
912c15dcb8dd09eacabdcb80673d9d72,1,Kansas Jayhawks,Missouri Tigers,6.5,52.0
c12cd73c4077a0265acec205a572c2ec,1,Utah Utes,Arkansas Razorbacks,-7.5,55.5
b38f4f63351c15767e64a76a73589574,1,Michigan Wolverines,Oklahoma Sooners,-1.5,45.5
d652c7bc0594f13ef0a2a04e31ef5666,1,Oklahoma State Cowboys,Oregon Ducks,17.5,60.5
0633819fa9e60ac71609cd40e1596b1b,1,Iowa Hawkeyes,Iowa State Cyclones,-13.25,41.5
08c34029ecc85b4a6d519f90f9082e56,1,Texas Longhorns,Ohio State Buckeyes,-1.5,47.5
01e9c4d460a55375a75d025e2b1ddbf5,1,Arkansas Razorbacks,Georgia Bulldogs,16.5,55.5
65571f1cab1a260aae4a220e38dbbc1d,1,Ole Miss Rebels,LSU Tigers,-2.5,57.5
82b83ec87fc2be5faa2e9f26ac50edef,1,Oklahoma Sooners,Texas Longhorns,6.5,48.0
59f8c98dee8ce77cc17c5b4958e4f325,1,Alabama Crimson Tide,Georgia Bulldogs,2.75,49.25
685a8722f297502fa85e4cd8c7e54b1c,1,Indiana Hoosiers,Ohio State Buckeyes,1.5,48.5
4aac00e6cc06b8905659f911419540d2,1,Notre Dame Fighting Irish,Miami Hurricanes,-6.5,55.0
426658869d8f93e891cad97029725975,1,Ohio State Buckeyes,Michigan Wolverines,-12.5,45.5
