player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Jimmy Scott,162774,ED,PITTSBURGH,12,5,2,100.0,0,1,268,0,0,60.4,72.6,37.9,69.9,74.3,73.4,7,24,0,0,12,8.0,2,0,3,116.7,1,6,0,1,0,0,513,512,0,0,494,18,0,1,287,226,0,20,18,3,1,37,0,12,17,12.0
Venson Sneed,162783,ED,INDIANA,4,3,0,,0,0,190,0,0,61.1,58.4,77.1,56.1,56.8,73.8,1,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,42,42,0,12,27,3,0,0,23,19,0,0,0,0,0,2,0,0,0,
Perry Fisher,162792,CB,MARYLAND,11,3,0,74.4,2,0,215,0,0,56.1,57.4,84.5,46.2,65.8,69.6,0,0,0,0,45,9.1,3,1,4,137.6,29,0,0,27,453,292,501,3,0,0,3,0,2,498,1,208,16,5,27,1,39,0,3,448,106,15.4
Daniel Owens,162801,ED,MARYLAND,10,2,0,,0,0,215,0,0,58.7,58.4,79.0,66.4,53.0,70.9,0,3,0,0,,9.1,1,0,0,0.0,0,2,0,0,0,1,104,104,0,9,39,56,0,0,51,52,0,7,8,0,0,5,0,0,0,
Lavain Scruggs,162803,S,MARYLAND,12,10,0,66.7,0,1,215,1,0,59.4,66.5,83.3,56.0,78.1,72.2,0,1,0,1,27,12.2,6,3,0,113.5,14,0,0,147,5,211,375,1,0,0,1,0,181,374,3,161,41,13,33,0,21,1,3,182,37,13.0
Lionell Whitaker,162806,CB,MARYLAND,5,1,0,45.5,0,0,215,0,0,54.3,56.8,81.9,56.6,67.7,83.1,0,0,0,0,37,0.0,0,1,0,93.8,5,0,0,5,0,52,90,2,0,0,2,0,2,88,2,36,81,2,6,2,11,0,1,62,19,12.4
Kellan Wyatt,162807,ED,MARYLAND,11,5,0,100.0,0,1,215,0,0,62.9,72.2,88.9,66.2,74.5,68.2,6,6,0,0,17,11.1,4,0,0,103.3,5,2,0,33,1,67,428,371,0,2,368,1,0,57,161,200,23,20,27,5,5,14,0,44,18,8.8
Nico Andrighetto,162808,S,MICHIGAN,2,0,0,,0,0,222,0,0,64.7,63.8,72.5,58.3,60.0,76.4,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,2,0,6,10,2,0,0,2,0,6,8,2,2,0,0,1,0,0,0,0,0,0,
Chibi Anwunah,162809,DI,MICHIGAN,2,0,0,,0,0,222,0,0,,51.3,85.2,58.4,54.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,7,6,0,4,1,1,0,1,3,4,0,0,0,0,0,0,0,0,0,
Zeke Berry,162810,CB,MICHIGAN,12,4,0,62.7,1,1,222,1,0,59.3,58.8,87.3,67.3,50.3,31.5,1,1,0,2,44,28.9,13,7,2,103.0,37,0,0,54,194,355,566,9,0,0,9,0,0,557,17,194,309,8,28,2,59,2,5,489,272,13.2
Kenneth Grant,162816,DI,MICHIGAN,12,7,5,,0,0,222,2,0,58.4,83.7,53.3,75.3,87.5,69.0,1,23,0,0,,5.9,2,0,2,0.0,0,3,0,4,0,1,547,543,170,368,0,5,0,4,329,217,0,22,25,3,0,27,0,0,0,
Jimmy Rolder,162825,LB,MICHIGAN,11,9,0,100.0,0,0,222,0,0,74.2,82.1,80.8,72.0,82.3,82.4,2,3,0,0,13,3.6,1,0,0,98.6,3,0,0,154,2,88,184,18,0,0,18,0,0,166,18,78,10,9,18,1,3,5,0,23,22,7.7
Dylan Parrott,162834,DI,NEBRASKA,5,0,0,,0,0,238,0,0,57.9,57.3,76.7,58.9,68.3,70.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,41,41,16,25,0,0,0,0,23,18,0,1,1,0,0,0,0,0,0,
Braydon Brus,162836,LB,NWESTERN,10,1,0,33.3,0,0,256,0,0,64.8,59.8,76.8,56.4,53.9,38.8,0,1,0,0,18,30.0,3,0,0,54.9,1,0,0,89,0,48,104,2,0,0,2,0,0,102,2,54,13,6,6,1,3,1,0,18,18,18.0
Robert Fitzgerald,162839,S,NWESTERN,12,9,0,76.0,0,0,256,0,0,70.8,74.6,85.7,71.8,80.2,68.5,0,2,0,1,19,14.6,7,0,0,89.6,19,1,0,59,2,211,368,6,0,0,6,0,62,362,10,147,239,11,32,1,25,3,1,165,94,8.7
Brendan Flakes,162840,DI,NWESTERN,8,2,1,,0,0,256,0,0,60.5,65.4,78.8,58.5,66.3,55.8,0,2,0,0,,15.4,2,0,0,0.0,0,0,0,0,0,0,120,120,1,116,0,3,0,0,52,68,0,5,9,0,0,2,0,0,0,
Jack Oyola,162847,CB,NWESTERN,1,0,0,,0,0,256,0,0,60.7,60.4,65.8,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,
Jason Reynolds II,162849,LB,NWESTERN,1,0,0,,0,0,256,0,0,,64.2,62.8,,62.0,73.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,
Anto Saka,162850,ED,NWESTERN,11,6,0,100.0,0,0,256,0,0,58.0,66.1,26.0,72.9,59.1,54.8,9,16,0,0,13,18.8,3,0,3,118.8,1,2,0,1,0,7,253,252,0,0,220,32,0,1,163,83,0,9,7,2,1,27,0,13,14,13.0
Evan Smith,162851,CB,NWESTERN,7,2,0,75.9,0,0,256,0,0,61.9,65.2,82.8,58.9,80.6,69.9,0,0,0,1,37,10.7,3,2,0,89.4,22,0,0,4,215,144,229,9,0,0,9,0,0,220,2,83,1,9,23,2,29,0,0,268,96,12.2
Kenny Soares Jr.,162852,LB,NWESTERN,12,4,1,100.0,0,0,256,0,0,71.1,75.6,83.8,83.5,66.7,42.9,2,5,0,0,68,25.0,7,0,0,111.4,15,1,0,100,0,79,267,101,0,0,100,1,0,166,55,133,66,12,17,1,15,8,0,161,133,10.7
