rank,team,record,pf,pa,grade_over,grade_off,grade_pass,grade_pblk,grade_recv,grade_run,grade_rblk,grade_def,grade_rdef,grade_tack,grade_prsh,grade_cov,grade_spec
18,BYU,11 - 1,408,213,90.7,83.9,72.2,74.9,73.6,88.7,75.5,84.6,80.3,63.2,72.1,81.9,90
20,Michigan,9 - 3,331,224,90.6,80.5,66.4,73.1,68.6,90.4,70.4,90.6,92.6,84.8,83.4,76.1,87.7
21,Washington,8 - 4,405,233,90.4,84.4,72,68.6,81.5,90.9,69.3,85.8,84.3,85.6,76.8,77.4,77.7
22,Tennessee,8 - 4,489,345,90.3,86.2,90.7,68.4,81.1,92.5,59.1,83.1,77,68.6,83.3,77,76.3
23,Utah,10 - 2,493,224,89.9,83.1,73.1,81.3,75.7,91.5,62.3,85.1,77.3,57.9,81.5,79.6,79.2
24,Vanderbilt,10 - 2,473,263,89.5,82.9,90.3,45.2,84.7,91,57.2,83.3,82.7,61,75.1,77.2,82.2
25,Penn State,6 - 6,381,257,89.4,81.3,64.8,80.3,67.3,90.7,72.9,85.4,80.9,74.2,80.2,79,88.1
25,Illinois,8 - 4,352,279,89.4,85.4,76.2,65,83,81.1,76.8,81.4,85.5,75.1,77.7,66.9,74.7
27,USF,9 - 3,516,280,89.3,84.7,86.8,78,75.1,91.1,61.8,83.7,78,48.3,87.3,76.2,74.3
27,SMU,8 - 4,395,248,89.3,80.2,79.7,81.6,73.1,78.8,69.6,90.3,92.8,88,79,79.4,75.6
29,Texas A&M,11 - 2,439,273,89.2,77.5,62.6,75.1,75.1,86.9,63,91.2,89.6,63.2,84.6,88.2,82.8
30,Connecticut,9 - 3,443,310,88.9,85.9,81.2,65.4,75.9,86.3,80.7,79.3,71.7,60.3,68,81.4,72.4
31,Arizona,9 - 3,391,227,88.6,75.5,77.6,72.7,68.1,81.3,60.9,92.1,88.4,74.8,67,93.2,70.8
32,TCU,8 - 4,369,302,88.2,81.3,78,74.3,81.3,82.9,62.2,87.1,93.4,87,65.2,70.6,73.7
33,Cincinnati,7 - 5,381,298,88.1,86.6,86.6,67.9,75.6,90.3,74.9,78.8,83.9,76.2,60.7,76.7,73.7
34,Florida State,5 - 7,396,264,87.9,84.1,83.5,78.6,73.1,89.5,66.8,80.4,88.3,74.2,67.5,66.4,78.5
35,USC,9 - 3,438,269,87.6,86,80.6,60.4,91.5,91,55.7,77.2,63.4,82.6,73.3,88.2,64.4
36,Memphis,8 - 4,415,270,86.7,80.4,73,73.8,72.2,89.5,69,82.5,91.9,61.7,63.4,63.4,72.8
37,Nebraska,7 - 5,351,276,86.5,79.4,61.6,77.7,73.9,82.2,73.4,80.1,78.4,83.5,62.3,82.2,90.1
38,Southern Miss,7 - 5,358,329,86.3,72.4,75.8,70.5,71.9,76.8,52.5,91.9,90.6,72.5,84.5,90.6,77.4
38,Duke,7 - 5,415,353,86.3,86.4,85,75,80.6,84.6,70.6,72,79.1,63.9,72.3,62,80.3
40,Kansas,5 - 7,337,321,86.2,80.2,71.6,62.8,69.8,87.6,74.2,80.9,75.8,63.9,77.8,76.5,79.8
41,Texas State,6 - 6,433,367,85.6,80.7,73.6,76.8,69.8,89.7,67.2,81,80.8,51.7,87.2,68.4,75.9
42,Clemson,7 - 5,344,245,85.5,75.1,78,68.1,72,76.5,59.1,89.9,88.7,89.3,78.6,81.2,79.7
43,Miami (OH),7 - 5,313,263,85.3,74,60.2,53.7,72,80.9,68.8,87.4,78.4,66.6,86.8,79.1,80.2
44,Old Dominion,9 - 3,392,231,85.2,76,69.8,74.3,76.9,84.4,52.6,90.1,82.6,60,69.5,91.6,67.1
45,Oklahoma,10 - 3,341,201,84.8,68.9,61.9,79.5,67.3,75.6,55,91.5,92.6,71.7,84.6,82.6,77.2
46,UNLV,10 - 2,446,337,84.7,83.8,86.1,70.9,74.3,94,58.7,74.8,67.6,67.4,81.4,72.6,72.5
47,Georgia Tech,9 - 3,397,300,84.5,82.4,83,67.9,79.5,83.6,67,72.3,74.1,58,65.2,67.9,83.3
47,Air Force,4 - 8,358,364,84.5,87.6,71,62.8,87.9,83.4,76.7,68.3,71.9,70.5,80.3,47.7,75.4
49,Rutgers,5 - 7,344,382,84.4,89.5,87.3,66.9,81.2,86.3,76.9,61.2,60.6,67.7,65.7,60.3,67.9
50,New Mexico,9 - 3,335,270,83.9,71.9,77.8,56.6,67.3,78.2,61.1,90.2,90.7,72.6,87.6,73.8,74.1
51,Houston,9 - 3,340,262,83.8,71.4,57.4,49.2,73.9,84.9,60.4,90.3,89.3,82.2,62.6,90.2,75.8
51,Florida,4 - 8,259,288,83.8,76.9,64.2,70.4,66.3,87.7,75.7,81.1,85.3,86.2,67.5,70.5,71.7
53,Tulane,10 - 3,354,314,83.5,77.1,79.9,74.9,77.3,79.2,55.2,79.7,75.7,67,83.9,71.1,79.9
54,Northwestern,6 - 6,270,251,83.2,80.1,63.5,81,69.5,86,73,76.7,72.8,61,76.9,67.8,68.5
55,Tulsa,4 - 8,278,347,82.9,69,57,61.9,65.9,86.8,55.6,91.4,92.5,90.2,80,82.2,76.8
56,Iowa State,8 - 4,329,242,82,78.6,79.5,61.6,71.8,87.7,61.9,76.6,70,49.7,62.2,80.7,68.4
57,Minnesota,7 - 5,279,281,81.7,76.9,72.2,69.3,69,83.3,67.8,73.9,74.6,62.7,67.5,65.1,90.3
58,Army,6 - 6,269,265,81.6,83,70.7,56.2,70.9,75.2,82.2,69.3,67.1,63.6,64.1,65.5,75.2
59,Buffalo,5 - 7,288,282,81.5,72,56,71,69.7,75.8,71.4,84.6,84.3,85.5,81.2,69.1,80.7
60,Western Michigan,8 - 4,284,224,81.4,75.3,62.9,57.5,69.1,88.9,62.5,80.4,73.9,62.4,81.8,71.9,77.4
60,Western Kentucky,8 - 4,357,281,81.4,74.6,69.7,74.1,71.4,82.9,57.3,79.3,78.6,55.6,69.7,78.4,83.9
62,Liberty,4 - 8,307,318,81.3,75.9,61.2,62.7,74.7,82.8,65.7,79.5,74.7,69.1,68.5,82.4,69
63,Wake Forest,8 - 4,322,258,81.1,65.1,60.3,76.2,64.8,75,51.6,90.6,81.4,66.8,82.6,90.5,86.2
63,Fresno State,8 - 4,317,241,81.1,73.8,63.4,77.1,62.2,88.2,65.4,80.4,73.4,65.4,69.1,84.4,79.1
65,Navy,10 - 2,374,312,81,81.7,74.2,56,78.6,90.3,66.7,68.5,71.5,45.6,76.4,52.8,76.6
65,Florida International,7 - 5,351,333,81,75.6,68.1,60.2,76.4,79,65.1,80.6,67,69.6,68.6,88.5,73.2
67,Kansas State,6 - 6,353,320,80.9,75.4,70.9,69.6,66.3,77.5,69.6,77.4,79.1,60.3,68.6,72,85.6
68,Central Michigan,7 - 5,286,272,80.8,72.5,72.4,34,75.2,83.3,59.1,84,72.9,76.2,81.3,84.1,64
69,Pittsburgh,8 - 4,421,299,80.7,68.3,55.1,66.4,68.6,82.3,59.3,89.1,92.7,80.9,73.2,78,72.4
70,Marshall,5 - 7,369,363,80.5,72.8,66.5,71,72.8,79.3,56,83,88.5,77.3,69.9,75,68.8
71,LSU,7 - 5,262,220,80.2,68.1,74.6,66,68.2,74,50.1,88.5,84.3,67.2,73.7,87.9,73.2
72,East Carolina,8 - 4,402,244,80,74.6,81.4,61.4,72.4,86.9,51.3,78.8,81.4,42.2,68.8,73.7,72.5
73,North Carolina State,7 - 5,362,346,79.5,77.9,63.7,71.6,77.6,85.5,64.3,74.3,79,73.9,72.3,63.2,73.2
73,Jacksonville State,8 - 4,362,321,79.5,71.4,63.5,71.6,58.5,86.3,60.9,82.6,87.3,80.2,74.6,72.2,69.7
75,Delaware,6 - 6,357,390,79.4,73.6,67.4,72.1,72.3,75.7,59.7,80.8,83.4,69.4,64.2,78.2,70.5
75,Baylor,5 - 7,373,391,79.4,74.7,67.4,64.6,74.7,78.9,62.4,73.9,69.5,75.4,62.4,80.4,88.2
77,Ohio,8 - 4,344,275,79.3,77.7,58.2,66.4,73,85.2,72.6,76.3,70.9,60.1,71.9,76.3,64.4
77,Auburn,5 - 7,321,248,79.3,69.1,57.1,65.1,60.1,88.1,63.2,84.7,92.3,68.7,81.7,60.9,71.2
79,Arkansas,2 - 10,395,406,79.1,78.8,67.7,65.3,73.4,93.9,59.8,69.8,78.2,81.2,73.2,54,66.2
80,Kentucky,5 - 7,276,317,79,70.7,54.5,68.9,68.5,79.2,64.7,83,90.7,79.5,83.9,57.2,67.7
80,Boise State,8 - 4,370,278,79,71.6,63.7,58.2,63.8,88.8,64.7,82,68.4,40.5,72.5,89.8,74.8
82,Temple,5 - 7,334,356,78.9,79.7,66.9,71.6,74.4,82.5,70.1,68.1,72.3,70,68.5,56.5,70.9
83,UCF,5 - 7,292,283,78.8,63.4,49,72.1,60.7,83.5,54,90.3,90.7,78.1,80.2,82.2,79.7
84,North Carolina,4 - 8,231,294,78.6,68.2,63,71.4,63.9,76.8,59.1,83.2,83.7,69.7,78.8,72.9,73.2
85,Arizona State,8 - 4,296,276,78.5,70.1,64.7,75.6,62.2,87.1,54.8,83.7,87,72.5,63.4,82.4,66.1
86,Louisiana-Monroe,3 - 9,199,383,77.4,73.5,59.6,83.9,68.5,84.9,60.6,80.8,83.1,73,75.7,71.6,69.5
86,Louisiana Tech,7 - 5,332,256,77.4,67.6,55.1,67.5,61.8,90.1,51.2,81.9,84.3,62.6,64.7,81.1,76.5
88,Michigan State,4 - 8,295,359,77.3,74.4,62.8,54.9,75.2,82.3,68.5,75.1,75.9,74.8,66.3,70.6,60.2
89,Washington State,6 - 6,259,242,77.2,66.8,64.3,46,74.4,79.3,48.2,85.2,76.1,36.5,78.6,82,70.9
89,Nevada,3 - 9,211,330,77.2,65.5,46.2,64.2,59.9,74.3,69.2,86.6,84.9,70.3,82.6,78.5,66
89,Akron,5 - 7,267,329,77.2,70.7,68.5,55.1,66,75.9,67.4,81.2,81,71.4,78,68,69.1
92,Arkansas State,6 - 6,293,328,77,71.1,65.4,74.4,68.6,77.6,60.6,75.8,73.9,72,75.8,66.8,78.1
93,Kennesaw State,9 - 3,349,301,76.8,70.4,70,61.6,72.7,81.6,49.1,81,79.8,65.3,79,73.9,64.8
94,California,7 - 5,298,318,76.6,70.4,80.7,62.7,71.7,72.8,49.9,80,60.7,57.9,71.5,90.8,63.4
95,Appalachian State,5 - 7,304,358,76.5,67.3,63.7,55.6,66.4,80.1,56.5,82.5,90.9,68.5,84.4,65.8,72.9
96,Utah State,6 - 6,381,339,76,71.9,72.6,60,69.6,83.4,54.5,75.5,76.5,58,64,72.5,66
96,South Carolina,4 - 8,272,265,76,64.7,67.8,59.1,63.9,74.9,51.2,84.5,90.8,69.7,74,70.3,71.7
98,Hawaii,8 - 4,342,282,75.8,66.9,73.3,55.9,65,76.6,51.9,76.9,65.5,48.5,82.7,78.4,77.4
99,Wisconsin,4 - 8,154,259,75,62.3,38.7,62.7,69,74.1,54.8,84.7,88.6,69.6,81.4,65,82.3
100,Bowling Green,4 - 8,246,291,74.7,66.6,47.5,63.2,62.2,77.6,64.8,76.6,75.5,69.4,78,66.5,72.9
101,Boston College,2 - 10,305,393,74.3,73,65.2,69.5,71.1,73.9,68.9,66.1,64.7,72.1,63.7,67.1,78.5
102,UTSA,6 - 6,405,355,74.1,73.3,71.5,57.2,76.3,84.8,52.9,68.4,71.8,58.3,70.9,58.8,65.2
103,Missouri State,7 - 5,305,340,73.9,72.5,73.3,72.6,75.5,77.3,48.2,71,66.8,58.1,74.5,73,58.3
104,Mississippi State,5 - 7,366,350,73.8,71,72.6,65.3,64.5,83.8,56,69.3,68,60.7,62.9,72,71.7
105,Florida Atlantic,4 - 8,354,436,73.4,70.7,71.8,68.7,72.6,72.8,50,70.1,73.3,68.1,72.1,58.1,73.1
106,Troy,8 - 4,302,287,73.1,68.3,66.7,53.3,71.6,71.3,57,73.7,74.1,61.2,70.2,70.9,74.7
107,Maryland,4 - 8,282,318,72.8,65.4,69,74.9,59.3,80.4,44.9,77.2,76.7,64.7,78.8,70.1,68.4
108,Wyoming,4 - 8,192,246,71.9,62.2,50.4,58.7,57.5,78.4,62.1,83.9,84.3,68.8,64.1,81.6,62.5
109,South Alabama,4 - 8,318,365,71.3,70.4,57.9,65.3,70.2,93.6,45.5,69.3,61.3,47.3,63.4,77.5,70.8
109,New Mexico State,4 - 8,259,331,71.3,61.7,59,53.7,66.7,64.8,55.7,79.8,73.8,73.8,79.6,75.3,80.8
109,Louisiana,6 - 6,325,360,71.3,65.1,49.1,61.1,55.3,84.1,64.2,71.3,68.9,64.4,66,70.5,71.6
112,Middle Tennessee,3 - 9,269,371,71,63.1,70.4,48.3,60.1,80.4,50.4,80.1,90.3,78.4,72.1,61.9,61.8
113,Northern Illinois,3 - 9,205,292,70.9,64.4,39,56.2,59.1,83.7,59.2,73.7,71.8,85.3,68.8,67.4,71.6
114,Eastern Michigan,4 - 8,289,357,70.8,71.1,69,62.6,69,77.3,62.6,63.4,65.1,41.1,63.7,56,61.3
115,Virginia Tech,3 - 9,257,362,70.3,64.3,60.3,47.9,61.2,88.7,51.8,73.1,80.6,59.7,78.4,52.9,63.2
115,Colorado,3 - 9,251,366,70.3,64.6,56.8,78,61,71,57.4,71.3,76.5,59.4,73.3,51.7,75.7
117,UCLA,3 - 9,218,401,70,65.6,63.6,63.7,62.3,83.6,54.9,68.3,72.8,72.2,53.9,66,78.8
118,UAB,4 - 8,317,459,69.9,75.8,65.6,70.2,76,81.1,64.1,55,63.2,46.9,66.7,38.9,57.7
119,Georgia Southern,6 - 6,334,410,69.7,73.5,64.4,77.9,69.4,82.8,56.8,57.6,51.6,67.2,59.7,65.2,64.8
120,San Jose State,3 - 9,257,390,69.5,63.5,59.3,53.9,64.6,82.9,48.2,75.3,87.2,59.7,66.9,52.9,77.6
121,Stanford,4 - 8,226,350,69.4,63.6,49.5,47.9,69.6,84.1,51.9,70.4,81,55.4,64.7,61.6,79.2
122,Rice,5 - 7,238,387,69.1,68.1,66.2,55.2,64.5,74.5,58.4,65.5,71.4,53.1,72.4,51.7,69.8
123,Coastal Carolina,6 - 6,274,407,68.7,61.1,50.5,72.7,54.5,76.1,57.2,73.1,75,53,79.7,61.4,73.2
124,Oregon State,2 - 10,218,353,67.8,64.3,54.7,59.8,64.8,74.3,59,73.1,72.6,48.3,69.5,66.8,53.8
125,UTEP,2 - 10,280,365,66.6,59.3,50,65.4,58.4,77,48.3,73.1,82.2,77,63.9,61,69.4
126,West Virginia,4 - 8,261,370,66.3,60.1,49.7,69.2,60.6,70.7,50,69.7,78.9,51.6,67.2,55.4,75.9
127,Purdue,2 - 10,225,382,65.8,65.1,65.6,58.5,62,77.7,52.6,57.4,59.9,47,63.4,50.2,88.1
127,Kent State,5 - 7,255,403,65.8,63.6,58.2,25.5,76.6,72.2,54.8,65.5,66.6,61.5,76.3,53.7,65.9
129,Oklahoma State,1 - 11,170,400,64.7,59.1,48.1,72.7,56.8,73.1,52.3,69,79.4,64.2,64.5,54.1,64.2
129,Georgia State,1 - 11,237,454,64.7,61.3,68.2,43.1,66.5,73,48.6,68.4,71.3,73.1,66.8,61.5,70.7
129,Charlotte,1 - 11,172,436,64.7,64.9,66.1,52.7,73.9,62.7,54.5,61.2,63.2,48.3,63.2,55.2,61.6
132,Syracuse,3 - 9,242,419,64.4,61.4,48.7,55.6,63.8,75.6,54.8,64.1,54.3,70.5,67.4,68.2,66.8
133,Ball State,4 - 8,190,358,62.7,59,47.9,57.7,61.1,71.4,53.9,67.3,65.6,54.5,83,51.9,65.8
134,Sam Houston State,2 - 10,213,454,61.8,57.8,51.5,64.3,56,74,49.8,63.8,69.8,52.6,62.8,55,76.9
135,Colorado State,2 - 10,222,370,60.5,62.8,53.3,53.2,60.7,78.5,60.3,56.8,58.2,70.6,54.9,60,61.3
136,Massachusetts,0 - 12,133,463,57.1,52,56.4,30.3,52.4,67.7,53,63.6,67.9,65.6,76.2,43.7,64.8
