rank,team,record,pf,pa,grade_over,grade_off,grade_pass,grade_pblk,grade_recv,grade_run,grade_rblk,grade_def,grade_rdef,grade_tack,grade_prsh,grade_cov,grade_spec
1,Indiana,12 - 0,532,131,96.8,94.9,83.4,77.8,91.4,93,81.2,94.4,93.7,89.9,81.1,91.4,84.4
2,Ohio State,12 - 0,444,93,96.4,95,93,77.1,92.1,88.3,77.9,93.8,94.4,90.8,76.8,90.7,81
3,Texas Tech,11 - 1,518,135,95.3,85.6,81,75.7,81.4,90.6,66.1,96.5,96.1,90.8,92.1,93.1,89.9
4,Miami (FL),11 - 2,419,169,94.4,89.6,78.6,87.3,85.2,88.2,75.8,94.1,92.5,55.3,92.3,90.6,76.3
5,Oregon,12 - 1,509,212,94.2,93,91.3,88,79,95.2,72.6,92.2,88.5,90.5,84.1,90.7,85
6,Notre Dame,10 - 2,504,211,93.7,90.5,85.6,68.3,87.4,93,65.5,93.1,92.9,84,83.5,90.9,80.7
7,Missouri,8 - 4,386,233,92.9,86.6,68.1,83.5,74.3,92.4,74.1,92.6,93.4,87.1,86,87.4,82.5
8,North Texas,11 - 1,561,290,92.8,92.9,90.3,78.4,85.6,93.1,73.1,87.8,80,91.4,71.1,89.7,74.6
9,Iowa,8 - 4,347,182,92.7,86.2,70.8,87.8,64.7,88.1,82,90.8,80.7,67.2,89.4,85.7,89.6
10,Toledo,8 - 4,379,146,91.9,79.7,89.2,57.4,74.6,83.1,64.6,93.2,91.8,76.1,90.7,90.1,80.4
10,James Madison,11 - 2,488,243,91.9,82.2,61.6,71.1,75.9,91.9,71.5,92.2,92.6,78.4,78.6,90.5,76.3
12,Georgia,11 - 1,387,200,91.3,83.8,80.6,80.3,74.4,87.7,65.9,89.4,93.3,91.2,62.3,77.6,79.1
13,Mississippi,12 - 1,488,251,91.2,86.5,80.4,76.9,87.6,91.7,55.6,85.5,91.2,69,69.1,75,81.3
13,Alabama,11 - 2,433,222,91.2,83,84.2,81.8,75.7,81.5,65.5,91.1,91.1,78.5,62.3,91.1,80.6
15,San Diego State,9 - 3,296,151,91.1,75.2,60,69.1,66.6,88.8,63.8,92.6,92,81.7,78.8,91,76.7
16,Virginia,10 - 2,398,240,90.9,78.3,72.3,67,74.6,84.4,66.3,91.8,89.3,80,79.8,90.5,79.8
16,Texas,9 - 3,355,237,90.9,82,82.8,70.6,78.4,82,68.9,90,92,87.1,81.2,78,80.5
18,Louisville,8 - 4,362,253,90.7,77,65.6,67.5,73.5,91.8,61.2,92.2,86.4,78,91.2,89.5,70.7
