Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
133865-183495,QB,Arch,Arch Manning,Manning,25.40923133263221,13,12000,TXST@TEX,TEX,TXST,,,,,,QB/Super FLEX
133865-166961,QB,Byrum,Byrum Brown,Brown,34.34333292643229,12,11600,BAY@AUB,AUB,BAY,,,,,,QB/Super FLEX
133865-200748,QB,Julian,Julian Sayin,Sayin,17.95846205491286,13,11200,BALL@OSU,OSU,BALL,,,,,,QB/Super FLEX
133865-193016,QB,Marcel,Marcel Reed,Reed,22.773845966045673,13,11100,MOST@TXAM,TXAM,MOST,,,,,,QB/Super FLEX
133865-200755,WR,Jeremiah,Jeremiah Smith,Smith,18.458333333333332,12,11000,BALL@OSU,OSU,BALL,,,,,,WR/Super FLEX
133865-167601,QB,Conner,Conner Weigman,Weigman,25.67230694110577,13,10800,ORST@HOU,HOU,ORST,,,,,,QB/Super FLEX
133865-223959,QB,Keelon,Keelon Russell,Russell,10.699999809265137,1,10600,ECU@BAMA,BAMA,ECU,,,,,,QB/Super FLEX
133865-166972,QB,Josh,Josh Hoover,Hoover,20.027273004705254,11,10500,NTEX@IND,IND,NTEX,,,,,,QB/Super FLEX
133865-190967,QB,Sam,Sam Leavitt,Leavitt,20.68999989827474,6,10300,CLEM@LSU,LSU,CLEM,,,,,,QB/Super FLEX
133865-225975,QB,Bryce,Bryce Underwood,Underwood,15.640000563401442,13,10200,WMU@MICH,MICH,WMU,,,,,,QB/Super FLEX
133865-190651,QB,Dante,Dante Moore,Moore,18.54666748046875,15,10100,BOIS@ORE,ORE,BOIS,,,,,,QB/Super FLEX
133865-226234,RB,Bo,Bo Jackson,Jackson,13.47499974568685,12,10000,BALL@OSU,OSU,BALL,,Shoulder,,,,RB/Super FLEX
133865-225658,RB,Nate,Nate Sheppard,Sheppard,17.76923076923077,13,9900,TULN@DUKE,DUKE,TULN,,,,,,RB/Super FLEX
133865-184265,RB,Rueben,Rueben Owens II,Owens II,9.450000127156576,12,9800,MOST@TXAM,TXAM,MOST,,,,,,RB/Super FLEX
133865-246111,QB,Marcus,Marcus Stokes,Stokes,21.420000076293945,1,9700,ARKST@MEM,MEM,ARKST,,,,,,QB/Super FLEX
133865-183946,WR,Amare,Amare Thomas,Thomas,15.576923076923077,13,9700,ORST@HOU,HOU,ORST,,,,,,WR/Super FLEX
133865-174889,QB,JC,JC French IV,French IV,19.761666615804035,12,9600,BC@CIN,CIN,BC,,,,,,QB/Super FLEX
133865-175062,RB,Raleek,Raleek Brown,Brown,16.03636308149858,11,9600,TXST@TEX,TEX,TXST,,,,,,RB/Super FLEX
133865-166091,QB,Rocco,Rocco Becht,Becht,17.71272693980824,11,9400,MAR@PSU,PSU,MAR,,,,,,QB/Super FLEX
133865-199526,RB,Daniel,Daniel Hill,Hill,8.845454822887074,11,9400,ECU@BAMA,BAMA,ECU,,,,,,RB/Super FLEX
133865-199814,WR,Ryan,Ryan Wingo,Wingo,12.046154315655048,13,9300,TXST@TEX,TEX,TXST,,,,,,WR/Super FLEX
133865-208020,RB,Jordan,Jordan Marshall,Marshall,15.172726717862217,11,9300,WMU@MICH,MICH,WMU,,,,,,RB/Super FLEX
133865-157370,QB,Walker,Walker Eget,Eget,16.85636346990412,11,9300,TULN@DUKE,DUKE,TULN,,,,,,QB/Super FLEX
133865-199802,QB,Trey,Trey Owens,Owens,,0,9200,ARKST@MEM,ARKST,MEM,,,,,,QB/Super FLEX
133865-183672,RB,Evan,Evan Dickens,Dickens,23.1,10,9200,BC@CIN,BC,CIN,,,,,,RB/Super FLEX
133865-208820,RB,Turbo,Turbo Richard,Richard,16.23999938964844,10,9100,NTEX@IND,IND,NTEX,,,,,,RB/Super FLEX
133865-205930,WR,Ryan,Ryan Coleman-Williams,Coleman-Williams,10.409090909090908,11,8900,ECU@BAMA,BAMA,ECU,,,,,,WR/Super FLEX
133865-226091,RB,Jordon,Jordon Davison,Davison,12.064285278320312,14,8800,BOIS@ORE,ORE,BOIS,,,,,,RB/Super FLEX
133865-242990,QB,Mason,Mason McKenzie,McKenzie,,0,8800,BC@CIN,BC,CIN,,,,,,QB/Super FLEX
