player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Mohamed Toure,97751,LB,MIAMI FL,2,1,0,100.0,0,0,220,0,0,52.0,63.6,76.4,80.3,65.2,56.3,1,0,0,0,16,16.7,1,0,0,118.8,4,0,0,41,0,28,53,2,0,0,2,0,0,51,13,12,10,1,4,0,4,1,0,51,26,12.8
Derek Burns,98541,DI,UTEP,2,0,0,,0,1,330,0,0,60.0,92.8,73.8,76.2,92.2,75.8,0,1,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,25,25,0,5,5,15,0,0,9,16,0,4,3,1,0,2,0,0,0,
Brandon Mack II,99105,ED,HOUSTON,2,3,0,,0,0,182,0,0,71.2,71.8,81.6,55.8,80.5,80.6,1,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,6,71,70,0,2,64,4,0,1,43,22,1,4,4,3,0,2,0,0,0,
Siale Taupaki,100432,DI,PENN STATE,2,3,0,,0,0,266,0,0,60.0,66.5,76.3,61.3,67.0,76.4,0,1,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,1,52,52,6,37,1,8,0,0,27,24,0,3,3,1,0,2,0,0,0,
Stephon Wright,100437,ED,COLO STATE,2,0,0,,0,1,144,0,0,,74.7,73.9,64.2,73.2,73.4,0,0,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,16,16,0,0,10,6,0,0,7,9,0,2,1,1,0,1,0,0,0,
Marques White,108130,ED,SMU,2,2,0,,0,0,287,0,0,61.4,72.6,80.3,61.3,76.2,78.3,2,2,0,0,,20.0,1,0,0,0.0,0,0,0,2,0,3,43,41,0,0,41,0,0,2,20,20,0,2,2,0,0,4,0,0,0,
Daytione Smith,121749,S,MARSHALL,2,4,0,66.7,0,0,214,0,0,54.9,63.3,80.4,,82.0,73.5,0,0,0,0,25,8.3,1,0,0,136.1,4,0,0,39,0,71,110,0,0,0,0,0,60,110,0,39,11,2,7,0,6,0,2,56,45,14.0
Jori Benson,122053,DI,W MICHIGAN,2,0,0,,0,0,347,0,0,,60.3,74.3,56.7,61.7,70.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,23,23,2,20,0,1,0,0,8,15,0,0,1,0,0,0,0,0,0,
Micah Harper,122060,S,IOWA STATE,1,1,0,,0,0,193,0,0,,44.5,71.0,,41.5,40.0,0,0,0,0,,33.3,1,0,0,0.0,0,0,0,6,0,0,9,0,0,0,0,0,3,9,0,9,0,1,1,0,0,0,0,0,0,
Korian Wilson,122662,S,LA MONROE,2,0,0,100.0,0,0,209,0,0,63.4,62.6,66.2,,,76.2,0,0,0,0,10,0.0,0,0,0,108.3,1,0,0,1,0,2,2,0,0,0,0,0,1,2,0,0,0,1,1,0,1,0,0,10,0,10.0
Kedrick Bingley-Jones,122821,DI,ALABAMA,2,2,0,,0,0,103,0,0,,73.6,75.3,60.6,75.6,74.5,1,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,38,38,2,35,0,1,0,0,18,20,0,2,2,0,0,1,0,0,0,
Josh Pierre-Louis,122880,S,MARSHALL,2,1,0,25.0,0,0,214,0,0,70.7,68.4,79.6,55.8,61.4,33.9,0,0,0,0,2,40.0,2,0,0,39.6,1,0,0,17,1,45,67,10,0,0,10,0,3,57,5,17,36,2,2,0,4,0,0,2,1,2.0
Nick Session,122990,S,NEW MEX ST,3,3,0,72.7,0,0,242,0,0,79.6,79.1,82.1,,72.2,63.5,0,0,1,2,16,15.4,4,1,0,43.2,8,0,0,52,0,107,179,1,0,0,1,0,102,178,0,72,24,5,19,0,11,0,0,53,21,6.6
Sammy Anderson Jr.,123554,CB,SO MISS,1,0,0,,0,0,296,0,0,,60.7,70.0,,60.3,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,5,5,0,0,0,0,0,0,0,0,
Sterling Miles,123574,ED,UTEP,2,0,0,,0,1,330,0,0,62.0,79.5,77.6,93.3,43.1,34.5,2,2,0,0,,100.0,1,0,0,0.0,0,1,0,9,0,7,37,26,0,0,26,0,0,11,14,16,2,1,0,0,0,5,0,0,0,
Kervins Choute,123739,DI,VIRGINIA,2,1,1,,0,0,335,0,0,,69.5,74.3,63.9,68.0,70.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,30,30,1,28,0,1,0,0,11,19,0,0,0,0,0,0,0,0,0,
Dave Herard,123779,S,W KENTUCKY,2,1,0,100.0,0,0,346,0,0,57.9,62.9,75.6,,67.6,74.8,0,0,0,0,6,0.0,0,0,0,91.7,1,0,0,27,2,13,51,1,0,0,1,0,11,50,0,38,10,0,0,0,1,0,0,6,10,6.0
Xavier McIver,123825,DI,SO MISS,2,0,0,,0,0,296,0,0,,56.7,75.7,57.1,57.2,72.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,27,27,8,19,0,0,0,0,12,15,0,2,3,0,0,0,0,0,0,
Aakil Washington,123896,ED,SMU,2,4,0,,0,0,287,0,0,72.0,85.8,0.0,79.2,80.9,81.2,0,3,0,0,,0.0,0,0,1,0.0,0,1,0,3,0,2,65,62,0,0,62,0,0,3,33,30,0,4,3,1,0,4,0,0,0,
Jah-Marien Latham,123924,ED,ALABAMA,2,1,0,,0,0,103,0,0,61.3,69.2,75.1,63.7,66.8,72.2,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,3,15,15,0,0,14,1,0,0,5,7,0,0,0,0,0,2,0,0,0,
Chris Thompson Jr.,124005,LB,TULSA,2,3,0,81.3,0,0,320,1,0,55.6,55.5,76.4,67.6,52.1,67.5,1,4,0,0,94,10.5,2,1,0,135.2,13,0,0,104,0,72,132,0,0,0,0,0,0,132,8,52,28,4,14,0,16,5,1,183,124,14.1
Morven Joseph,124285,S,JVILLE ST,2,1,0,100.0,0,0,196,0,0,61.1,64.1,75.3,56.1,66.9,83.7,0,0,0,0,10,0.0,0,0,0,91.7,3,0,0,38,0,15,39,1,0,0,1,0,0,38,3,21,0,1,8,0,3,0,0,18,5,6.0
Dallas Walker IV,124342,DI,AUBURN,2,2,1,,0,0,115,0,0,,72.5,79.4,61.3,75.1,76.3,1,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,80,80,41,33,3,3,0,0,41,39,0,3,5,0,0,2,0,0,0,
Avery Helm,124379,CB,UNLV,1,2,0,100.0,0,0,325,0,0,64.9,66.1,76.2,,65.9,80.9,0,0,0,0,11,0.0,0,0,1,94.4,3,0,0,0,45,23,46,0,0,0,0,0,0,46,0,23,1,2,3,0,3,0,0,20,2,6.7
James Williams,124654,ED,OKLA STATE,2,2,0,,0,0,262,1,0,71.6,84.0,80.0,77.2,76.3,57.3,1,4,0,0,,20.0,1,0,0,0.0,0,0,0,0,0,7,50,50,0,0,50,0,0,0,20,23,0,2,2,1,0,5,0,0,0,
Jack Tchienchou,124782,S,TULANE,2,6,0,100.0,0,0,319,0,0,68.9,65.1,77.6,76.9,55.1,31.4,1,1,0,0,5,29.6,8,0,0,87.5,1,0,0,75,0,51,114,0,0,0,0,0,28,114,2,61,11,8,13,0,1,2,0,5,0,5.0
Myles Pollard,124835,S,E CAROLINA,1,1,0,100.0,0,0,156,0,0,69.5,70.9,75.5,64.3,66.6,83.1,0,1,0,0,20,0.0,0,0,0,116.7,3,0,0,42,0,25,56,0,0,0,0,0,11,56,1,30,3,1,5,0,3,1,0,36,3,12.0
Toby Bolton,124922,CB,GA STATE,2,1,0,70.0,0,0,175,0,0,62.4,63.8,77.7,,68.2,81.7,0,0,0,0,44,0.0,0,0,1,100.0,7,0,0,1,66,48,67,0,0,0,0,0,0,67,0,19,0,2,6,0,10,0,0,95,24,13.6
Tyson Williams,125941,CB,TULSA,2,3,0,42.9,0,0,320,0,0,70.4,72.4,80.1,54.2,79.6,83.3,0,0,0,1,8,0.0,0,1,2,10.7,3,0,0,2,110,80,129,1,0,0,1,0,0,128,4,45,16,2,6,0,7,0,0,20,0,6.7
Mo Horn,126328,CB,OKLA STATE,2,0,0,100.0,0,0,262,0,0,65.8,64.7,76.6,,56.7,78.8,0,0,0,0,36,0.0,0,0,0,158.3,4,0,0,3,49,33,55,1,0,0,1,0,0,54,0,22,2,2,3,0,4,0,1,61,8,15.3
Cade Law,126476,LB,E CAROLINA,2,0,0,50.0,0,0,156,0,0,49.9,56.5,74.4,54.9,65.7,45.7,0,0,0,0,7,22.2,2,0,0,58.3,1,0,0,37,0,16,45,2,0,0,2,0,1,43,5,24,5,2,7,0,2,0,0,7,3,7.0
Tyler Gant,126535,DI,NWESTERN,1,2,0,,0,0,256,0,0,60.0,56.7,76.1,55.2,57.6,75.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,51,51,2,48,0,1,0,0,26,25,0,3,3,0,0,0,0,0,0,
Michael Teason Jr.,126548,LB,TCU,2,3,0,,0,0,305,0,0,52.7,71.1,70.8,,83.2,79.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,15,0,9,19,2,0,0,2,0,0,17,0,10,2,1,1,0,0,0,0,0,0,
Marquis Hood,126582,DI,JVILLE ST,3,3,0,100.0,0,0,196,0,0,61.0,67.4,78.1,57.0,69.8,80.8,0,0,0,0,19,0.0,0,0,0,118.8,1,0,0,2,0,1,81,79,3,17,25,34,0,2,29,51,0,5,8,0,1,0,0,19,9,19.0
Donovan Rieman,126620,ED,LA TECH,2,0,0,,0,0,208,0,0,,71.1,76.6,64.5,71.0,73.4,0,1,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,45,45,0,7,23,15,0,0,25,20,0,2,1,0,0,2,0,0,0,
Pete Schuh,127337,S,MARSHALL,1,1,0,,0,0,214,0,0,61.8,71.1,72.3,,73.4,80.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,5,0,3,16,0,0,0,0,0,9,16,0,13,2,0,2,0,0,0,0,0,0,
Jayden Rowe,127409,CB,BAYLOR,1,0,0,,0,0,118,0,0,60.6,61.3,66.9,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,3,2,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,
Devin Robinson,127648,CB,TULSA,2,4,0,71.4,0,1,320,0,0,70.8,76.0,82.1,66.7,82.4,66.1,0,0,0,0,20,11.1,1,0,0,83.0,5,0,0,8,1,49,88,5,0,0,5,0,2,83,5,34,72,3,4,0,7,0,0,36,25,7.2
JK Johnson,128013,CB,FAU,2,2,0,,0,0,165,0,0,66.0,59.3,75.7,,38.7,29.3,0,0,0,0,,50.0,2,0,0,0.0,0,0,0,10,52,33,62,0,0,0,0,0,0,62,0,29,0,0,0,0,0,0,0,0,0,
Kaleb Purdy,128032,S,APP STATE,2,1,0,71.4,0,0,108,0,0,63.4,67.1,78.4,,71.8,50.7,0,0,0,0,11,21.4,3,1,0,78.9,5,0,0,24,1,49,88,0,0,0,0,0,45,88,0,39,18,4,10,1,7,0,0,29,23,5.8
Christian Gray,128036,CB,NOTRE DAME,2,1,0,60.0,0,0,258,0,0,47.6,51.0,78.7,60.0,66.2,58.9,0,0,0,0,17,25.0,1,0,0,80.4,3,0,0,5,19,29,59,0,0,0,0,0,0,59,1,29,35,0,2,0,5,0,0,34,13,11.3
Mac Markway,128064,ED,NEBRASKA,1,0,0,,0,0,238,0,0,,64.7,71.2,58.0,63.2,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,6,6,0,0,6,0,0,0,3,3,0,0,0,0,0,0,0,0,0,
Tavian Combs,128258,S,NEW MEXICO,2,1,0,50.0,0,0,241,0,0,59.7,65.2,74.3,54.1,75.5,81.1,0,0,0,1,1,0.0,0,0,0,16.7,1,0,0,22,0,24,47,0,0,0,0,0,15,47,5,18,10,2,4,0,2,0,0,1,1,1.0
Jelani Whitmore,128317,CB,S DIEGO ST,2,1,0,85.7,0,0,284,0,0,51.4,52.7,76.2,59.1,59.8,52.0,0,0,0,0,30,20.0,1,0,0,107.7,6,0,0,18,54,45,75,1,0,0,1,0,1,74,1,29,1,1,3,0,7,0,0,69,29,11.5
Jeremiah Bailey,129179,DI,UTSA,2,3,1,,0,0,331,0,0,60.0,64.3,15.2,60.6,68.3,27.1,1,2,0,0,,40.0,4,0,1,0.0,0,0,0,1,0,0,97,96,5,57,3,31,0,1,52,45,0,3,3,0,0,3,0,0,0,
Arion Carter,129186,LB,TENNESSEE,1,0,0,85.7,0,0,307,0,0,45.4,42.9,77.8,56.8,45.2,45.1,1,0,0,0,22,22.2,2,1,0,118.5,6,0,0,30,0,29,54,16,0,0,16,0,0,38,7,18,8,1,7,0,7,1,0,87,52,14.5
Mose Phillips III,129334,S,OKLA STATE,2,4,0,33.3,0,0,262,0,0,60.4,68.4,78.3,,81.0,53.5,0,0,0,0,15,22.2,2,1,0,50.7,1,0,0,17,0,44,80,0,0,0,0,0,59,80,0,36,4,1,3,0,3,0,0,15,10,15.0
Damarjhe Lewis,129447,DI,WASH STATE,2,0,0,,0,0,341,0,0,,64.0,76.7,67.5,58.1,35.7,0,1,0,0,,33.3,1,0,0,0.0,0,0,0,0,0,0,54,54,5,46,0,3,0,0,33,21,0,2,2,0,0,1,0,0,0,
Avery Dunn,129611,ED,UCONN,2,1,0,,0,0,146,0,0,61.2,61.7,78.9,54.3,69.2,42.5,0,1,0,0,,33.3,1,0,1,0.0,0,0,0,1,0,1,58,57,0,0,57,0,0,1,44,13,0,1,1,1,0,1,0,0,0,
Jasiyah Robinson,129632,ED,E CAROLINA,2,0,0,,0,0,156,0,0,60.0,63.6,78.9,53.0,69.3,25.2,0,2,0,0,,50.0,2,0,0,0.0,0,0,0,0,0,2,66,66,0,12,44,10,0,0,32,32,0,2,2,1,0,2,0,0,0,
Darius Snow,129635,LB,TEXAS,1,0,0,,0,0,311,0,0,60.9,62.7,72.5,,60.3,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,2,4,2,0,0,2,0,0,2,0,2,2,0,0,0,0,0,0,0,0,
Darrion Henry-Young,129748,DI,VIRGINIA,2,1,0,,0,0,335,0,0,60.0,69.5,75.6,62.3,71.0,74.3,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,42,42,1,37,1,3,0,0,29,13,0,2,2,0,0,2,0,0,0,
Cameron Martinez,129752,CB,BOSTON COL,2,0,0,0.0,0,0,121,0,0,70.9,70.6,77.1,59.1,60.4,75.1,0,1,0,0,,0.0,0,0,0,39.6,0,0,0,0,0,10,15,4,0,0,4,0,1,11,1,4,10,1,1,0,1,1,0,0,0,
Zuriah Fisher,129778,ED,USC,3,2,0,,0,1,326,0,0,60.6,80.3,0.0,87.9,70.3,59.2,0,2,0,0,,20.0,1,0,1,0.0,0,1,0,1,0,3,60,59,0,0,56,3,0,1,32,25,0,3,2,1,0,3,0,0,0,
Aaron Witt,129937,ED,WISCONSIN,2,0,0,,0,0,349,0,0,62.4,63.9,67.2,,60.6,,0,0,0,0,,,0,0,0,0.0,0,0,0,7,0,5,8,1,0,0,1,0,0,7,0,3,0,0,0,0,0,0,0,0,0,
Preston Zachman,129939,S,INDIANA,2,1,0,66.7,0,0,190,0,0,56.7,55.4,79.8,58.2,53.3,44.4,0,1,0,0,36,28.6,2,0,0,109.7,2,0,0,14,1,46,89,1,0,0,1,0,65,88,2,41,8,2,4,0,3,1,0,50,1,25.0
Ronald Jackson Jr.,130297,CB,OHIO,2,1,0,100.0,0,0,259,0,0,65.3,61.9,81.2,58.4,51.9,36.7,0,0,0,0,51,28.6,2,0,0,158.3,1,0,0,14,19,55,114,5,0,0,5,0,4,109,2,57,71,3,4,1,1,0,1,51,44,51.0
Jalen McNair,130415,S,VIRGINIA,2,1,0,100.0,0,0,335,0,0,66.0,65.8,73.8,,61.3,76.4,0,0,0,0,5,0.0,0,0,0,87.5,1,0,0,6,0,9,18,0,0,0,0,0,10,18,0,9,2,0,0,0,1,0,0,5,0,5.0
Luke Murphy,130498,LB,UCONN,2,0,1,100.0,0,0,146,0,0,61.2,64.6,76.5,65.6,65.2,59.4,0,0,0,0,15,14.3,1,0,0,82.6,6,0,0,37,0,25,61,5,0,0,5,0,0,56,4,32,19,3,6,1,6,0,0,23,20,3.8
Kole Briehler,131078,DI,STANFORD,2,0,0,,0,0,300,0,0,,52.1,0.0,63.5,50.0,72.2,2,0,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,0,57,57,11,42,1,3,0,0,37,20,0,2,3,1,0,2,0,0,0,
Braylen Jackson,131191,DI,BAYLOR,1,0,0,,0,0,118,0,0,,59.6,68.4,58.5,60.2,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,
Brian Booker,131222,DI,NEW MEXICO,2,0,1,,0,0,241,0,0,52.9,68.9,0.0,74.7,75.8,35.5,0,2,0,0,,33.3,1,0,1,0.0,0,0,0,0,0,3,35,35,13,22,0,0,0,0,18,14,0,2,2,0,0,2,0,0,0,
Ashton Levells-Mitchell,131257,CB,E CAROLINA,2,1,0,88.9,0,0,156,0,0,56.7,55.7,0.0,58.5,62.4,63.2,0,0,0,0,34,16.7,2,0,1,118.8,8,0,0,21,74,45,97,1,0,0,1,0,1,96,2,50,0,3,9,0,9,0,0,122,46,15.3
Treylin Payne,131350,LB,TEXAS ST,2,1,0,50.0,0,0,314,0,0,41.6,50.5,75.7,61.5,70.8,78.2,1,1,0,0,12,0.0,0,0,0,68.8,1,0,0,38,0,25,45,1,0,0,1,0,0,44,7,13,6,1,1,1,2,2,0,12,11,12.0
Sione Fotu,131853,LB,HOUSTON,2,1,0,84.6,0,0,182,1,0,38.8,48.4,79.6,64.9,72.8,81.9,0,0,0,0,25,0.0,0,0,0,104.8,11,0,0,55,0,46,71,7,0,0,7,0,1,64,4,21,8,2,6,0,13,0,0,119,62,10.8
Nate Ritchie,131875,S,UTAH,2,1,0,57.1,0,0,328,0,0,67.3,68.1,76.8,61.5,67.1,86.3,1,2,0,0,19,0.0,0,0,0,71.1,4,0,0,41,1,68,111,4,0,0,4,0,53,107,7,36,12,2,8,1,7,3,0,36,17,9.0
Jay Wilkerson,131961,WR,LA TECH,1,0,0,,0,0,208,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Jarvarius Sims,132298,CB,W MICHIGAN,2,2,0,22.2,0,0,347,0,0,71.7,73.4,78.3,58.3,75.8,84.9,0,0,0,0,18,0.0,0,2,0,39.6,2,0,0,19,99,70,126,0,0,0,0,0,0,126,1,55,8,2,9,0,9,0,0,22,4,11.0
Anas Luqman,133626,ED,UCONN,2,1,0,,0,0,146,0,0,48.8,66.5,80.3,56.3,83.1,29.7,0,1,0,0,,50.0,3,0,0,0.0,0,1,0,0,0,2,76,76,0,0,68,8,0,0,53,21,0,3,2,0,0,2,0,0,0,
Ken Willis,133807,CB,JAMES MAD,2,2,0,55.6,0,1,197,1,0,67.6,78.1,79.1,97.5,60.3,53.0,0,1,0,0,21,25.0,4,1,0,72.0,5,1,0,5,97,59,104,0,0,0,0,0,2,104,2,43,0,7,10,1,9,2,0,51,18,10.2
Ray Coney,133963,LB,TEXAS A&M,2,5,0,100.0,0,1,312,0,0,64.3,70.5,76.0,55.5,77.9,53.9,0,1,0,0,13,16.7,2,0,0,79.2,3,0,0,60,1,40,70,3,0,0,3,0,0,67,3,27,5,5,5,3,3,1,0,6,5,2.0
Josiah Jackson,133970,S,TEMPLE,2,0,0,50.0,0,0,306,0,0,58.3,65.1,74.5,66.1,65.0,77.7,0,0,0,0,13,0.0,0,0,0,70.8,1,0,0,10,0,13,27,0,0,0,0,0,8,27,1,13,9,0,2,0,2,0,0,13,2,13.0
Jaydan Mayes,133971,CB,ARMY,2,0,0,50.0,0,0,114,0,0,57.5,54.3,77.8,,42.0,27.1,0,0,0,0,38,42.9,3,0,0,118.8,3,0,0,7,73,48,81,0,0,0,0,0,1,81,0,33,0,0,4,0,6,0,2,51,4,17.0
Jake Clifton,134280,LB,BYU,2,1,0,100.0,0,0,128,0,0,70.5,69.1,74.7,57.4,62.6,76.1,0,0,0,0,0,0.0,0,0,0,79.2,1,0,0,23,1,18,33,5,0,0,5,0,0,28,3,12,4,1,1,0,1,0,0,0,5,0.0
Tyler Rich,134328,DI,TULSA,2,0,0,,0,0,320,0,0,,67.0,77.5,58.0,70.1,75.4,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,52,52,25,27,0,0,0,0,28,24,0,4,5,0,0,0,0,0,0,
Max Baloun,138294,DI,IOWA STATE,2,0,0,,0,0,193,0,0,,54.9,75.8,54.6,56.7,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,46,46,2,38,1,5,0,0,28,18,0,0,0,0,0,0,0,0,0,
Deamontae Diggs,138335,ED,FLORIDA ST,2,0,1,,0,0,167,0,0,,58.6,79.8,55.0,62.9,72.2,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,59,59,0,15,42,2,0,0,38,21,0,0,1,0,0,1,0,0,0,
Princeton Malbrue,139517,ED,LA LAFAYET,1,0,0,,0,0,207,0,0,,60.0,66.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
Caesar Magee,139529,CB,SM HOUSTON,2,1,0,42.9,0,0,281,0,0,65.1,61.6,76.9,60.0,49.3,63.4,1,0,0,0,24,12.5,1,1,0,65.8,3,0,0,9,64,37,74,0,0,0,0,0,0,74,1,36,0,2,6,0,7,1,0,47,5,15.7
James Jennette,142415,ED,UTAH ST,2,1,0,33.3,0,0,329,0,0,61.0,68.5,82.6,57.4,78.1,80.8,0,2,0,0,6,0.0,0,0,0,42.4,1,1,0,2,0,26,76,69,0,0,69,0,0,7,20,30,5,3,4,0,3,3,0,6,1,6.0
