player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Iesa Jarmon,53981,CB,AKRON,1,0,0,,0,0,102,0,0,62.5,62.9,68.1,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,4,0,5,8,0,0,0,0,0,4,8,0,3,0,0,0,0,0,0,0,0,0,
Will Whitson,64470,ED,MISS STATE,2,1,0,,0,0,227,0,0,60.0,76.9,79.2,60.5,82.7,61.1,1,3,0,0,,14.3,1,0,0,0.0,0,0,0,0,0,0,74,74,0,2,55,17,0,0,46,28,0,5,5,1,0,4,0,0,0,
Tate Romney,70946,LB,OKLA STATE,2,2,0,,0,0,262,0,0,72.5,69.6,76.8,59.0,62.8,59.3,0,1,0,0,,14.3,2,1,0,0.0,0,0,0,87,0,46,97,0,0,0,0,0,0,97,6,45,10,6,10,0,0,1,0,0,0,
Keanu Tanuvasa,71398,DI,BYU,2,0,0,,0,0,128,0,0,60.0,66.8,77.7,60.2,75.7,29.2,0,0,0,0,,33.3,1,0,0,0.0,0,1,0,1,0,0,60,59,22,28,2,7,0,1,35,25,0,2,2,1,0,1,0,0,0,
Jonah Reeder,71779,DI,GA STATE,2,0,0,,0,0,175,0,0,,63.2,72.1,56.7,65.6,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,14,14,2,11,0,1,0,0,9,5,0,0,0,0,0,0,0,0,0,
Solomone Langi,72318,DI,S JOSE ST,3,1,0,,0,0,285,0,0,,74.0,78.5,65.2,74.8,76.0,0,5,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,82,82,26,51,0,5,0,0,45,37,0,4,5,0,0,5,0,0,0,
Raider Damuni,72338,S,BYU,1,0,0,,0,0,128,0,0,66.2,66.6,71.4,,62.2,74.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,5,1,11,18,0,0,0,0,0,9,18,0,7,3,0,1,0,0,0,0,0,0,
Justin Flowe,72388,LB,UNLV,2,0,0,,0,0,325,0,0,60.2,55.5,76.8,61.8,51.5,72.2,1,0,0,0,,50.0,1,0,0,0.0,0,0,0,4,0,2,19,15,0,0,15,0,0,4,8,9,0,1,1,0,0,1,0,0,0,
Ian Shewell,72474,DI,S JOSE ST,1,0,0,,0,0,285,0,0,,66.6,74.6,54.9,73.2,34.1,0,1,0,0,,33.3,1,0,0,0.0,0,0,0,0,0,0,24,24,10,12,1,1,0,0,17,7,0,2,2,0,0,1,0,0,0,
Taariq Al-Uqdah,74119,LB,WASHINGTON,2,0,0,,0,0,340,0,0,64.7,67.9,72.9,,65.2,73.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,13,0,10,16,0,0,0,0,0,0,16,0,6,3,0,1,0,0,0,0,0,0,
Zion Branch,74395,S,GEORGIA,2,1,0,,0,0,173,0,0,65.9,69.1,74.8,,69.3,78.8,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,9,0,11,29,0,0,0,0,0,15,29,0,18,5,1,1,0,0,0,0,0,0,
Darrell Bryant Jr.,78693,S,C MICHIGAN,2,3,0,66.7,0,1,134,0,0,69.6,74.8,79.6,,81.4,76.4,0,0,0,1,21,7.1,1,1,0,47.2,4,0,0,57,0,62,109,0,0,0,0,0,35,109,0,47,17,3,10,0,6,0,0,42,5,10.5
Jairus Satele,86168,DI,FRESNO ST,2,3,0,,0,0,169,0,0,60.0,58.8,76.2,64.1,54.7,75.5,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,53,53,2,47,0,4,0,0,24,28,0,1,1,0,0,2,0,0,0,
Blake Ruffin,86298,CB,LOUISVILLE,1,1,0,50.0,0,0,210,0,0,60.8,63.3,77.3,58.8,67.8,73.1,0,0,0,0,9,0.0,0,0,0,62.5,1,0,0,4,0,17,30,4,0,0,4,0,0,26,2,11,22,0,0,0,2,0,0,9,2,9.0
Jalil Tucker,86578,CB,WASH STATE,1,0,0,33.3,0,0,341,0,0,55.3,56.4,74.6,,62.2,76.2,0,0,0,0,14,0.0,0,1,1,49.3,1,0,0,5,33,28,40,0,0,0,0,0,1,40,0,12,1,0,1,0,3,0,0,14,2,14.0
Chance Tucker,90524,CB,N DAK ST,2,0,0,0.0,0,0,250,0,0,74.7,75.7,71.1,,60.0,,0,0,0,0,,,0,1,0,39.6,0,0,0,0,11,9,11,0,0,0,0,0,0,11,0,2,0,0,0,0,1,0,0,0,0,
