player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Charlie Patterson,151094,G,VIRGINIA,4,100.0,0,335,52.7,21.0,62.9,1,3,39,100.0,100.0,89.7,0,6,2,59,0,36,0,59,43,43,20,0,16,3
Gaston Moore,123756,QB,TENNESSEE,6,60.8,0,307,70.0,,60.0,0,0,0,0.0,0.0,,0,0,0,59,0,0,0,97,0,35,0,0,59,0
Chris Culliver,175393,WR,N CAROLINA,11,39.6,0,245,56.0,,45.3,0,0,0,0.0,0.0,,5,0,0,59,0,0,0,149,0,89,0,0,59,0
Duane Thomas Jr.,175797,WR,CHARLOTTE,8,42.8,0,136,57.3,,43.8,0,0,0,0.0,0.0,,0,0,0,59,0,0,0,138,0,77,0,0,59,3
Benjamin Brahmer,174660,TE,IOWA STATE,7,30.1,0,193,61.7,50.8,37.0,0,0,4,3.1,2.8,100.0,0,0,0,59,0,0,0,196,4,141,0,1,55,97
Caullin Lacy,121426,WR,LOUISVILLE,4,29.1,1,210,63.4,,67.0,0,0,0,0.0,0.0,,1,0,0,59,0,0,0,203,0,141,0,0,59,0
Kasen Weisman,171910,QB,FAU,7,38.8,0,165,57.7,,60.0,0,0,0,0.0,0.0,,1,0,0,59,0,0,0,152,0,88,0,0,59,0
Stacy Sneed,123680,HB,HOUSTON,11,25.9,0,182,60.5,40.1,48.9,0,0,22,18.3,18.6,100.0,1,0,0,58,0,0,0,224,24,129,0,0,34,0
Trey'Dez Green,184453,TE,LSU,11,44.3,0,211,61.0,70.6,45.8,0,0,5,6.8,6.4,100.0,0,0,0,58,0,0,0,131,5,78,0,0,53,32
Rico Flores Jr.,171083,WR,UCLA,4,31.0,0,324,63.7,,58.6,0,0,0,0.0,0.0,,0,0,0,58,0,0,0,187,0,129,0,0,58,2
Conner Harrell,156352,QB,N CAROLINA,6,49.2,0,245,60.8,,60.0,0,0,0,0.0,0.0,,1,0,0,58,0,0,0,118,0,49,0,0,58,0
Kajiya Hollawayne,146386,WR,TEMPLE,11,31.7,1,306,51.6,,37.2,0,0,0,0.0,0.0,,1,0,0,58,0,0,0,183,0,124,0,0,58,0
LJ Johnson Jr.,147003,HB,SMU,12,26.6,0,287,68.9,54.1,66.9,1,0,31,29.2,29.3,98.4,1,1,0,58,0,0,0,218,34,116,0,0,24,0
Drae McCray,149140,WR,TEXAS TECH,9,36.9,0,315,54.8,,59.8,0,0,0,0.0,0.0,,0,0,0,58,0,0,1,157,0,98,0,0,58,1
Devon Manuel,146633,T,FLORIDA,3,100.0,0,163,72.3,82.9,66.2,0,1,27,100.0,100.0,98.1,0,1,0,58,0,0,58,58,28,28,0,0,30,0
Kevin Bauman,122893,TE,NOTRE DAME,10,82.9,0,258,59.4,72.8,53.7,0,0,6,33.3,36.8,100.0,1,0,0,58,0,0,0,70,7,19,0,0,51,61
Darion Reed,169987,T,TULANE,5,100.0,0,319,57.3,46.0,57.9,0,1,9,100.0,100.0,94.4,0,1,0,58,0,0,0,58,12,12,0,58,46,0
Mark Fletcher Jr.,175374,HB,MIAMI FL,12,18.3,0,220,76.2,62.1,74.6,0,0,40,21.4,21.8,97.5,1,1,1,58,0,0,0,317,44,202,0,0,14,0
Val Erickson,157152,G,NC STATE,6,100.0,1,248,55.2,67.8,56.8,0,1,25,100.0,100.0,98.0,2,1,0,58,0,17,0,58,28,28,41,0,30,0
Caleb Ramseur,172143,HB,NEVADA,12,36.9,0,239,62.6,58.3,62.7,0,0,15,20.0,18.3,93.3,0,1,1,58,0,0,0,157,15,82,0,0,43,2
Eddy Pierre-Louis,188779,G,OKLAHOMA,3,100.0,0,261,61.4,64.4,64.5,0,0,20,100.0,100.0,100.0,1,0,0,58,0,0,0,58,21,21,58,0,37,0
Will Larkins,175980,T,GA STATE,5,100.0,0,175,45.6,28.0,53.0,1,1,34,100.0,100.0,97.1,1,2,0,58,0,0,19,58,36,36,0,39,22,0
Donovan Edwards,144917,HB,MICHIGAN,12,17.4,0,222,73.2,30.9,65.8,1,2,32,18.3,18.4,95.3,0,3,0,58,0,0,0,333,33,179,0,0,25,0
Nathan Acevedo,163393,WR,FRESNO ST,7,51.3,0,169,65.4,,50.9,0,0,0,0.0,0.0,,1,0,0,58,0,0,0,113,0,53,0,0,58,0
Shaleak Knotts,162798,WR,MARYLAND,12,31.5,0,215,59.1,,55.4,0,0,0,0.0,0.0,,1,0,0,57,0,0,0,181,0,123,0,0,57,0
Kemper Hodges,186426,FB,AIR FORCE,8,72.2,0,101,54.2,40.6,49.8,1,1,21,91.3,88.0,95.2,0,2,0,57,0,0,1,79,22,25,0,0,35,0
Carson Rasmussen,176280,G,BOISE ST,4,100.0,0,120,60.5,85.0,57.5,0,0,18,100.0,100.0,100.0,0,0,0,57,0,43,0,57,19,19,13,0,38,0
Tailique Williams,123867,WR,GA STATE,4,37.3,0,175,66.7,61.0,52.5,0,0,1,1.1,1.0,100.0,0,0,0,57,0,0,0,153,1,97,0,0,56,6
Jake Smith,97423,WR,ARIZONA ST,9,40.7,0,110,56.3,,49.8,0,0,0,0.0,0.0,,1,0,0,57,0,0,0,140,0,78,0,0,57,0
Jadarian Price,156985,HB,NOTRE DAME,13,23.6,0,258,77.5,55.3,51.5,0,2,29,26.9,27.2,96.6,0,2,0,57,0,0,0,242,31,114,0,0,26,0
Gavin Sawchuk,158088,HB,OKLAHOMA,8,37.5,0,261,56.7,70.6,47.9,0,1,19,22.6,23.6,97.4,0,1,0,57,0,0,0,152,21,89,0,0,36,0
Cade Conley,145709,TE,MARSHALL,11,74.0,0,214,38.4,66.6,47.4,0,0,2,9.1,9.1,100.0,3,0,0,57,0,0,0,77,2,22,0,0,55,48
