player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,week
Websley Etienne,156663,S,FIU,1,0,0,100.0,0,0,166,0,0,57.8,58.3,75.6,,60.0,,0,0,0,0,5.0,,0,0,0,87.5,1,0,0,3,0,16,19,0,0,0,0,0,10,19,0,3,5,0,0,0,1,0,0,5,0,5.0,3
Josiah Robinson,156669,LB,GA STATE,1,3,0,100.0,0,0,175,1,0,67.4,73.1,77.7,54.0,75.9,82.9,0,0,0,0,3.0,0.0,0,0,0,79.2,1,0,0,63,0,30,66,0,0,0,0,0,1,66,5,31,2,4,6,1,1,0,0,3,8,3.0,3
Matthew McDoom,156676,CB,CINCINNATI,1,0,0,100.0,0,0,138,0,0,77.1,82.1,70.8,,73.7,78.8,0,0,0,0,1.0,0.0,0,0,0,79.2,2,0,0,3,12,10,15,0,0,0,0,0,0,15,0,5,0,3,3,1,2,0,0,0,0,0.0,3
Elijah Hopkins,156678,CB,LIBERTY,1,0,0,50.0,0,0,206,0,0,61.2,64.8,73.6,,70.2,76.7,0,0,0,0,19.0,0.0,0,0,0,83.3,1,0,0,7,25,17,34,0,0,0,0,0,0,34,0,17,2,1,2,0,2,0,0,19,1,19.0,3
Tray Brown,156681,LB,COAST CAR,1,2,0,100.0,0,0,141,0,0,55.7,64.6,76.8,51.3,74.7,81.5,0,0,0,0,16.0,0.0,0,0,1,118.8,1,0,0,58,0,12,58,0,0,0,0,0,0,58,14,32,0,4,5,1,1,0,0,16,7,16.0,3
JayT Jackson,156696,CB,LA TECH,1,0,0,100.0,0,0,208,0,0,60.0,33.5,64.2,,60.0,,0,0,0,0,40.0,,0,0,0,118.8,1,0,0,1,1,1,2,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,40,33,40.0,3
D-Icey Hopkins,156697,S,GA STATE,1,0,0,100.0,0,0,175,0,0,38.1,49.2,72.6,71.2,62.5,36.7,0,0,0,0,14.0,50.0,1,0,0,118.8,1,1,0,7,0,8,15,1,0,0,1,0,5,14,1,6,2,1,1,0,1,1,0,14,12,14.0,3
JJ Johnson,156702,S,NC STATE,1,1,0,100.0,0,0,248,0,0,36.4,47.1,74.7,,70.6,81.7,0,0,0,0,42.0,0.0,0,0,0,118.8,1,0,0,6,0,11,20,0,0,0,0,0,7,20,0,9,7,0,2,0,1,0,0,42,23,42.0,3
Brent Austin,156723,CB,CAL,1,0,0,50.0,1,0,130,0,0,56.8,58.9,77.5,,67.2,79.1,0,0,0,0,23.0,0.0,0,1,2,80.2,2,0,0,1,66,37,69,0,0,0,0,0,1,69,0,32,1,0,4,0,4,0,0,35,8,17.5,3
Aiden Fisher,156725,LB,INDIANA,1,0,0,100.0,0,0,190,0,0,69.9,67.5,74.8,62.5,56.2,73.1,0,0,0,0,-2.0,0.0,0,0,0,79.2,1,0,0,25,0,16,30,5,0,0,5,0,0,25,5,9,0,1,1,1,1,0,0,-2,3,-2.0,3
Tyrique Tucker,156729,DI,INDIANA,1,0,0,,0,0,190,0,0,,81.5,73.6,75.6,71.4,72.2,0,1,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,18,18,7,11,0,0,0,0,12,6,0,2,1,1,0,2,0,0,0,,3
Collin Jacob,156744,S,LA LAFAYET,1,0,0,,0,0,207,0,0,,73.6,70.2,,75.0,80.7,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,7,0,0,14,0,0,0,0,0,6,14,0,14,1,3,4,0,0,0,0,0,0,,3
Kailep Edwards,156745,LB,LA LAFAYET,1,0,0,,0,0,207,0,0,60.0,39.9,71.4,,38.6,29.8,0,0,0,0,,33.3,2,0,0,0.0,0,0,0,15,0,1,16,0,0,0,0,0,0,16,0,15,1,1,4,0,0,0,0,0,0,,3
Lorenzell Dubose,156747,CB,LA LAFAYET,1,1,0,,0,0,207,0,0,62.3,60.5,72.9,,57.3,73.5,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,2,19,3,21,0,0,0,0,0,0,21,0,18,0,0,0,0,0,0,0,0,0,,3
Maurion Eleam,156750,CB,LA LAFAYET,1,1,0,,0,0,207,0,0,63.2,57.7,75.5,,51.2,51.9,0,0,0,0,,33.3,1,0,0,0.0,0,0,0,0,0,4,15,0,0,0,0,0,0,15,0,11,15,0,1,0,0,0,0,0,0,,3
Kenard Snyder,156781,ED,TEXAS ST,1,1,0,,0,0,314,0,0,57.6,72.4,77.1,55.4,81.2,63.9,1,0,0,0,,14.3,1,0,0,0.0,0,0,0,0,0,0,30,30,0,0,30,0,0,0,11,19,0,5,5,0,0,1,0,0,0,,3
Jacobie Henderson,156809,CB,RUTGERS,1,0,0,0.0,0,0,278,0,0,67.2,71.1,75.5,66.9,65.2,74.2,0,1,0,0,,0.0,0,0,0,39.6,0,0,0,0,34,20,36,0,0,0,0,0,0,36,1,15,2,0,1,0,1,1,0,0,0,,3
AG McGhee,156812,S,ARK STATE,1,3,0,33.3,0,0,113,0,0,61.1,57.1,76.5,56.0,53.0,38.3,0,0,0,0,31.0,28.6,2,1,0,72.9,1,0,0,26,0,28,63,5,0,0,5,0,0,58,2,33,32,2,2,1,3,0,0,31,28,31.0,3
Dainsus Miller,156813,CB,WYOMING,1,2,0,75.0,0,0,351,0,0,76.7,67.3,77.1,,36.8,26.0,0,0,0,0,23.0,50.0,3,1,0,100.0,3,0,0,6,56,34,69,0,0,0,0,0,2,69,0,35,5,0,1,0,4,0,0,34,6,11.3,3
James Smyre,156816,ED,UAB,1,0,0,,0,0,321,0,0,60.0,69.7,68.0,64.3,,,0,1,0,0,,,0,0,0,0.0,0,0,0,1,0,1,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,,3
Anthony Dunn Jr.,156819,ED,TOLEDO,1,0,0,,0,0,316,0,0,60.1,75.6,75.3,67.1,73.3,71.5,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,2,19,18,0,0,18,0,0,1,5,12,0,0,1,0,0,0,0,0,0,,3
Mario Easterly,156823,S,DOMINION,1,1,0,0.0,0,0,263,0,0,68.6,62.3,76.5,54.3,50.5,81.2,1,0,0,0,,0.0,0,1,0,39.6,0,0,0,35,0,44,69,0,0,0,0,0,25,69,3,22,9,1,3,0,2,1,0,0,0,,3
Chris Spencer,156825,ED,DOMINION,1,0,0,,0,0,263,0,0,,68.6,70.2,59.8,66.0,71.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,5,5,0,1,4,0,0,0,1,4,0,1,1,0,0,0,0,0,0,,3
Brodarius Lewis,156845,DI,SO MISS,1,0,1,,0,0,296,0,0,,70.4,77.4,73.4,58.6,23.2,1,4,0,0,,66.7,2,0,0,0.0,0,0,0,3,0,0,75,72,3,47,2,20,0,3,53,22,0,1,1,0,0,5,0,0,0,,3
Bernock Iya,156855,S,NEW MEX ST,1,0,0,100.0,0,0,242,0,0,74.2,66.5,75.7,57.5,55.0,46.4,0,0,0,0,13.0,25.0,1,1,0,118.8,1,0,0,33,1,20,63,0,0,0,0,0,3,63,2,41,26,1,3,0,1,0,0,13,15,13.0,3
Blake Matthews,156872,LB,DELAWARE,1,2,0,60.0,0,0,151,0,0,67.3,69.1,79.6,55.4,70.3,79.5,0,0,0,0,24.0,0.0,0,0,0,78.8,3,0,0,10,0,25,49,22,0,0,22,0,1,27,5,19,16,1,1,0,5,0,0,32,8,10.7,3
Justin Powe,156873,S,TROY,1,0,0,50.0,0,0,318,0,0,37.8,36.3,76.7,,40.1,25.8,0,0,0,0,24.0,50.0,3,0,0,74.0,2,0,0,25,0,27,56,0,0,0,0,0,24,56,0,29,7,0,3,0,4,0,0,29,22,14.5,3
Luke Hodge,156876,LB,TROY,1,1,0,100.0,0,0,318,0,0,65.0,62.9,73.2,57.5,59.5,46.6,1,1,0,0,5.0,25.0,1,0,0,79.2,3,0,0,28,0,12,37,3,0,0,3,0,0,34,3,22,6,2,2,1,3,2,0,5,7,1.7,3
Kiawan Murphy,156887,DI,AKRON,1,0,0,,0,0,102,0,0,,69.9,76.2,60.6,71.5,72.4,1,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,30,30,20,10,0,0,0,0,17,13,0,2,2,0,0,1,0,0,0,,3
DeJuan Echoles Jr.,156900,ED,BALL ST,1,2,1,100.0,0,0,117,0,0,62.9,67.0,80.5,74.6,52.3,36.0,0,0,0,0,9.0,28.6,2,0,0,104.2,1,1,0,8,0,7,42,34,0,0,34,0,0,8,23,12,0,4,3,1,1,1,0,9,9,9.0,3
Canaan Williams,156908,LB,KENT STATE,1,2,0,100.0,0,0,201,0,0,57.3,61.3,76.9,55.8,70.1,81.1,0,0,0,0,13.0,0.0,0,0,0,101.0,4,0,0,21,0,20,39,5,0,0,5,0,0,34,5,14,13,2,4,0,4,0,0,33,19,8.3,3
Sterling Webb,156932,DI,MISSOURI,1,0,0,,0,0,229,0,0,,60.3,71.4,57.9,61.3,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,10,10,2,8,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,,3
Buddha Peleti Jr.,156933,ED,WASH STATE,1,1,0,,0,0,341,0,0,61.1,63.7,77.2,53.9,68.3,76.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,4,0,1,27,23,0,0,21,2,0,4,15,11,0,2,2,1,0,0,0,0,0,,3
Jonathan Brady,156940,WR,INDIANA,1,0,0,,0,0,190,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,3
Keyshaun Elliott,156945,LB,ARIZONA ST,1,0,0,,0,0,110,0,0,49.5,56.5,74.6,66.6,63.2,51.8,2,0,0,0,,25.0,2,0,0,0.0,0,1,0,40,0,23,47,2,0,0,2,0,0,45,3,21,5,4,6,0,0,3,0,0,0,,3
Donovan Hinish,156961,DI,NOTRE DAME,1,0,0,,0,0,258,0,0,60.0,64.3,75.5,60.9,63.7,75.6,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,34,34,3,29,0,2,0,0,23,11,0,3,5,0,0,2,0,0,0,,3
Jaylen Sneed,156972,LB,NOTRE DAME,1,1,0,,0,0,258,0,0,55.0,54.1,74.9,55.4,59.1,77.1,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,16,0,13,22,6,0,0,6,0,0,16,3,6,0,1,2,1,0,1,0,0,0,,3
Josh Burnham,156977,ED,NOTRE DAME,1,0,0,,0,0,258,0,0,,69.2,68.7,60.0,64.1,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,3,3,0,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,,3
Junior Tuihalamaka,156982,ED,NOTRE DAME,1,1,0,,0,0,258,0,0,,67.7,79.2,66.6,63.4,73.0,0,4,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,32,32,0,0,32,0,0,0,16,16,0,0,0,0,0,4,0,0,0,,3
Malachi Davis,156997,ED,TOLEDO,1,0,0,,0,0,316,0,0,60.3,68.4,77.2,72.4,61.7,72.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,2,0,4,19,17,0,0,17,0,0,2,6,9,0,1,1,0,0,0,0,0,0,,3
Avery Smith,157000,CB,TOLEDO,1,0,0,50.0,0,0,316,0,0,53.9,55.2,74.1,,62.1,27.9,0,0,0,0,-2.0,50.0,1,0,0,56.3,1,0,0,1,25,13,28,0,0,0,0,0,0,28,0,15,2,1,1,1,2,0,0,-2,0,-2.0,3
Jeremiah Alexander,157005,LB,CLEMSON,1,1,0,0.0,0,0,140,0,0,52.3,51.7,67.7,,61.8,77.1,0,0,0,0,,0.0,0,0,0,39.6,0,0,0,10,0,2,12,1,0,0,1,0,0,11,0,10,1,1,1,0,1,0,0,0,0,,3
Shawn Murphy,157006,LB,S CAROLINA,1,0,0,100.0,0,0,289,0,0,46.4,60.5,74.0,60.0,75.3,42.0,0,0,0,0,18.0,25.0,1,0,0,152.1,3,0,0,30,0,12,32,0,0,0,0,0,0,32,1,19,2,2,3,0,3,0,1,33,28,11.0,3
Khurtiss Perry,157007,DI,JVILLE ST,1,1,0,,0,0,196,0,0,,72.7,72.8,56.8,74.8,72.6,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,20,20,0,14,0,6,0,0,7,13,0,1,1,1,0,0,0,0,0,,3
Tre'Quon Fegans,157009,CB,JVILLE ST,1,1,0,33.3,0,0,196,0,0,62.8,63.6,75.8,65.4,55.8,78.2,0,1,0,0,5.0,0.0,0,0,0,42.4,1,0,0,7,41,17,50,1,0,0,1,0,0,49,1,32,1,0,2,0,3,1,0,5,6,5.0,3
Mani Powell,157027,LB,PURDUE,1,1,0,100.0,0,0,273,0,0,62.9,68.5,78.5,65.1,68.5,81.9,0,1,0,0,7.0,0.0,0,1,0,95.8,1,0,0,56,0,26,66,10,0,0,10,0,0,56,4,36,0,4,7,1,1,1,0,7,0,7.0,3
Jordan Crook,157032,LB,ARIZONA ST,1,2,0,100.0,0,0,110,0,0,65.4,76.4,76.2,72.1,81.7,76.4,0,0,0,0,11.0,8.3,1,0,0,83.3,2,1,0,46,2,32,55,1,0,0,1,0,0,54,1,22,6,7,9,3,2,1,0,8,8,4.0,3
Enyce Sledge,157044,DI,FAU,1,0,0,,0,0,165,0,0,,62.4,69.5,60.0,61.2,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,4,4,3,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,,3
Robert Woodyard Jr.,157047,LB,AUBURN,1,1,0,,0,0,115,0,0,66.6,69.8,73.7,66.7,65.7,81.7,1,0,0,0,,0.0,0,0,0,0.0,0,0,0,30,0,15,37,2,0,0,2,0,0,35,2,20,5,2,5,0,0,1,0,0,0,,3
Caleb Wooden,157051,S,ARKANSAS,1,3,0,100.0,0,0,111,0,0,58.2,62.5,76.1,60.0,63.5,84.6,1,0,0,0,64.0,0.0,0,0,0,118.8,1,0,0,16,0,17,47,1,0,0,1,0,22,46,1,29,8,2,5,1,1,1,0,64,57,64.0,3
Jeffrey M'ba,157055,DI,SMU,1,0,0,,0,0,287,0,0,,79.7,0.0,78.2,77.9,73.8,0,1,0,0,,0.0,0,0,1,0.0,0,3,0,0,0,0,19,19,4,14,0,1,0,0,12,7,0,2,1,0,0,4,0,0,0,,3
CJ Madden,157062,ED,PURDUE,1,1,0,,0,0,273,0,0,,60.3,76.8,55.7,63.0,70.8,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,48,48,0,4,17,27,0,0,23,25,0,0,0,0,0,0,0,0,0,,3
Bear Alexander,157064,DI,OREGON,1,0,0,,0,0,264,0,0,,47.5,75.4,61.0,43.6,74.6,0,0,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,28,28,7,19,0,2,0,0,13,15,0,2,3,0,0,1,0,0,0,,3
Terrell Foster,157075,LB,GEORGIA,1,0,0,,0,0,173,0,0,60.4,60.7,64.6,59.8,,,0,0,0,0,,,0,0,0,0.0,0,0,0,3,0,2,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,,3
JaCorey Thomas,157078,S,GEORGIA,1,2,0,100.0,0,0,173,0,0,62.0,66.9,75.8,,73.2,82.7,0,0,0,0,9.0,0.0,0,0,0,104.2,1,0,0,3,0,23,33,0,0,0,0,0,29,33,0,10,1,1,3,0,1,0,0,9,7,9.0,3
Daylen Everette,157079,CB,GEORGIA,1,1,0,87.5,0,0,173,0,0,61.7,62.6,77.2,,64.7,58.2,0,0,0,0,21.0,16.7,1,0,0,104.7,7,0,0,2,70,41,73,0,0,0,0,0,0,73,0,32,1,1,4,0,8,0,0,73,28,10.4,3
Tomiwa Durojaiye,157096,DI,ILLINOIS,1,0,0,,0,0,187,0,0,,76.1,74.1,71.0,70.5,,0,1,0,0,,,0,0,0,0.0,0,0,0,0,0,0,26,26,3,14,0,9,0,0,14,12,0,0,0,0,0,1,0,0,0,,3
Elijah Reed,157097,CB,AKRON,1,0,0,87.5,0,0,102,0,0,58.5,56.6,76.4,57.4,51.3,33.0,0,0,0,0,23.0,37.5,3,1,0,102.6,7,0,0,13,54,42,73,1,0,0,1,0,0,72,2,29,5,3,5,1,8,0,0,69,29,9.9,3
Fitzgerald West Jr.,157107,DI,LA LAFAYET,1,1,0,,0,0,207,0,0,,62.4,73.0,59.1,62.3,69.7,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,13,13,7,6,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,,3
Tygee Hill,157111,DI,OREGON ST,1,0,0,,0,0,265,0,0,,70.4,74.8,56.0,74.3,70.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,31,31,1,30,0,0,0,0,13,18,0,1,1,1,0,0,0,0,0,,3
Jordan Allen,157114,S,HOUSTON,1,1,0,100.0,0,0,182,0,0,65.2,60.9,76.3,59.9,51.5,66.3,0,0,0,0,11.0,20.0,1,0,0,112.5,1,0,0,5,0,25,35,1,0,0,1,0,27,34,1,9,2,1,3,0,1,0,0,11,12,11.0,3
Jaelyn Davis-Robinson,157116,CB,SMU,1,0,0,80.0,0,0,287,0,0,82.9,78.1,75.2,58.3,52.7,83.6,0,0,0,1,32.0,0.0,0,0,0,63.8,4,0,0,6,35,30,44,1,0,0,1,0,1,43,1,13,1,3,8,0,5,0,0,44,20,11.0,3
Harold Perkins Jr.,157120,LB,LSU,1,1,1,100.0,0,0,211,0,0,41.8,52.6,78.5,62.4,72.3,83.6,1,1,0,0,16.0,0.0,0,0,0,101.4,3,0,0,35,4,41,81,16,0,0,16,0,0,65,17,23,26,2,5,0,3,2,0,25,14,8.3,3
Davison Igbinosun,157129,CB,OHIO STATE,1,0,0,,0,0,260,0,0,60.3,61.2,76.2,,63.0,,0,0,0,0,,,0,0,1,0.0,0,0,0,0,42,26,43,0,0,0,0,0,0,43,0,17,1,0,0,0,0,0,0,0,0,,3
Reginald Hughes,157136,LB,COLORADO,1,1,0,0.0,0,0,143,0,0,49.9,65.3,77.8,72.7,65.7,78.4,0,1,0,0,,0.0,0,0,0,39.6,0,0,0,25,0,8,41,15,0,0,15,0,0,26,10,23,1,2,4,0,1,1,0,0,0,,3
Jacarius Clayton,157139,DI,MARSHALL,1,0,0,,0,0,214,0,0,,66.6,73.0,62.6,65.5,71.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,21,21,5,1,0,15,0,0,13,8,0,1,1,0,0,0,0,0,0,,3
DeCarlos Nicholson,157143,CB,USC,1,0,0,50.0,0,0,326,0,0,59.5,60.2,75.9,,62.7,74.2,0,0,0,0,21.0,0.0,0,0,0,113.2,3,0,0,2,42,31,44,0,0,0,0,0,0,44,0,13,0,0,1,0,6,0,1,43,1,14.3,3
Marquis Gracial,157153,DI,MISSOURI,1,1,0,,0,0,229,0,0,,61.9,71.8,57.9,62.8,70.2,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,11,11,0,11,0,0,0,0,5,6,0,0,0,0,0,1,0,0,0,,3
DJ Wesolak,157154,ED,MO STATE,1,0,0,,0,0,230,0,0,60.2,61.1,0.0,61.9,66.4,71.5,0,1,0,0,,,0,0,1,0.0,0,0,0,0,0,2,45,45,0,0,44,1,0,0,25,18,0,0,0,0,0,1,0,0,0,,3
Jalen Marshall,157155,DI,MISSOURI,1,0,0,,0,0,229,0,0,,44.1,70.9,59.4,48.3,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,9,9,1,8,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,,3
Ja'Marion Wayne,157164,CB,COAST CAR,1,0,0,58.3,0,0,141,0,0,60.6,62.3,76.5,,67.5,45.5,0,0,0,0,31.0,25.0,2,3,0,101.7,7,0,0,4,60,34,64,0,0,0,0,0,0,64,0,30,0,3,6,0,12,0,1,67,25,9.6,3
Carmycah Glass,157169,LB,HOUSTON,1,0,0,,0,0,182,0,0,62.5,57.9,73.9,51.0,63.4,,0,1,0,0,,,0,0,0,0.0,0,0,0,18,0,7,20,1,0,0,1,0,0,19,8,5,1,0,0,0,0,1,0,0,0,,3
Nuer Gatkuoth,157215,ED,WAKE,1,0,0,100.0,0,0,339,0,0,51.9,49.4,78.8,59.4,48.8,75.2,0,1,0,0,-3.0,0.0,0,0,0,79.2,1,0,0,0,0,7,41,41,0,1,38,2,0,0,11,23,0,1,1,0,1,1,0,-3,3,-3.0,3
Christian Ellis,157236,S,VA TECH,1,1,0,,0,0,337,0,0,72.0,63.4,75.1,,52.3,59.9,0,0,0,0,,16.7,1,0,0,0.0,0,0,0,13,0,8,26,0,0,0,0,0,9,26,0,18,4,3,4,1,0,0,0,0,0,,3
Devon Jackson,157253,LB,OREGON,1,0,0,50.0,0,0,264,0,0,55.5,60.0,73.9,57.7,67.8,27.4,0,0,0,0,8.0,50.0,1,0,0,60.4,1,0,0,33,0,16,37,0,0,0,0,0,0,37,2,19,4,1,1,0,2,0,0,8,6,8.0,3
Harrison Taggart,157254,LB,CAL,1,1,0,,0,0,130,0,0,64.0,72.4,72.3,56.8,75.7,76.7,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,23,1,12,26,0,0,0,0,0,0,26,2,12,2,1,1,0,0,0,0,0,0,,3
Anthony Jones Jr.,157255,ED,UCLA,1,0,0,,0,0,324,0,0,,63.5,75.4,53.5,66.4,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,0,16,15,0,0,13,2,0,1,5,11,0,0,0,0,0,0,0,0,0,,3
David Bailey,157272,ED,TEXAS TECH,1,0,0,,0,0,315,0,0,,74.8,0.0,77.5,66.9,74.3,2,4,0,0,,50.0,1,0,1,0.0,0,1,0,0,0,0,37,37,0,0,27,10,0,0,30,7,0,2,1,0,0,7,0,0,0,,3
Matt Rose,157275,LB,STANFORD,1,5,1,80.0,0,0,300,0,0,79.3,75.3,76.1,65.1,59.1,77.5,0,1,0,0,13.0,7.7,1,1,0,82.5,4,0,0,48,0,33,60,8,0,0,8,0,0,52,10,17,4,4,7,1,5,1,0,19,20,4.8,3
Collin Wright,157276,CB,STANFORD,1,1,0,33.3,0,0,300,0,0,83.7,79.2,76.4,57.8,46.7,77.0,0,1,1,1,9.0,0.0,0,0,0,2.8,2,0,0,4,48,38,54,1,0,0,1,0,0,53,2,14,1,0,1,0,6,1,0,12,1,6.0,3
Scotty Edwards,157277,S,STANFORD,1,1,0,85.7,0,0,300,0,0,60.1,63.7,77.3,60.0,72.8,85.2,0,1,0,0,23.0,0.0,0,1,0,113.1,6,0,0,19,1,40,55,0,0,0,0,0,14,55,1,14,21,3,7,0,7,1,0,78,24,13.0,3
Ernest Cooper,157278,ED,STANFORD,1,1,0,,0,0,300,0,0,62.8,63.8,79.8,58.1,66.1,78.1,0,1,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,5,54,54,0,8,42,4,0,0,33,16,0,2,3,0,0,2,0,0,0,,3
Zach Rowell,157284,DI,STANFORD,1,0,0,,0,0,300,0,0,61.7,44.3,73.8,55.3,33.1,72.9,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,25,25,1,21,1,2,0,0,18,7,0,2,2,0,0,0,0,0,0,,3
Namdi Obiazor,157288,LB,TCU,1,2,0,100.0,0,0,305,0,0,60.0,79.1,73.8,86.5,78.2,82.9,0,1,0,0,9.0,0.0,0,0,0,104.2,2,1,0,42,0,21,46,1,0,0,1,0,0,45,8,17,3,3,5,0,2,2,0,18,8,9.0,3
Damonic Williams,157291,DI,OKLAHOMA,1,0,0,,0,0,261,0,0,59.9,77.8,74.4,71.0,74.8,71.9,1,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,23,23,7,15,0,1,0,0,16,6,0,2,2,1,0,1,0,0,0,,3
Connor Lingren,157293,DI,TCU,1,0,0,,0,0,305,0,0,,64.4,76.0,56.0,67.7,70.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,32,32,12,20,0,0,0,0,18,14,0,0,1,0,0,0,0,0,0,,3
Paul Oyewale,157294,ED,TCU,1,0,0,,0,0,305,0,0,,72.2,77.1,71.4,65.4,29.6,1,2,0,0,,50.0,1,0,0,0.0,0,0,0,0,0,0,38,38,0,0,32,6,0,0,21,17,0,0,1,0,0,3,0,0,0,,3
Champ Lewis,157299,CB,TULSA,1,0,0,,0,0,320,0,0,51.7,48.0,68.0,,60.0,21.4,0,0,0,0,,100.0,1,0,0,0.0,0,0,0,0,4,1,4,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,,3
Kyron Chambers,157300,CB,SMU,1,0,0,75.0,0,0,287,0,0,55.4,55.7,73.7,,60.0,77.5,0,0,0,0,27.0,0.0,0,0,0,102.1,3,0,0,3,1,14,17,0,0,0,0,0,0,17,0,3,13,1,2,1,4,0,0,36,13,12.0,3
Jaylon Guilbeau,157307,CB,TEXAS,1,0,0,100.0,0,0,311,0,0,62.4,63.2,75.8,,63.4,29.0,0,0,0,0,23.0,40.0,2,0,1,118.8,2,0,0,3,42,32,45,0,0,0,0,0,0,45,0,13,0,3,3,0,2,0,0,28,16,14.0,3
Aaron Bryant,157310,DI,VANDERBILT,1,0,0,,0,0,333,0,0,,30.8,72.3,58.2,32.0,69.7,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,13,13,4,9,0,0,0,0,7,6,0,0,1,0,0,1,0,0,0,,3
BJ Allen Jr.,157311,CB,N TEXAS,1,1,0,50.0,0,0,251,0,0,57.8,62.3,76.6,59.8,73.0,47.4,0,0,0,0,34.0,25.0,1,1,1,95.8,1,0,0,2,0,15,23,1,0,0,1,0,0,22,1,7,20,0,2,0,2,0,0,34,1,34.0,3
Jaray Bledsoe,157313,DI,MISS STATE,1,0,0,,0,0,227,0,0,,70.7,71.6,65.5,65.6,70.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,9,9,5,3,0,1,0,0,5,4,0,1,1,0,0,0,0,0,0,,3
Tre'Von McAlpine,157324,DI,TULANE,1,1,0,,0,0,319,0,0,60.0,54.8,76.4,54.8,55.5,74.8,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,37,36,24,12,0,0,0,1,21,16,0,2,3,0,0,0,0,0,0,,3
Harvey Dyson III,157327,ED,TULANE,1,0,0,,0,0,319,0,0,60.9,62.7,81.6,71.9,43.0,19.3,0,2,0,0,,100.0,1,0,0,0.0,0,0,0,1,0,2,40,38,0,0,38,0,0,2,26,12,0,0,0,0,0,2,0,0,0,,3
Ben Roberts,157332,LB,TEXAS TECH,1,1,0,66.7,0,0,315,0,0,62.0,60.4,75.8,54.0,59.9,79.3,0,2,0,0,15.0,0.0,0,1,0,92.4,2,0,0,41,0,32,51,3,0,0,3,0,2,48,5,14,5,1,3,0,3,2,0,25,8,12.5,3
