player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,week
Zeiqui Lawton,144225,DI,SM HOUSTON,1,0,0,,0,0,281,0,0,58.6,69.1,75.0,61.5,76.9,73.2,1,0,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,3,47,47,0,7,1,39,0,0,31,13,0,2,1,0,0,2,0,0,0,,0
Jalen Emery,144247,CB,W KENTUCKY,1,0,0,80.0,0,0,346,0,0,40.4,45.1,75.8,59.5,67.5,22.3,0,0,0,0,36.0,100.0,1,0,0,105.0,4,0,0,1,0,13,21,1,0,0,1,0,1,20,1,7,18,0,0,0,5,0,0,46,24,11.5,0
Jayden Gray,144555,ED,W KENTUCKY,1,0,0,,0,0,346,0,0,,74.1,74.3,66.5,71.3,74.9,0,1,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,18,18,0,3,11,4,0,0,12,6,0,3,2,1,0,2,0,0,0,,0
D.J. Withers,144582,DI,KANSAS,1,0,0,,0,0,198,0,0,,64.9,75.4,71.5,55.1,,0,3,0,0,,100.0,1,0,0,0.0,0,0,0,0,0,0,34,34,6,21,3,4,0,0,20,14,0,0,0,0,0,3,0,0,0,,0
Tommy Dunn Jr.,144584,DI,KANSAS,1,2,0,,0,0,198,0,0,56.7,50.9,0.0,54.9,72.0,73.6,0,1,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,0,26,26,10,13,0,3,0,0,14,12,0,1,1,0,0,1,0,0,0,,0
Desmond Purnell,144611,LB,KANSAS ST,1,0,0,0.0,0,0,199,0,0,73.8,66.1,76.8,70.6,47.2,40.2,0,2,0,0,,50.0,1,1,0,39.6,0,0,0,52,0,22,64,6,0,0,6,0,0,58,9,33,6,1,1,0,1,2,0,0,0,,0
Damian Ilalio,144614,DI,KANSAS ST,1,0,0,,0,0,199,0,0,,61.9,77.2,60.9,61.0,35.5,0,0,0,0,,33.3,1,0,0,0.0,0,0,0,1,0,0,59,58,11,46,0,1,0,1,25,34,0,2,2,1,0,0,0,0,0,,0
Lyrik Rawls,144661,S,KANSAS,1,0,0,50.0,0,0,198,0,0,67.9,72.2,75.5,60.0,75.7,42.2,0,0,0,1,17.0,28.6,2,1,0,30.2,2,0,0,18,0,20,36,0,0,0,0,0,15,36,1,15,3,2,5,0,4,0,0,25,13,12.5,0
Luther McCoy,144986,DI,HAWAII,1,0,0,,0,0,180,0,0,,33.1,0.0,55.6,41.7,69.7,0,0,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,0,20,20,0,13,3,4,0,0,7,13,0,0,1,0,0,0,0,0,0,,0
Al'zillion Hamilton,146042,CB,FRESNO ST,1,0,0,100.0,0,0,169,0,0,59.0,55.7,77.2,,48.3,77.9,0,0,0,0,12.0,0.0,0,0,1,141.7,2,0,0,6,49,24,60,2,0,0,2,0,2,58,0,36,1,1,2,0,2,0,1,17,0,8.5,0
