player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Aaron Young,97161,HB,DOMINION,11,170,30,13,33.3,294,0,883,2,2,30,586,60.9,23,41,263,0,77,90.5,80.4,86.3,,59.6,46.9,85.6,59.1,51,0,89,11,171,246,0,0,16,181,8,883,586,3.45,5.2,0.52,91
Elijah Young,124223,HB,W KENTUCKY,12,170,32,4,11.3,84,0,746,2,18,32,480,67.2,14,35,346,1,106,83.0,77.0,55.6,47.3,54.2,79.5,77.9,51.8,30,1,361,40,229,235,0,0,48,210,3,746,480,2.82,4.4,1.58,59
Damien Taylor,147252,HB,TROY,12,170,51,16,41.8,419,0,1002,0,1,51,677,119.7,26,55,318,1,84,81.9,83.0,48.7,,50.7,53.3,86.9,59.3,56,3,19,3,150,224,0,0,3,173,7,1002,677,3.98,5.9,0.13,86
Kaytron Allen,164158,HB,PENN STATE,13,169,29,7,20.2,154,0,761,2,3,29,481,49.8,21,41,266,1,82,82.2,75.7,86.6,,51.2,52.6,79.8,53.2,26,0,132,14,148,218,0,0,20,183,7,761,481,2.85,4.5,0.89,86
Lee Beebe Jr.,163009,HB,UAB,12,169,46,10,30.3,266,0,877,3,7,46,648,102.1,25,56,321,3,71,64.6,80.4,88.0,,65.7,59.8,85.0,70.5,61,0,219,30,265,198,0,0,40,199,7,877,648,3.83,5.2,0.83,95
CJ Campbell,143876,HB,FAU,12,165,48,12,47.1,396,0,840,3,23,48,662,139.0,24,39,165,0,58,90.5,79.6,86.4,,55.5,76.3,79.5,66.5,58,0,467,40,217,218,0,0,48,205,11,840,662,4.01,5.1,2.15,105
Avery Morrow,128240,HB,COLO STATE,11,165,34,13,42.0,398,0,947,0,2,34,570,69.9,26,48,144,2,13,72.3,76.5,87.1,,58.1,62.4,78.4,32.4,73,1,78,13,134,203,0,0,13,178,9,947,570,3.45,5.7,0.58,152
Kye Robichaux,145532,HB,BOSTON COL,12,164,16,5,21.0,151,0,720,0,0,16,473,27.3,16,43,121,2,112,71.2,69.8,86.2,,42.8,50.7,73.0,54.4,41,0,22,5,131,203,0,0,6,169,10,720,473,2.88,4.4,0.17,52
Marion Lukes,145697,HB,C MICHIGAN,11,161,50,13,37.6,299,0,795,0,4,50,581,110.1,26,44,134,3,61,56.2,78.3,86.2,,55.9,78.8,76.5,56.7,66,0,160,16,130,204,0,0,21,177,5,795,581,3.61,4.9,1.23,95
Dean Connors,156624,HB,RICE,12,160,29,9,38.4,298,1,776,5,16,29,556,70.8,22,45,275,5,34,56.0,71.2,56.1,,50.3,68.4,73.5,57.3,71,1,486,61,301,173,0,0,78,221,9,776,556,3.48,4.9,1.61,118
Terion Stewart,130386,HB,BOWL GREEN,10,160,62,16,48.9,438,0,895,1,0,62,666,160.3,28,44,122,2,93,71.2,78.1,83.2,,28.4,44.2,77.8,56.5,73,1,12,1,48,180,0,0,2,161,6,895,666,4.16,5.6,0.25,67
Devon Dampier,171556,QB,NEW MEXICO,12,160,54,18,38.8,459,0,897,0,0,37,374,96.1,39,72,241,10,77,56.9,89.9,89.9,78.9,,,86.5,60.8,85,4,0,0,0,422,287,40,0,120,19,1184,521,3.26,7.4,,29
Justice Ellison,123383,HB,INDIANA,13,159,20,11,31.0,263,0,848,0,4,20,552,48.4,24,58,190,1,63,81.4,82.1,84.7,34.4,50.5,63.3,84.5,61.3,47,0,90,13,131,195,0,0,14,172,10,848,552,3.47,5.3,0.69,91
Kanye Udoh,171024,WR,ARMY,12,159,29,9,34.8,332,1,953,0,0,29,502,57.2,18,44,114,2,65,70.3,74.6,22.2,,45.2,55.1,77.7,56.2,63,3,3,1,12,419,0,0,1,160,9,953,502,3.16,6.0,0.25,29
Keyon Mozee,145809,HB,MIAMI OH,12,159,31,15,50.9,532,0,1045,0,0,31,633,77.6,26,37,221,1,20,80.9,84.6,81.9,,50.4,48.4,83.5,58.9,74,0,0,0,36,168,0,0,2,159,4,1045,633,3.98,6.6,0.0,134
Quinshon Judkins,157128,HB,OHIO STATE,13,156,35,14,39.8,334,1,839,1,4,35,471,68.1,24,49,260,1,86,81.0,85.1,39.6,,34.7,66.5,87.2,54.6,86,1,118,17,114,212,0,0,21,173,10,839,471,3.02,5.4,1.04,70
Blake Horvath,162555,QB,NAVY,11,154,30,17,54.3,626,0,1079,1,0,28,499,67.9,27,64,237,12,67,26.9,85.4,64.7,59.3,,54.3,91.3,60.0,90,2,13,1,3,392,74,11,2,144,15,1153,537,3.49,7.5,4.33,34
Seth McGowan,122936,HB,NEW MEX ST,12,154,49,13,32.8,270,0,824,3,6,49,578,116.0,24,38,242,3,52,51.7,80.9,50.7,,47.0,77.6,81.1,60.7,38,1,280,24,155,239,0,0,38,178,3,824,578,3.75,5.4,1.81,100
Mike Washington Jr.,145672,HB,NEW MEX ST,12,154,32,10,32.4,226,0,697,4,3,32,475,65.8,20,33,242,4,54,40.3,65.5,85.4,,63.2,41.2,70.5,46.4,47,0,91,10,106,226,0,0,18,164,8,697,475,3.08,4.5,0.86,99
Nate Noel,122249,HB,MISSOURI,10,154,18,11,31.8,254,0,800,0,4,18,412,34.8,21,38,229,0,34,90.3,72.6,87.3,,84.4,59.4,73.3,51.2,64,0,44,15,134,175,0,0,16,169,3,800,412,2.68,5.2,0.33,120
Jamal Haynes,143918,HB,GA TECH,12,152,27,12,50.9,411,0,808,2,11,27,499,71.3,19,35,176,2,85,70.8,65.5,24.8,,30.0,56.9,71.1,48.3,68,2,134,23,220,253,0,0,30,175,9,808,499,3.28,5.3,0.61,67
Desmond Reid,159936,HB,PITTSBURGH,10,152,29,10,42.3,338,0,799,2,21,29,434,72.1,19,39,268,0,62,90.8,74.7,85.9,,23.4,77.3,75.9,56.4,72,0,565,46,300,167,0,0,64,198,4,799,434,2.86,5.3,1.88,82
Davon Booth,174754,HB,MISS STATE,12,152,27,16,53.2,403,1,757,0,2,27,457,52.8,20,38,227,0,63,90.3,75.9,45.3,,62.4,68.2,76.5,62.9,43,1,164,13,157,175,0,0,17,165,5,757,457,3.01,5.0,1.04,87
Sedrick Alexander,172605,HB,VANDERBILT,12,151,30,2,8.4,46,0,548,0,4,30,409,53.9,8,36,333,2,118,70.9,75.1,88.9,,63.3,70.7,76.4,56.1,31,0,221,20,163,289,0,0,26,171,6,548,409,2.71,3.6,1.36,27
Bill Davis,176332,HB,LA LAFAYET,12,150,31,8,34.6,269,0,777,1,1,31,565,75.3,21,38,207,1,46,80.4,74.3,38.6,,50.1,56.6,77.1,48.8,73,1,89,10,130,169,0,0,13,160,9,777,565,3.77,5.2,0.68,104
Quali Conley,141259,HB,ARIZONA,12,150,35,13,47.4,353,1,744,2,11,35,569,92.3,23,40,109,2,83,72.1,73.2,57.1,,66.6,60.7,76.6,66.1,58,1,245,39,237,173,0,0,42,189,8,744,569,3.79,5.0,1.03,66
Braedon Sloan,150238,HB,BALL ST,12,150,18,5,19.1,113,0,590,1,12,17,403,44.1,11,39,117,0,58,90.1,70.8,86.7,72.6,66.1,66.3,71.8,48.9,40,0,329,29,239,174,2,1,37,178,4,592,407,2.71,3.9,1.38,89
Ja'Quinden Jackson,123119,HB,ARKANSAS,10,149,41,10,28.0,224,0,800,0,4,41,522,97.3,27,65,111,2,73,69.8,80.5,87.0,,37.3,61.9,85.5,50.0,46,0,139,13,166,205,0,0,14,162,15,800,522,3.5,5.4,0.84,74
Jalen White,122464,HB,GA SOUTHRN,12,149,27,10,36.8,239,1,650,1,1,27,458,51.8,16,38,174,0,104,90.1,74.9,44.8,,45.6,51.3,81.3,48.9,49,1,66,17,165,178,0,0,19,166,12,650,458,3.07,4.4,0.4,44
Ahmani Marshall,123391,HB,APP STATE,11,149,24,8,24.0,171,0,713,0,2,24,536,58.5,24,44,108,1,29,80.5,75.8,14.0,,49.4,62.0,77.4,57.8,29,1,75,11,105,167,0,0,13,160,7,713,536,3.6,4.8,0.71,120
John Mateer,158516,QB,WASH STATE,12,149,53,12,33.6,339,0,604,0,0,22,413,87.3,37,66,341,3,53,69.1,83.3,72.5,70.8,,84.5,86.0,60.1,68,4,21,0,0,336,404,47,0,102,15,1008,702,4.71,6.8,,18
Jay Ducker,130550,HB,SM HOUSTON,12,148,38,10,38.4,276,0,719,1,6,38,465,84.8,18,38,281,0,51,90.1,75.9,85.6,,69.7,69.3,76.5,54.7,86,0,110,15,123,263,0,0,18,163,7,719,465,3.14,4.9,0.89,95
George Pettaway,156351,HB,JAMES MAD,12,148,27,15,34.3,302,0,881,4,6,27,491,63.7,31,40,197,0,66,90.2,78.6,85.4,,29.8,63.3,82.8,59.6,31,1,200,24,177,202,0,0,31,172,5,881,491,3.32,6.0,1.13,79
Eli Sanders,144541,HB,NEW MEXICO,12,147,41,18,54.3,574,0,1057,1,2,41,523,94.4,28,41,241,1,80,80.2,77.8,85.6,,74.8,49.0,84.3,61.9,75,0,134,15,176,221,0,0,22,162,9,1057,523,3.56,7.2,0.76,67
Freddie Brock IV,142276,HB,GA STATE,12,147,31,10,39.9,317,0,795,3,7,31,585,89.5,21,37,175,0,56,90.2,81.7,84.3,,74.9,59.3,84.6,58.6,57,0,175,22,167,172,0,0,29,169,8,795,585,3.98,5.4,1.05,89
Justin Marshall,173460,HB,COLO STATE,12,146,30,8,31.2,209,0,669,0,0,30,480,64.5,17,26,144,1,7,79.7,74.3,84.5,,74.0,45.3,76.3,57.2,42,0,49,7,105,163,0,0,9,153,4,669,480,3.29,4.6,0.47,138
Isaac Brown,183312,HB,LOUISVILLE,12,145,34,22,59.8,639,0,1069,3,11,34,602,106.8,30,50,210,2,67,62.6,83.1,85.9,,39.2,70.7,85.1,58.9,77,0,152,30,161,156,0,0,38,175,11,1069,602,4.15,7.4,0.94,74
Damien Martinez,162437,HB,MIAMI FL,12,145,34,10,30.8,255,0,827,1,8,34,571,102.7,21,53,220,0,98,90.1,88.7,85.0,,62.9,66.3,91.7,65.6,53,0,198,16,200,160,0,0,19,161,9,827,571,3.94,5.7,0.99,47
Dante Dowdell,174131,HB,NEBRASKA,12,143,18,4,15.1,92,0,610,1,0,18,393,33.0,16,56,238,2,78,68.4,78.2,84.3,,46.7,49.9,79.4,58.6,38,0,21,7,70,168,0,0,8,150,12,610,393,2.75,4.3,0.3,59
Jahiem White,173192,HB,W VIRGINIA,12,142,52,13,40.3,328,0,813,2,3,52,588,141.5,26,38,343,2,71,69.2,71.3,14.0,,26.5,53.6,78.5,43.9,55,2,115,19,148,208,0,0,26,161,7,813,588,4.14,5.7,0.78,71
Ty Son Lawton,78578,HB,INDIANA,13,141,23,10,29.0,194,0,668,0,4,23,406,50.8,18,39,190,0,58,90.1,74.9,84.0,46.8,22.1,69.0,77.0,59.8,29,0,124,12,118,175,0,0,14,153,12,668,406,2.88,4.7,1.05,80
Jeremiyah Love,171090,HB,NOTRE DAME,13,141,60,15,55.8,590,0,1057,2,15,60,660,212.8,24,44,258,0,59,90.0,92.3,84.6,,61.0,77.8,92.8,71.8,98,0,216,24,137,189,0,0,28,165,16,1057,660,4.68,7.5,1.58,78
Jai'Den Thomas,174080,HB,UNLV,12,140,27,10,36.1,302,0,836,1,5,27,495,75.4,21,37,325,0,93,90.0,79.7,85.2,,84.7,51.3,83.4,53.8,54,0,85,10,135,199,0,0,11,150,7,836,495,3.54,6.0,0.63,44
CJ Donaldson,157372,HB,W VIRGINIA,12,140,27,9,33.4,219,1,656,0,4,27,419,61.0,18,50,343,0,57,90.0,72.7,50.0,,44.6,64.0,76.8,49.5,48,1,93,12,156,215,0,0,15,152,9,656,419,2.99,4.7,0.6,82
Jalen Milroe,146590,QB,ALABAMA,12,139,30,11,38.3,314,0,631,0,0,23,310,51.2,29,52,103,9,61,56.1,90.3,79.5,81.9,,60.0,83.4,60.1,72,5,0,0,1,361,188,21,0,118,20,819,405,2.91,5.9,0.0,26
Zak Wallace,104843,HB,ARK STATE,12,138,24,7,32.5,203,0,625,2,2,24,477,58.7,16,41,113,0,56,89.9,73.5,84.5,,49.6,52.2,77.0,69.6,57,0,95,15,153,191,0,0,17,153,10,625,477,3.46,4.5,0.62,81
Michael Benefield,109080,HB,KENNESAW,12,138,16,6,33.0,179,0,542,2,2,16,345,31.3,12,27,200,0,108,89.9,70.2,88.7,,75.6,47.0,72.2,51.0,59,0,23,6,65,218,0,0,9,144,5,542,345,2.5,3.9,0.35,30
Amari Daniels,146991,HB,TEXAS A&M,12,138,16,6,33.3,217,0,652,0,0,16,457,36.5,13,41,312,0,66,90.0,77.0,84.3,,47.4,53.2,80.2,59.5,71,0,60,7,114,189,0,0,10,145,8,652,457,3.31,4.7,0.53,72
Dylan Carson,173850,FB,AIR FORCE,10,138,11,4,17.2,103,0,600,0,0,11,349,20.2,9,36,101,1,46,78.8,68.2,89.0,,67.7,53.8,70.1,45.5,50,0,0,0,16,278,0,0,0,138,5,600,349,2.53,4.3,0.0,1
Floyd Chalk,167095,HB,S JOSE ST,12,138,40,9,38.5,260,0,675,0,6,40,450,104.2,20,36,285,1,52,79.1,78.7,85.1,,75.9,58.4,78.2,58.2,66,0,48,6,97,168,0,0,6,144,9,675,450,3.26,4.9,0.49,83
Brendon Lewis,131687,QB,NEVADA,12,138,41,11,26.2,247,0,653,0,0,29,359,91.8,40,57,239,7,59,50.8,90.1,89.1,79.3,81.4,72.4,85.4,60.5,67,2,18,1,4,368,289,32,1,107,8,942,505,3.66,6.8,4.5,21
Marcus Carroll,123849,HB,MISSOURI,12,137,21,8,28.0,163,0,582,1,2,21,315,36.2,11,47,229,1,53,78.8,77.7,86.5,,52.0,54.3,78.8,61.6,35,0,66,9,80,170,0,0,10,146,12,582,315,2.3,4.2,0.83,84
Jam Miller,157003,HB,ALABAMA,12,136,24,5,28.7,186,0,649,2,2,24,377,48.4,13,33,103,1,60,78.9,76.9,85.0,,72.4,57.0,79.8,61.4,56,0,119,13,139,220,0,0,16,149,7,649,377,2.77,4.8,0.86,76
Devin Mockobee,145111,HB,PURDUE,12,136,41,8,35.5,246,0,692,2,4,41,470,101.6,19,27,273,2,45,68.4,71.5,84.8,,36.7,59.7,76.5,48.5,63,0,170,17,166,165,0,0,22,153,4,692,470,3.46,5.1,1.02,85
Nicholas Singleton,164188,HB,PENN STATE,12,136,25,14,38.2,317,0,830,3,4,25,484,60.4,26,43,266,1,70,80.3,80.3,86.6,,51.1,69.8,82.2,62.3,41,0,299,35,178,190,0,0,40,171,8,830,484,3.56,6.1,1.68,62
Wayshawn Parker,184224,HB,WASH STATE,12,136,35,9,43.9,321,0,731,3,2,35,467,86.4,20,28,341,1,53,78.6,75.1,84.9,,72.4,50.1,79.4,58.5,75,0,108,11,166,170,0,0,15,147,4,731,467,3.43,5.4,0.65,80
