player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Ashton Jeanty,157196,HB,BOISE ST,12,313,125,33,54.5,1247,0,2287,3,8,125,1695,217.6,55,105,120,2,159,79.9,95.4,89.7,,44.3,51.1,97.3,58.3,77,1,102,18,205,348,0,0,28,331,28,2287,1695,5.42,7.3,0.5,153
Marquez Cooper,130489,HB,S DIEGO ST,12,292,68,13,28.7,364,0,1269,0,4,68,833,65.8,31,68,284,0,67,92.3,78.6,63.6,,63.4,64.5,79.9,50.4,47,1,131,20,269,326,0,0,24,312,12,1269,833,2.85,4.3,0.49,221
Tahj Brooks,123133,HB,TEXAS TECH,11,287,58,26,38.9,588,0,1512,1,12,58,872,67.5,41,88,315,2,115,84.0,83.3,87.1,,65.6,59.1,85.3,69.3,40,0,199,28,279,317,0,0,34,315,17,1512,872,3.04,5.3,0.71,171
Omarion Hampton,162750,HB,N CAROLINA,12,281,73,26,43.9,728,0,1660,2,21,73,1222,128.1,45,81,245,1,104,90.1,88.7,88.4,,54.8,65.4,90.7,54.2,75,0,373,38,267,309,0,0,43,319,15,1660,1222,4.35,5.9,1.4,171
Bryson Daily,147303,QB,ARMY,11,266,42,21,34.9,489,0,1380,0,0,40,699,41.0,36,105,114,6,99,63.5,91.2,57.5,70.3,,54.7,89.8,60.1,42,3,0,0,1,532,22,5,1,261,25,1402,714,2.68,5.3,0.0,101
Dylan Sampson,163772,HB,TENNESSEE,13,258,70,17,30.4,453,0,1488,2,13,70,929,107.5,38,78,307,4,163,67.4,90.5,57.2,,64.4,66.7,90.9,58.9,56,1,143,20,170,287,0,0,25,278,22,1488,929,3.6,5.8,0.84,91
Kyle Monangai,129891,HB,RUTGERS,11,256,66,18,36.9,472,0,1279,0,2,66,862,84.8,33,78,278,0,53,91.8,77.3,55.5,,51.2,58.4,78.2,71.0,62,1,75,14,172,292,0,0,17,270,13,1279,862,3.37,5.0,0.44,202
Cam Skattebo,147787,HB,ARIZONA ST,11,248,82,16,30.2,422,1,1399,1,12,82,969,129.8,38,86,110,4,142,65.7,91.6,30.4,,45.2,76.5,92.6,52.5,50,2,468,35,223,305,0,0,40,283,17,1399,969,3.91,5.6,2.1,106
Makhi Hughes,158417,HB,TULANE,12,241,55,19,39.1,511,0,1308,4,2,55,955,87.5,35,63,319,0,137,91.6,89.6,89.3,,41.2,51.7,90.5,90.4,51,0,158,17,153,285,0,0,22,258,15,1308,955,3.96,5.4,1.03,101
Kaleb Johnson,156419,HB,IOWA,12,240,66,28,56.1,861,0,1535,2,12,66,1060,131.5,43,71,192,0,48,91.6,86.5,87.3,,38.5,65.3,86.7,56.8,75,0,190,22,147,262,0,0,25,262,21,1535,1060,4.42,6.4,1.29,191
Ahmad Hardy,190013,HB,LA MONROE,12,238,93,15,39.1,526,0,1346,2,9,93,1012,176.3,34,63,209,3,44,71.8,89.0,49.8,,58.4,56.0,89.0,48.3,80,1,72,8,102,258,0,0,10,246,13,1346,1012,4.25,5.7,0.71,189
Tre Stewart,160817,HB,JVILLE ST,12,238,65,22,44.1,630,1,1427,1,6,65,922,110.5,42,73,196,3,42,72.3,84.7,59.9,,76.1,53.1,88.0,60.3,75,1,132,11,174,394,0,0,16,249,20,1427,922,3.87,6.0,0.76,195
Anthony Hankerson,157691,HB,OREGON ST,12,231,57,11,26.4,285,1,1063,1,5,57,706,73.4,24,63,265,3,100,72.3,77.4,30.4,,51.6,57.1,81.7,60.7,83,2,151,27,258,270,0,0,35,258,15,1078,706,3.06,4.7,0.59,131
RJ Harvey,99622,HB,UCF,12,231,69,32,52.4,827,0,1578,2,10,69,897,122.2,54,81,323,2,74,80.2,85.1,58.5,74.3,21.8,62.2,89.5,58.0,80,1,267,20,192,305,0,0,29,251,22,1578,897,3.88,6.8,1.39,148
Demond Claiborne,157523,HB,WAKE,12,229,45,11,28.4,299,0,1047,2,10,44,735,69.6,25,57,339,0,116,65.0,75.3,56.2,,66.2,73.4,73.9,55.3,60,2,250,22,162,250,6,1,29,250,11,1053,742,3.24,4.6,1.54,108
Mario Anderson Jr.,169699,HB,MEMPHIS,12,219,52,18,36.1,467,1,1292,2,15,52,827,95.5,40,75,218,0,43,91.4,83.3,37.3,,57.9,70.9,86.4,44.8,53,1,290,46,258,249,0,0,53,265,17,1292,827,3.78,5.9,1.12,175
Devin Neal,144558,HB,KANSAS,12,218,47,17,37.1,468,0,1262,2,9,47,814,85.7,35,73,198,1,96,86.4,87.9,88.8,,44.8,65.8,90.5,58.9,54,0,266,26,204,303,0,0,31,244,16,1262,814,3.73,5.8,1.3,122
Star'Corius Thomas,156926,HB,DUKE,12,212,47,12,32.0,280,0,876,1,13,47,612,74.3,22,43,154,2,46,78.4,70.1,85.9,,30.8,58.9,73.8,42.8,44,0,148,21,209,238,0,0,23,233,7,876,612,2.89,4.1,0.71,164
LeQuint Allen,158290,HB,SYRACUSE,12,211,40,9,21.5,194,1,903,3,8,40,621,51.9,24,52,304,1,105,87.1,80.4,44.9,,79.7,80.2,78.0,74.8,30,4,484,61,385,265,0,0,72,272,14,903,621,2.94,4.3,1.26,102
Brashard Smith,143951,HB,SMU,13,209,51,20,45.3,551,0,1217,0,11,51,720,87.9,31,66,287,3,82,79.1,91.0,50.8,,70.0,91.9,87.1,48.2,71,1,299,34,162,240,0,0,40,243,14,1217,720,3.44,5.8,1.85,123
Jordan James,163295,HB,OREGON,12,206,53,12,20.0,233,0,1167,4,8,53,687,89.6,36,76,264,0,103,85.6,87.7,86.3,,43.1,54.8,91.5,50.8,41,0,180,21,205,236,0,0,27,227,13,1167,687,3.33,5.7,0.88,97
DJ Giddens,144595,HB,KANSAS ST,12,206,55,25,54.9,737,0,1343,5,9,55,857,117.8,36,59,199,2,112,69.2,75.7,87.0,,43.9,33.6,85.0,52.6,66,0,258,20,233,279,0,0,32,226,7,1343,857,4.16,6.5,1.11,94
Corey Kiner,86392,HB,CINCINNATI,12,204,82,21,45.9,526,0,1147,0,5,82,841,163.8,39,60,138,3,38,84.9,84.9,55.6,,47.4,62.7,88.3,56.4,46,1,103,15,173,246,0,0,16,219,4,1147,841,4.12,5.6,0.6,165
Quinton Cooley,123380,HB,LIBERTY,11,204,40,15,27.0,338,0,1252,0,0,40,713,68.2,38,78,206,2,115,75.9,85.1,48.8,,58.7,49.9,86.5,47.8,44,1,9,1,88,266,0,0,4,205,13,1252,713,3.5,6.1,0.1,88
Phil Mafah,144123,HB,CLEMSON,13,202,34,14,38.4,420,2,1095,2,1,34,675,52.7,27,63,140,1,97,85.1,73.0,59.1,,56.2,44.9,80.7,52.1,83,2,101,20,306,254,0,0,27,222,8,1095,675,3.34,5.4,0.33,96
Woody Marks,124179,HB,USC,12,198,34,19,37.6,426,0,1133,1,7,34,601,50.8,36,57,326,1,143,83.6,82.8,58.9,,50.3,73.0,85.6,63.9,65,2,321,47,293,221,0,0,54,245,9,1133,601,3.04,5.7,1.1,53
Micah Bernard,100583,HB,UTAH,12,198,55,12,32.2,326,1,1012,3,4,55,733,95.8,29,45,328,3,99,68.8,72.6,87.5,,25.6,54.7,78.2,61.9,64,1,150,30,245,231,0,0,43,228,4,1012,733,3.7,5.1,0.61,99
Rahsul Faison,176482,HB,UTAH ST,12,197,69,21,41.0,454,0,1107,1,3,69,761,127.0,30,52,329,0,131,91.1,80.2,8.6,,56.7,49.0,89.4,54.1,37,3,99,22,268,239,0,0,25,219,8,1107,761,3.86,5.6,0.37,65
Jevon Jackson,149110,HB,UTEP,12,191,43,9,25.1,190,0,758,1,5,43,626,76.4,20,42,330,0,71,90.9,76.0,86.6,,86.0,55.1,78.7,51.7,42,0,86,15,197,259,0,0,20,206,4,758,626,3.28,4.0,0.44,117
Tawee Walker,158097,HB,WISCONSIN,11,190,45,9,25.9,224,0,864,0,2,45,560,68.9,19,53,349,1,82,84.1,75.0,18.0,,69.6,54.0,77.7,47.6,55,2,31,11,159,208,0,0,14,201,10,864,560,2.95,4.5,0.19,104
Rahjai Harris,123814,HB,E CAROLINA,12,189,35,14,42.3,405,0,957,0,4,35,697,70.5,19,44,156,2,78,75.1,74.6,85.5,,58.9,64.6,75.3,58.9,63,0,91,15,180,218,0,0,19,204,10,957,697,3.69,5.1,0.51,111
Ollie Gordon II,157792,HB,OKLA STATE,12,189,41,8,29.3,250,0,854,0,9,41,614,74.2,20,50,262,2,101,75.8,75.8,58.5,74.5,57.9,73.2,76.9,50.2,68,2,198,30,256,232,0,0,38,219,12,854,614,3.25,4.5,0.77,86
Jarquez Hunter,146662,HB,AUBURN,12,186,59,23,48.0,576,0,1201,2,13,59,762,142.5,42,68,115,3,98,66.3,81.5,86.7,27.6,51.1,65.7,86.6,50.6,50,0,155,21,212,232,0,0,27,207,8,1201,762,4.1,6.5,0.73,88
Kalel Mullings,129590,HB,MICHIGAN,12,185,38,11,39.0,370,0,948,1,2,38,657,74.4,16,58,222,0,111,90.8,87.3,85.9,,50.8,49.6,88.0,63.5,63,0,35,6,89,240,0,0,8,191,12,948,657,3.55,5.1,0.39,74
Darius Taylor,173422,HB,MINNESOTA,11,184,40,13,40.0,350,0,874,1,9,40,731,83.2,24,51,225,1,67,84.5,82.3,86.9,,54.1,84.9,81.8,49.9,80,0,332,50,223,214,0,0,55,234,9,874,731,3.97,4.8,1.49,116
Anthony Tyus III,145037,HB,OHIO,11,184,59,13,35.6,335,0,940,1,5,59,651,116.1,29,48,259,4,125,56.4,78.3,87.4,,63.1,62.2,80.4,50.0,46,2,81,11,158,263,0,0,12,195,8,940,651,3.54,5.1,0.51,57
Delbert Mimms III,99609,HB,E MICHIGAN,12,184,34,12,38.5,312,0,810,1,6,34,574,61.5,16,54,160,1,72,83.5,72.0,86.5,,74.1,58.2,73.5,49.5,41,0,145,19,168,234,0,0,22,203,9,810,574,3.12,4.4,0.86,112
Tyler Huff,142567,QB,JVILLE ST,12,184,48,18,36.4,463,0,1093,0,0,32,548,69.4,48,70,196,10,76,49.4,88.1,71.0,75.2,,,84.7,60.0,51,3,0,0,0,452,179,25,0,159,13,1272,668,3.63,6.9,,60
Bhayshul Tuten,150568,HB,VA TECH,11,183,61,21,54.0,621,0,1150,0,5,61,818,143.2,34,45,337,4,46,58.2,77.4,86.2,,47.7,60.9,80.7,56.0,83,0,81,23,188,277,0,0,27,206,15,1150,818,4.47,6.3,0.43,137
Jonah Coleman,158717,HB,WASHINGTON,12,183,65,13,36.8,375,0,1018,0,9,65,804,158.6,36,57,340,0,41,90.7,86.1,87.0,,74.5,67.5,87.1,56.9,64,0,170,22,170,212,0,0,24,205,10,1018,804,4.39,5.6,1.0,141
Raheim Sanders,146626,HB,S CAROLINA,12,183,46,10,37.1,327,0,881,2,22,46,675,119.4,21,52,289,3,71,66.1,81.2,86.5,,34.8,68.2,86.1,46.8,66,0,311,27,206,272,0,0,30,210,11,881,675,3.69,4.8,1.51,111
Ismail Mahdi,161419,HB,TEXAS ST,12,182,43,13,29.8,293,0,982,0,12,43,561,82.3,32,62,314,3,115,75.3,80.3,51.0,,43.6,64.3,84.2,49.1,45,1,195,24,216,206,0,0,24,206,4,982,561,3.08,5.4,0.9,64
Al-Jay Henderson,145676,HB,BUFFALO,12,182,38,13,37.2,345,0,928,2,5,38,677,80.4,28,50,126,1,46,83.5,77.3,85.9,,60.7,63.3,79.1,56.7,68,0,199,17,160,272,0,0,26,199,8,928,677,3.72,5.1,1.24,135
Diego Pavia,156927,QB,VANDERBILT,12,175,41,7,23.7,194,0,573,0,0,26,404,51.4,28,45,333,7,97,64.4,87.5,79.7,85.4,86.8,56.7,72.4,60.2,36,1,0,0,1,377,244,32,0,143,6,817,629,3.59,4.7,0.0,13
Quintrevion Wisner,176190,HB,TEXAS,12,172,38,14,33.9,311,0,918,3,11,38,591,82.9,24,47,311,1,80,83.4,82.8,86.0,,43.3,62.6,86.8,55.0,43,0,214,31,197,206,0,0,43,203,5,918,591,3.44,5.3,1.09,92
Bryson Washington,174649,HB,BAYLOR,10,172,28,13,39.3,397,0,1011,1,5,28,710,70.6,22,53,118,2,65,82.6,86.8,84.6,,32.5,73.6,88.2,56.0,51,1,210,21,155,189,0,0,23,193,12,1011,710,4.13,5.9,1.35,107
