player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,week
Ahmad Hardy,190013,HB,MISSOURI,1,25,11,1,28.8,32,0,111,0,0,11,102.0,172.6,2,5,229,1,9,40.0,70.6,77.1,,74.6,59.7,69.5,60.0,32,0,2,1,9,26,0,0,1,26,1,111,102.0,4.08,4.4,0.22,16,2
Rashod Dubinion,157020,HB,APP STATE,1,25,8,3,33.5,62,0,185,0,0,8,112.0,137.8,4,6,108,2,11,23.7,70.6,78.3,,57.3,53.9,72.2,60.0,26,0,3,1,26,29,0,0,1,26,0,185,112.0,4.48,7.4,0.12,14,2
Al-Jay Henderson,145676,HB,BUFFALO,1,24,8,0,0.0,0,0,98,0,2,8,70.0,112.2,1,8,126,0,8,77.8,74.6,76.4,,77.8,77.5,71.2,63.4,10,0,42,2,11,31,0,0,2,26,2,98,70.0,2.92,4.1,3.82,16,2
Kentrel Bullock,124129,HB,S ALABAMA,1,24,8,0,0.0,0,0,107,0,1,8,61.0,91.5,4,7,288,0,14,78.0,77.2,76.8,,53.7,59.4,77.0,55.3,13,0,-2,1,8,31,0,0,1,25,1,107,61.0,2.54,4.5,-0.25,10,2
Kanye Udoh,171024,HB,ARIZONA ST,1,23,7,1,20.0,21,0,105,0,0,7,57.0,75.4,4,8,110,0,15,77.5,68.4,76.9,,75.6,55.2,69.4,39.2,21,0,0,0,7,24,0,0,0,23,1,105,57.0,2.48,4.6,0.0,8,2
Chubba Purdy,122412,QB,NEVADA,1,22,6,1,17.3,19,0,39,0,0,2,25.0,34.7,5,6,239,0,7,73.3,64.7,77.1,63.5,,,61.8,60.0,19,0,0,0,0,38,71,10,0,12,1,110,56.0,2.55,5.0,,3,2
Lincoln Pare,121537,HB,TEXAS ST,1,21,2,1,39.4,28,0,71,0,2,2,79.0,62.7,1,4,314,0,11,77.0,71.7,75.5,,76.3,66.0,70.2,60.0,28,0,13,3,10,29,0,0,3,24,1,71,79.0,3.76,3.4,1.3,9,2
Adam Randall,156252,HB,CLEMSON,1,21,2,1,28.0,30,0,107,0,1,2,59.0,33.7,4,6,140,1,14,38.4,69.8,76.7,,61.4,57.8,71.9,56.8,30,0,23,4,17,25,0,0,4,25,1,107,59.0,2.81,5.1,1.35,7,2
Blake Horvath,162555,QB,NAVY,1,21,3,1,36.9,24,0,48,0,0,2,57.0,35.2,2,7,237,2,12,74.8,82.3,76.3,79.8,,,70.8,60.0,24,0,0,0,0,49,17,3,0,18,2,65,71.0,3.38,3.1,,2,2
Sieh Bangura,145886,HB,OHIO,1,20,5,0,0.0,0,0,66,0,2,5,65.0,98.9,0,3,259,0,15,76.8,68.3,78.4,,44.4,64.1,68.7,68.1,9,0,16,3,22,28,0,0,4,23,1,66,65.0,3.25,3.3,0.73,5,2
Grant Washington,204156,HB,MINNESOTA,1,20,2,2,25.4,32,0,126,0,0,2,59.0,29.5,4,7,225,0,4,76.7,80.0,74.0,,75.5,57.5,77.1,60.0,16,0,0,0,4,21,0,0,0,20,0,126,59.0,2.95,6.3,0.0,16,2
Matthew Sluka,143059,QB,JAMES MAD,1,20,5,0,0.0,0,0,71,0,0,5,58.0,80.3,2,8,197,0,16,75.9,76.2,74.1,41.9,62.2,,78.1,60.0,13,0,0,0,0,23,13,1,0,19,1,84,66.0,3.3,4.2,,0,2
Cam Edwards,158615,HB,UCONN,1,20,0,1,36.8,25,0,68,0,1,0,55.0,12.5,1,4,146,0,5,76.7,68.5,78.6,,61.0,66.0,66.9,67.3,25,0,46,2,22,25,0,0,2,22,0,68,55.0,2.75,3.4,2.09,15,2
Dominic Richardson,122985,HB,TULSA,1,20,6,1,34.4,32,0,93,0,0,6,75.0,97.8,1,5,320,0,6,76.8,71.0,77.5,,83.7,59.1,70.2,71.7,32,0,20,3,23,22,0,0,3,23,0,93,75.0,3.75,4.7,0.87,14,2
Justice Haynes,172379,HB,MICHIGAN,1,19,7,1,60.0,75,0,125,1,0,7,41.0,68.7,1,3,222,0,10,76.8,68.6,77.3,,35.7,47.3,74.0,59.5,75,0,-5,3,17,22,0,0,5,22,1,125,41.0,2.16,6.6,-0.29,9,2
TJ Harden,162457,HB,SMU,1,19,4,1,34.8,40,0,115,0,0,4,49.0,49.1,2,9,287,0,5,76.5,76.0,75.6,,67.8,74.4,73.3,59.7,40,0,-7,2,14,24,0,0,2,21,3,115,49.0,2.58,6.1,-0.5,14,2
Bill Davis,176332,HB,LA LAFAYET,1,19,6,2,43.9,58,0,132,0,0,6,74.0,116.8,4,8,207,0,7,76.5,89.3,75.7,,41.2,62.8,86.8,60.0,36,0,6,1,4,20,0,0,1,20,2,132,74.0,3.89,6.9,1.5,12,2
John Mateer,158516,QB,OKLAHOMA,1,19,2,1,25.3,19,0,75,0,0,2,37.0,20.5,3,6,261,0,11,75.3,76.4,77.2,72.7,,,68.5,60.0,19,0,0,0,0,39,0,0,0,19,2,75,37.0,1.95,3.9,,4,2
Scottre Humphrey,176767,HB,NEW MEXICO,1,18,2,2,56.7,80,0,141,0,0,2,53.0,32.7,3,7,241,0,9,76.5,76.3,76.5,,12.8,52.9,76.0,60.0,61,0,0,0,5,21,0,0,0,18,2,141,53.0,2.94,7.8,0.0,9,2
LJ Martin,175035,HB,BYU,1,18,4,1,42.7,47,0,110,0,0,4,79.0,92.4,2,5,128,0,5,76.5,67.1,77.1,,47.2,56.1,71.4,47.3,47,0,8,1,15,30,0,0,1,19,0,110,79.0,4.39,6.1,0.53,13,2
Raleek Brown,158458,HB,ARIZONA ST,1,18,9,2,37.3,41,0,110,0,0,9,72.0,171.4,3,5,110,0,11,76.5,72.9,77.5,,77.8,64.5,73.2,,26,0,10,3,20,18,0,0,4,21,0,110,72.0,4.0,6.1,0.5,7,2
Parker Navarro,123758,QB,OHIO,1,18,8,0,0.0,0,0,8,0,0,3,22.0,54.5,5,7,259,1,5,72.9,62.8,0.0,55.0,,,74.3,60.0,19,3,0,0,0,40,80,7,0,11,0,88,74.0,4.11,4.9,,3,2
Jadan Baugh,184417,HB,FLORIDA,1,18,8,1,16.1,15,0,93,0,0,8,74.0,182.7,3,6,163,0,4,76.5,67.3,78.8,,61.1,51.9,69.7,,15,0,0,0,23,19,0,0,0,18,0,93,74.0,4.11,5.2,0.0,14,2
Makhi Frazier,190321,HB,MICH STATE,1,17,2,1,19.8,16,0,81,0,0,2,47.0,30.7,4,3,223,0,5,76.2,66.1,77.1,,65.6,56.5,66.8,59.3,16,0,1,1,15,21,0,0,1,18,0,81,47.0,2.76,4.8,0.07,12,2
Hollywood Smothers,173719,HB,NC STATE,1,17,5,1,40.7,57,0,140,0,1,5,114.0,211.8,3,4,248,0,8,75.9,75.9,74.9,,9.3,64.2,78.9,60.4,57,0,13,2,15,22,0,0,3,19,2,140,114.0,6.71,8.2,0.87,7,2
Robert Henry Jr.,174094,HB,UTSA,1,17,2,2,66.0,105,0,159,1,1,2,105.0,88.2,4,5,331,0,13,75.9,73.0,77.3,,40.5,68.4,73.8,60.0,75,0,21,4,31,19,0,0,5,21,2,159,105.0,6.18,9.4,0.68,4,2
J'Mari Taylor,150482,HB,VIRGINIA,1,17,8,2,70.0,105,0,150,0,0,8,145.0,359.1,2,4,335,0,3,75.9,80.4,76.0,,56.8,60.8,83.1,60.0,66,0,13,2,22,18,0,0,3,19,3,150,145.0,8.53,8.8,0.59,13,2
Shomari Lawrence,141839,HB,MO STATE,1,17,6,1,34.7,17,0,49,0,0,6,63.0,111.2,1,2,230,1,9,30.0,57.5,77.4,,30.2,71.4,59.2,57.2,17,0,23,3,10,23,0,0,3,20,0,49,63.0,3.71,2.9,2.3,8,2
Kaden Feagin,174024,HB,ILLINOIS,1,17,2,0,0.0,0,0,48,0,0,2,42.0,29.1,1,3,187,0,7,75.8,62.4,76.7,,25.2,55.1,64.7,65.2,11,0,0,0,11,20,0,0,0,17,1,48,42.0,2.47,2.8,0.0,10,2
Tae Meadows,156865,HB,TROY,1,16,3,1,36.8,28,0,76,0,0,3,46.0,53.9,2,3,318,0,7,75.5,71.4,75.8,,73.7,55.3,70.8,60.0,28,0,0,0,9,20,0,0,1,16,0,76,46.0,2.88,4.8,0.0,9,2
Byrum Brown,156206,QB,USF,1,16,3,0,0.0,0,0,39,0,0,1,36.0,25.0,2,4,327,0,6,73.5,43.9,76.9,40.4,,,57.5,60.0,20,0,0,0,0,25,30,4,0,12,0,69,67.0,4.19,4.3,,1,2
Adam Hill,191350,HB,TEXAS TECH,1,16,6,4,70.9,90,0,127,0,0,6,109.0,255.5,5,5,315,1,1,28.0,75.0,75.0,,71.8,53.1,76.6,58.3,36,0,0,0,13,21,0,0,0,16,0,127,109.0,6.81,7.9,0.0,15,2
Kaytron Allen,164158,HB,PENN STATE,1,16,8,3,71.5,103,0,144,0,0,8,119.0,350.0,4,6,266,0,9,75.5,71.1,76.3,,76.2,55.2,71.8,59.9,67,0,3,1,14,20,0,0,1,17,1,144,119.0,7.44,9.0,0.21,7,2
Waymond Jordan,199407,HB,USC,1,16,5,3,52.7,88,0,167,1,0,5,135.0,263.7,5,8,326,1,7,28.0,77.5,73.1,,78.3,29.4,79.6,60.0,36,0,0,0,7,17,0,0,1,16,1,167,135.0,8.44,10.4,0.0,8,2
Makenzie McGill,173209,HB,N TEXAS,1,16,9,1,15.7,16,0,102,0,0,9,65.0,215.1,3,3,251,0,5,75.5,70.4,0.0,,40.8,55.0,76.2,60.0,16,1,0,1,16,17,0,0,2,17,1,102,65.0,4.06,6.4,0.0,10,2
Kendrick Raphael,170378,HB,CAL,1,16,0,1,27.7,33,0,119,0,0,0,59.0,0.0,4,6,130,0,6,76.2,75.6,76.4,,76.8,57.9,77.3,58.5,33,0,3,2,20,22,0,0,3,18,1,119,59.0,3.69,7.4,0.15,10,2
Seth McGowan,122936,HB,KENTUCKY,1,15,5,1,19.4,18,0,93,1,0,5,47.0,97.9,2,5,202,0,8,75.2,68.9,76.3,,33.8,39.4,74.4,73.5,18,0,5,1,22,16,0,0,3,16,2,93,47.0,3.13,6.2,0.23,7,2
Lucky Sutton,158807,HB,S DIEGO ST,1,15,7,0,0.0,0,0,88,0,0,7,72.0,224.0,2,4,284,0,9,75.2,77.5,76.6,,78.5,53.4,80.5,56.1,13,0,0,0,17,23,0,0,0,15,0,88,72.0,4.8,5.9,0.0,6,2
Quinton Jackson,163001,HB,RICE,1,15,1,0,0.0,0,0,52,0,0,1,36.0,16.0,0,2,275,0,12,75.5,62.3,76.5,,76.6,58.5,62.6,54.6,9,0,0,0,2,25,0,0,0,15,0,52,36.0,2.4,3.5,0.0,3,2
Alex Tecza,162587,HB,NAVY,1,15,2,2,48.6,54,0,111,0,0,2,89.0,74.2,2,6,237,0,5,75.2,80.9,79.2,,54.3,59.8,86.2,53.7,37,0,-1,1,6,42,0,0,1,16,1,111,89.0,5.93,7.4,-0.17,3,2
Kejon Owens,123640,HB,FIU,1,15,3,2,47.4,37,0,78,0,0,3,47.0,62.7,3,5,166,0,4,75.8,66.9,74.4,,76.7,49.1,67.1,60.0,21,0,0,0,9,18,0,0,2,15,0,78,47.0,3.13,5.2,0.0,11,2
Javin Gordon,199370,HB,TULANE,1,15,6,1,27.5,22,0,80,0,0,6,62.0,165.3,2,3,319,0,4,75.2,75.6,75.3,,26.4,32.5,81.1,60.0,22,0,0,0,9,16,0,0,0,15,0,80,62.0,4.13,5.3,0.0,11,2
Jonah Coleman,158717,HB,WASHINGTON,1,15,10,3,43.2,48,0,111,0,0,10,79.0,329.2,3,9,340,0,1,75.5,90.0,76.4,,75.4,64.3,91.4,47.2,18,0,24,1,14,17,0,0,1,16,5,111,79.0,5.27,7.4,1.71,13,2
Jevon Jackson,149110,HB,UAB,1,15,1,1,23.8,15,0,63,0,0,1,40.0,15.7,2,6,321,0,5,75.2,67.1,75.6,,59.8,64.6,65.8,60.0,15,0,18,2,7,16,0,0,2,17,1,63,40.0,2.67,4.2,2.57,10,2
Kenji Christian,144072,HB,TOLEDO,1,15,8,1,22.0,20,0,91,0,0,8,65.0,231.1,3,3,316,0,7,75.2,84.9,73.4,,,56.9,82.3,60.0,20,0,0,0,5,16,0,0,0,15,0,91,65.0,4.33,6.1,0.0,8,2
Emmett Johnson,156473,HB,NEBRASKA,1,14,4,2,59.7,83,0,139,0,0,4,42.0,75.0,3,4,238,1,5,27.5,72.8,76.6,,72.6,60.9,72.1,73.4,47,0,7,2,20,16,0,0,2,16,2,139,42.0,3.0,9.9,0.35,9,2
Sutton Smith,162530,HB,MEMPHIS,1,14,3,1,21.6,16,0,74,0,1,3,40.0,63.5,3,4,218,0,2,76.1,70.3,74.8,,53.6,74.0,66.9,60.0,16,0,43,4,13,16,0,0,4,18,1,74,40.0,2.86,5.3,3.31,12,2
Dante Dowdell,174131,HB,KENTUCKY,1,14,2,1,26.8,15,0,56,0,1,2,40.0,53.6,1,3,202,0,8,74.8,71.9,74.5,,75.7,63.7,70.7,60.0,15,0,11,2,9,15,0,0,2,16,0,56,40.0,2.86,4.0,1.22,5,2
Landon Sims,146065,HB,HAWAII,1,14,3,1,31.7,19,0,60,0,1,3,39.0,53.1,2,2,180,1,7,29.8,66.3,76.4,,73.7,73.0,60.3,58.1,19,0,29,7,17,17,0,0,8,21,0,60,39.0,2.79,4.3,1.71,6,2
Chip Trayanum,131631,HB,TOLEDO,1,14,4,5,87.7,143,0,163,0,1,4,65.0,145.1,5,6,316,0,7,75.2,85.1,75.2,,46.3,66.7,88.7,47.1,75,0,13,2,9,21,0,0,2,16,2,163,65.0,4.64,11.6,1.44,7,2
Adam Mohammed,183644,HB,WASHINGTON,1,14,7,2,46.3,44,0,95,0,2,7,64.0,274.3,2,5,340,0,1,74.8,78.3,75.5,,1.3,64.7,84.5,44.5,25,0,15,1,16,18,0,0,1,15,1,95,64.0,4.57,6.8,0.94,13,2
Kalib Hicks,173701,HB,OKLA STATE,1,14,0,0,0.0,0,0,63,0,0,0,26.0,0.0,1,3,262,0,4,74.8,64.7,74.9,,,56.6,64.5,60.0,14,0,0,0,3,15,0,0,0,14,0,63,26.0,1.86,4.5,0.0,10,2
Caleb Ramseur,172143,HB,NEVADA,1,14,2,2,59.0,46,0,78,0,1,2,53.0,66.8,2,5,239,0,8,74.9,74.4,77.4,,78.9,61.3,74.3,72.5,26,0,17,3,18,22,0,0,3,17,0,78,53.0,3.79,5.6,0.94,6,2
Sire Gaines,184229,HB,BOISE ST,1,14,7,2,68.4,67,0,98,0,1,7,84.0,320.0,2,5,120,1,10,27.7,76.5,75.9,,80.4,63.8,75.5,60.0,46,0,11,1,13,16,0,0,1,15,1,98,84.0,6.0,7.0,0.85,4,2
Zylan Perry,156734,HB,LA LAFAYET,1,14,4,3,77.7,73,0,94,0,1,4,49.0,116.7,3,4,207,1,3,27.0,67.2,76.5,,73.0,59.0,67.9,59.3,28,0,13,1,14,16,0,0,2,15,0,94,49.0,3.5,6.7,0.93,11,2
Nate Frazier,191146,HB,GEORGIA,1,14,3,0,0.0,0,0,69,0,0,3,47.0,62.9,0,3,173,1,10,27.5,77.1,74.7,,75.1,72.8,74.8,60.0,9,0,15,2,8,16,0,0,2,16,2,69,47.0,3.36,4.9,1.88,4,2
Jo'Shon Barbie,160174,HB,MARSHALL,1,13,2,1,39.4,28,0,71,0,0,2,47.0,51.6,2,2,214,0,2,74.4,60.9,75.4,,80.4,57.5,60.7,57.7,28,0,1,1,10,20,0,0,1,14,0,71,47.0,3.62,5.5,0.1,11,2
CJ Baxter,173153,HB,TEXAS,1,13,3,1,28.1,18,0,64,0,0,3,42.0,64.6,2,5,311,0,8,74.8,67.8,75.9,,25.4,58.1,70.6,60.0,18,0,-3,2,16,15,0,0,2,15,0,64,42.0,3.23,4.9,-0.19,5,2
Mabrey Mettauer,183668,QB,SM HOUSTON,1,13,1,0,0.0,0,0,30,0,0,0,7.0,0.0,0,4,281,0,0,70.4,54.3,11.6,58.1,,,56.5,60.0,9,1,0,0,0,14,30,9,0,4,0,60,19.0,1.46,4.6,,1,2
Dean Connors,156624,HB,HOUSTON,1,13,4,2,72.7,96,0,132,0,0,4,72.0,147.7,3,4,182,0,5,74.5,72.3,74.6,,,58.5,75.2,60.0,54,0,3,2,19,15,0,0,2,15,2,132,72.0,5.54,10.2,0.16,8,2
Jai'Den Thomas,174080,HB,UNLV,1,13,2,0,0.0,0,0,61,0,0,2,32.0,37.9,1,3,325,0,4,74.4,64.0,75.0,,5.5,67.6,66.0,60.0,11,0,0,0,10,16,0,0,1,13,0,61,32.0,2.46,4.7,0.0,8,2
Jalen John,131577,HB,COAST CAR,1,13,5,0,0.0,0,0,46,0,0,5,36.0,92.3,1,3,141,0,3,74.5,65.6,73.1,,22.4,86.3,64.1,57.3,11,0,37,2,5,18,0,0,2,15,0,46,36.0,2.77,3.5,7.4,10,2
Turbo Richard,190199,HB,BOSTON COL,1,13,0,0,0.0,0,0,55,0,5,0,38.0,73.1,0,5,121,1,6,29.1,64.7,77.1,,76.2,57.8,67.5,58.9,9,0,65,7,32,16,0,0,7,20,1,55,38.0,2.92,4.2,2.03,7,2
Jalen Dupree,191053,HB,COLO STATE,1,13,2,0,0.0,0,0,58,0,1,2,38.0,58.5,0,2,144,0,6,74.5,62.8,74.9,,83.4,62.9,62.0,56.2,9,0,13,2,15,18,0,0,2,15,0,58,38.0,2.92,4.5,0.87,7,2
Caden Durham,184449,HB,LSU,1,13,0,0,0.0,0,0,29,0,0,0,29.0,0.0,0,3,211,0,7,74.5,60.4,74.9,,35.7,61.3,61.3,60.0,5,0,10,2,8,14,0,0,2,15,1,29,29.0,2.23,2.2,1.25,6,2
Kevin Jennings,158272,QB,SMU,1,13,4,0,0.0,0,0,21,0,0,0,6.0,0.0,0,3,287,1,3,35.4,49.3,76.8,50.0,,,54.2,60.0,7,1,0,0,0,37,12,6,0,7,0,33,21.0,1.62,2.5,,3,2
Mark Gronowski,138303,QB,IOWA,1,13,3,0,0.0,0,0,25,0,0,1,7.0,10.9,2,7,192,1,2,38.6,67.0,76.7,58.0,,,70.4,60.0,13,0,0,0,0,31,29,5,0,8,1,54,12.0,0.92,4.2,,5,2
Evan Dickens,170066,HB,LIBERTY,1,13,2,2,68.4,78,0,114,0,0,2,52.0,57.1,2,4,206,0,10,74.4,85.0,76.4,,64.3,70.5,82.4,60.5,52,0,8,1,10,19,0,0,1,14,1,114,52.0,4.0,8.8,0.8,3,2
Antwan Raymond,190489,HB,RUTGERS,1,13,9,1,42.7,35,0,82,0,1,9,77.0,394.9,2,6,278,0,2,74.5,79.0,74.1,,79.7,70.7,77.1,60.0,35,0,13,2,9,15,0,0,2,15,2,82,77.0,5.92,6.3,1.44,11,2
Jamal Roberts,175912,HB,MISSOURI,1,13,5,2,71.3,102,0,143,0,0,5,57.0,146.2,3,5,229,0,2,74.5,79.8,77.4,,72.5,63.4,83.6,,63,0,9,2,26,13,0,0,2,15,1,143,57.0,4.38,11.0,0.35,11,2
Kirby Vorhees,177229,HB,WASH STATE,1,13,0,1,46.3,31,0,67,0,0,0,36.0,0.0,2,4,341,0,7,74.8,69.3,75.7,,75.4,53.6,70.0,60.0,31,0,0,0,12,17,0,0,3,13,0,67,36.0,2.77,5.2,0.0,6,2
Nicholas Singleton,164188,HB,PENN STATE,1,13,0,1,21.1,16,0,76,0,0,0,26.0,0.0,2,5,266,0,9,74.4,59.0,76.3,,76.8,50.2,62.0,58.5,16,0,0,0,20,15,0,0,1,13,1,76,26.0,2.0,5.8,0.0,4,2
Brad Jackson,184354,QB,TEXAS ST,1,13,6,0,0.0,0,0,21,0,0,6,27.0,133.9,1,4,314,0,5,73.3,69.5,77.1,63.4,,,68.2,60.1,11,0,0,0,0,45,11,2,0,11,2,32,27.0,2.08,2.5,,2,2
Gavin Garcia,156916,HB,KENT STATE,1,12,1,0,0.0,0,0,18,0,0,1,15.0,9.6,0,0,201,1,6,25.4,49.8,73.7,,5.0,71.2,48.9,,6,0,38,1,13,12,0,0,3,13,0,18,15.0,1.25,1.5,2.92,6,2
Abu Sama III,174686,HB,IOWA STATE,1,12,6,0,0.0,0,0,47,0,0,6,28.0,100.0,1,4,193,0,6,74.1,73.6,74.4,,74.9,57.0,75.3,58.9,11,0,6,2,10,16,0,0,2,14,0,47,28.0,2.33,3.9,0.6,6,2
Star'Corius Thomas,156926,HB,TENNESSEE,1,12,2,2,49.3,34,0,69,0,0,2,50.0,69.4,3,6,307,0,9,74.0,75.4,73.8,,73.2,55.7,74.7,60.0,19,0,0,0,7,13,0,0,0,12,3,69,50.0,4.17,5.8,0.0,3,2
Qua Ashley,160363,HB,BALL ST,1,12,2,0,0.0,0,0,10,0,0,2,27.0,30.0,0,0,117,0,4,74.6,65.5,76.0,,82.8,60.7,64.0,59.2,6,0,-2,3,8,16,0,0,3,15,0,10,27.0,2.25,0.8,-0.25,8,2
Kenyon Clay,156837,HB,ARK STATE,1,12,2,0,0.0,0,0,28,0,0,2,15.0,15.6,1,3,113,1,0,27.1,55.0,75.5,,24.1,62.1,57.2,40.0,13,0,15,4,24,15,0,0,5,16,0,28,15.0,1.25,2.3,0.63,12,2
Cam Porter,129732,HB,NWESTERN,1,12,4,1,47.3,43,0,91,0,0,4,77.0,171.1,3,3,256,0,6,74.9,69.7,75.7,,28.2,66.6,70.3,60.0,43,0,23,3,12,15,0,0,3,15,1,91,77.0,6.42,7.6,1.92,6,2
Rayshon Luke,158732,HB,FRESNO ST,1,12,2,2,74.4,64,0,86,0,1,2,49.0,94.2,3,3,169,0,7,74.6,75.9,74.2,,18.7,57.8,78.8,60.0,44,0,1,1,11,14,0,0,1,13,1,86,49.0,4.08,7.2,0.09,5,2
Jacob Clark,101628,QB,MO STATE,1,12,0,0,0.0,0,0,7,0,0,0,1.0,0.0,2,3,230,1,0,42.6,74.6,77.1,71.7,,89.1,62.7,60.0,10,0,29,1,1,26,45,6,1,7,0,52,12.0,1.0,4.3,29.0,3,2
Jake Retzlaff,70874,QB,TULANE,1,12,2,1,24.2,16,0,31,0,0,1,18.0,28.1,3,4,319,1,1,35.4,80.3,76.7,82.7,,,63.1,60.0,16,1,0,0,0,35,35,4,0,8,1,66,36.0,3.0,5.5,,6,2
Jekail Middlebrook,170487,HB,MIDDLE TN,1,12,2,0,0.0,0,0,27,0,0,2,32.0,31.4,0,2,224,0,2,74.2,67.8,76.0,,25.3,66.9,64.9,82.1,7,0,36,5,25,14,0,0,6,17,0,27,32.0,2.67,2.3,1.44,9,2
Cameron Pettaway,191013,HB,BOWL GREEN,1,12,0,1,44.1,30,0,68,0,0,0,27.0,0.0,2,3,122,0,9,74.3,64.9,73.7,,22.0,55.1,68.2,,30,0,4,1,10,12,0,0,1,13,0,68,27.0,2.25,5.7,0.4,3,2
Sean Patrick,190981,HB,AKRON,1,12,0,1,39.1,25,0,64,0,0,0,32.0,0.0,3,4,102,0,3,74.0,69.8,73.7,,,53.2,72.0,57.8,25,0,0,0,11,14,0,0,0,12,0,64,32.0,2.67,5.3,0.0,9,2
Micah Ford,188865,HB,STANFORD,1,12,1,0,0.0,0,0,21,0,1,1,30.0,38.5,0,2,300,0,2,74.0,67.8,75.0,,39.1,68.3,67.7,60.0,9,0,7,1,10,13,0,0,2,13,0,21,30.0,2.5,1.8,0.7,10,2
Ja'Vin Simpkins,175816,HB,COAST CAR,1,12,5,1,27.6,16,0,58,0,0,5,43.0,137.8,3,5,141,1,5,26.2,64.4,73.7,,79.0,58.7,62.5,70.4,16,0,0,1,9,19,0,0,1,13,0,58,43.0,3.58,4.8,0.0,7,2
Isaac Brown,183312,HB,LOUISVILLE,1,12,4,1,75.0,78,0,104,0,1,4,77.0,213.9,1,1,210,0,5,74.1,68.3,75.2,,16.1,76.3,69.8,,78,0,14,3,10,12,0,0,3,15,1,104,77.0,6.42,8.7,1.4,7,2
Broc Lowry,173383,QB,W MICHIGAN,1,12,1,1,32.1,25,0,47,0,0,1,43.0,67.2,3,5,347,0,5,72.1,64.4,76.4,47.0,,,71.3,60.0,25,0,0,0,0,41,31,4,0,8,2,78,56.0,4.67,6.5,,1,2
Makari Bodiford,184708,HB,MEMPHIS,1,12,0,0,0.0,0,0,42,0,0,0,24.0,0.0,0,3,218,0,5,74.0,66.1,73.3,,73.0,56.7,65.6,60.0,9,0,0,0,1,14,0,0,0,12,2,42,24.0,2.0,3.5,0.0,7,2
Gavin Wimsatt,155757,QB,JVILLE ST,1,12,6,1,60.3,44,0,61,0,0,5,41.0,169.4,2,6,196,0,5,72.9,83.7,76.5,69.7,,60.0,76.3,60.0,44,0,0,0,1,50,12,1,0,11,1,73,50.0,4.17,6.1,0.0,4,2
Justin Baker,199977,HB,TENNESSEE,1,11,0,0,0.0,0,0,37,0,0,0,24.0,0.0,0,1,307,0,5,73.5,70.7,73.7,,77.4,55.4,70.3,60.0,7,0,0,0,7,13,0,0,0,11,0,37,24.0,2.18,3.4,0.0,6,2
Jaziun Patterson,156421,HB,IOWA,1,11,3,0,0.0,0,0,60,0,0,3,52.0,118.2,1,2,192,0,7,73.6,77.2,75.2,,73.6,59.3,83.5,40.6,10,0,2,1,10,15,0,0,1,12,0,60,52.0,4.73,5.5,0.2,4,2
Yasin Willis,183381,HB,SYRACUSE,1,11,2,1,37.5,18,0,48,1,0,2,32.0,52.9,1,5,304,0,3,73.5,45.5,76.1,,5.2,40.2,59.0,47.2,18,0,0,0,19,13,0,0,2,11,1,48,32.0,2.91,4.4,0.0,8,2
Carson Hansen,174669,HB,IOWA STATE,1,11,3,0,0.0,0,0,46,0,1,3,29.0,75.3,1,3,193,1,3,25.7,61.7,74.0,,73.3,62.4,58.8,68.7,11,0,6,3,9,15,0,0,3,14,0,46,29.0,2.64,4.2,0.67,7,2
David Mbadinga,174136,HB,GA SOUTHRN,1,11,0,0,0.0,0,0,39,0,0,0,37.0,0.0,1,3,174,0,7,74.0,70.0,75.3,,67.0,58.3,70.4,60.0,11,0,-4,1,10,13,0,0,1,12,0,39,37.0,3.36,3.5,-0.4,3,2
Chase Jenkins,173242,QB,RICE,1,11,2,1,29.8,17,0,48,0,0,2,15.0,30.0,2,4,275,1,6,30.0,66.2,76.5,58.5,,,66.4,60.0,17,0,0,0,0,47,9,1,0,10,1,57,15.0,1.36,5.2,,4,2
Jeremiah Cobb,172443,HB,AUBURN,1,11,4,2,75.2,91,0,121,0,0,4,76.0,251.2,2,6,115,0,2,73.5,80.1,76.2,,40.4,52.9,90.2,47.3,46,0,0,0,20,13,0,0,0,11,2,121,76.0,6.91,11.0,0.0,9,2
Lamar Sperling,171214,HB,BUFFALO,1,11,4,0,0.0,0,0,48,0,0,4,20.0,66.1,0,3,126,0,0,73.5,74.5,71.1,,73.4,58.2,72.1,,7,0,0,0,2,11,0,0,0,11,0,48,20.0,1.82,4.4,0.0,11,2
Tavierre Dunlap,132720,HB,E MICHIGAN,1,11,0,0,0.0,0,0,26,0,0,0,19.0,0.0,0,2,160,0,5,73.6,61.5,73.4,,33.1,63.4,61.6,59.9,8,0,-3,1,4,14,0,0,1,12,0,26,19.0,1.73,2.4,-0.75,6,2
Devin Miles,200045,HB,W MICHIGAN,1,11,2,0,0.0,0,0,39,0,0,2,26.0,43.0,0,2,347,0,7,74.1,66.8,73.9,,72.6,57.2,66.2,58.5,8,0,0,0,4,14,0,0,0,11,0,39,26.0,2.36,3.5,0.0,4,2
