player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Bryce Hicks,188064,HB,COLORADO,1,2,0,0,0.0,0,0,7,0,0,0,6,0.0,0,0,143,0,2,66.3,58.0,69.2,,71.8,62.7,57.0,,4,0,-2,1,4,2,0,0,1,3,0,7,6,3.0,3.5,-0.5,0
Harry Stewart III,183815,HB,BOISE ST,1,2,0,0,0.0,0,0,9,0,0,0,6,0.0,0,1,120,0,2,65.5,71.8,68.0,,,,68.5,60.0,5,0,0,0,0,3,0,0,0,2,0,9,6,3.0,4.5,,0
Air Noland,183705,QB,MEMPHIS,1,2,0,0,0.0,0,0,-4,0,0,0,0,0.0,0,0,218,0,0,63.7,53.6,67.4,,,,56.7,60.0,0,0,0,0,0,3,0,1,0,1,0,-4,0,0.0,-2.0,,0
Ahmir Smith,188435,HB,KENTUCKY,1,2,0,0,0.0,0,0,13,0,0,0,9,0.0,0,1,202,0,2,65.5,77.1,70.5,,,,71.1,60.0,8,0,0,0,0,5,0,0,0,2,0,13,9,4.5,6.5,,0
Trevon Kinchen,183566,HB,LA MONROE,1,2,0,0,0.0,0,0,7,0,0,0,6,0.0,0,0,209,0,0,65.5,64.0,66.1,,,59.8,63.2,,4,0,0,0,1,2,0,0,0,2,0,7,6,3.0,3.5,0.0,2
Whitt Newbauer,188566,QB,OKLAHOMA,1,2,1,0,0.0,0,0,3,0,0,0,1,0.0,0,1,261,0,1,64.4,65.3,71.4,60.4,,,61.7,60.0,3,1,0,0,0,12,0,1,0,1,1,3,2,1.0,1.5,,0
Brandon Young Jr.,183483,TE,UTSA,2,2,0,0,0.0,0,0,2,0,0,0,1,0.0,0,2,331,0,0,66.9,85.1,76.4,,,83.5,71.0,52.4,1,0,8,2,17,13,0,0,4,4,0,2,1,0.5,1.0,0.47,0
Andy Bass,188770,HB,OKLAHOMA,1,2,0,0,0.0,0,0,-8,0,0,0,-8,0.0,0,0,261,1,1,9.8,42.3,68.6,,69.8,60.0,46.3,,5,0,0,0,1,2,0,0,0,2,0,-8,-8,-4.0,-4.0,0.0,1
Javarius Green,183330,WR,BOSTON COL,2,2,0,0,0.0,0,0,8,1,0,0,2,0.0,0,0,121,0,2,69.3,57.6,79.8,,,57.4,61.3,53.4,4,0,93,9,68,21,0,0,13,11,0,8,2,1.0,4.0,1.37,0
Brennan Ridley,189014,WR,BOWL GREEN,2,2,0,0,0.0,0,0,5,0,0,0,3,0.0,0,0,122,0,1,68.8,57.5,78.9,60.0,,58.7,56.3,59.7,4,1,52,7,33,39,0,0,8,9,0,5,3,1.5,2.5,1.58,0
