rank,team,record,pf,pa,grade_over,grade_off,grade_pass,grade_pblk,grade_recv,grade_run,grade_rblk,grade_def,grade_rdef,grade_tack,grade_prsh,grade_cov,grade_spec
97,Sacramento State,1 - 2,72,77,74.3,67.9,63.6,63.7,66.1,81.7,51.6,68.9,72.6,55.8,67.0,63.2,71.7
98,Navy,1 - 1,72,53,73.9,69.5,50.7,72.0,50.6,86.8,59.2,66.5,88.4,70.9,56.3,49.8,75.2
99,Nevada,1 - 1,56,34,73.7,67.4,54.9,72.8,57.0,83.6,61.4,66.8,64.3,55.1,70.9,64.7,79.7
100,Oklahoma State,1 - 1,49,55,73.7,63.1,60.6,64.2,63.2,70.4,51.6,76.2,75.3,52.7,66.0,75.5,72.6
101,Wyoming,1 - 1,34,48,73.7,63.8,52.3,80.1,64.6,62.2,63.9,71.3,78.9,63.8,68.9,58.9,72.4
102,Northwestern,1 - 0,34,18,73.6,74.2,65.9,58.1,68.7,82.9,64.3,65.5,70.6,74.4,54.6,69.2,56.0
103,California,1 - 1,45,63,73.4,65.7,71.1,70.9,58.1,71.4,58.1,72.6,60.8,65.8,73.9,83.5,58.6
104,Delaware,1 - 1,68,42,73.2,65.6,64.2,47.6,65.2,75.1,56.1,71.8,74.3,64.9,75.5,60.1,62.0
105,Rutgers,0 - 2,42,65,73.1,65.1,47.4,56.6,68.0,65.4,67.3,72.0,78.3,68.7,60.1,67.0,62.3
106,Middle Tennessee,1 - 1,64,42,73.0,67.2,57.8,74.4,67.8,75.4,54.3,67.6,67.7,65.7,68.0,65.0,62.5
107,Georgia Tech,0 - 2,37,59,72.8,62.9,69.3,42.4,65.6,76.7,44.5,73.1,76.7,65.5,62.2,66.9,73.8
108,Eastern Michigan,1 - 2,56,79,72.7,59.0,53.2,59.5,57.1,73.6,53.7,78.3,69.5,58.1,65.4,85.9,67.7
109,Fresno State,1 - 1,49,42,72.6,66.6,59.8,36.8,72.3,74.2,52.2,67.1,70.6,58.1,58.5,63.8,76.4
110,Kentucky,1 - 1,62,58,72.0,64.9,47.4,72.4,66.4,76.7,53.7,69.4,66.5,60.7,73.2,67.5,67.6
111,Charlotte,0 - 2,50,84,71.8,69.1,73.4,62.9,68.3,75.3,54.7,63.5,69.1,40.9,61.1,53.8,68.1
112,Sam Houston State,0 - 2,38,47,71.1,62.2,73.1,46.3,64.2,69.6,44.6,72.5,72.1,59.6,68.8,69.1,60.0
113,Louisiana,1 - 1,68,56,70.8,69.6,67.0,30.8,70.7,86.3,51.7,63.5,52.2,55.4,64.7,71.0,65.4
114,Georgia Southern,1 - 1,38,22,70.7,61.1,44.9,79.5,64.1,68.3,51.7,77.7,77.4,44.8,69.6,76.0,74.1
115,UAB,1 - 1,49,62,70.0,69.6,59.8,42.1,66.0,87.3,54.9,60.1,65.1,58.9,63.6,55.5,60.8
116,UTEP,1 - 1,51,61,69.5,64.0,51.4,36.9,62.6,68.8,69.1,69.7,66.8,59.6,72.2,66.6,70.8
117,Texas State,0 - 2,33,90,68.1,66.5,59.9,74.8,66.3,73.7,52.3,69.2,65.7,64.6,73.0,68.3,58.4
118,Florida Atlantic,1 - 1,59,96,67.7,70.9,79.1,81.7,70.0,67.1,51.6,54.3,53.7,32.0,65.2,53.9,55.7
119,UNLV,1 - 2,48,77,67.0,63.4,65.3,55.8,61.9,69.1,57.3,65.2,60.3,49.4,76.3,58.5,60.3
120,East Carolina,0 - 2,34,75,66.6,60.5,53.0,60.6,62.5,78.8,44.7,66.7,77.7,56.4,55.7,60.0,64.6
121,Clemson,1 - 1,32,58,66.2,53.1,36.1,59.2,60.6,64.2,50.6,72.5,75.1,53.8,61.1,75.6,63.4
