player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Simote Pepa,146457,DI,WASHINGTON,12,3,0,,0,0,340,0,0,60.0,68.4,80.6,57.8,71.7,77.5,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,0,101,100,63,34,0,3,0,1,53,48,0,4,6,0,0,1,0,0,0,
Davon Banks,146477,S,BOISE ST,4,1,0,41.7,0,0,120,0,0,43.0,45.3,0.0,77.6,52.7,28.9,1,0,0,0,49.0,41.7,5,1,2,97.2,5,0,0,38,2,71,132,8,0,0,8,0,6,124,4,57,78,4,6,1,12,1,1,94,37,18.8
Milton Hopkins Jr.,146484,ED,WASHINGTON,1,0,0,,0,0,340,0,0,,67.5,69.5,66.7,60.0,,1,1,0,0,,,0,0,0,0.0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,2,1,0,0,0,0,0,2,0,0,0,
Jernias Tafia,146499,DI,COLO STATE,12,13,1,,0,1,144,0,0,71.9,56.8,86.0,51.9,56.2,77.3,0,4,0,0,,3.0,1,0,0,0.0,0,0,0,3,0,1,421,416,239,163,5,9,0,5,182,238,0,16,19,1,0,4,0,0,0,
Raam Stevenson,146517,ED,WASH STATE,9,2,0,,0,0,341,1,0,78.3,66.3,84.2,60.6,61.8,29.2,2,9,0,0,,44.4,4,0,0,0.0,0,1,0,6,0,9,221,215,0,2,194,19,0,6,105,107,0,3,3,0,0,12,0,0,0,
Gavin Barthiel,146519,LB,WASH STATE,9,2,0,100.0,0,0,341,0,0,44.7,47.5,76.6,53.2,56.5,26.3,0,1,0,0,14.0,40.0,6,0,0,104.2,6,0,0,54,0,40,78,12,0,0,12,0,1,66,7,31,10,2,7,0,6,1,0,54,24,9.0
Giovanni Iovino,146522,LB,HAWAII,12,7,0,87.5,0,0,180,0,0,45.3,53.7,3.5,72.0,61.8,79.2,2,2,1,1,15.0,3.6,1,0,1,62.5,7,1,0,183,0,89,195,6,0,0,6,0,0,189,12,94,5,11,20,2,8,5,0,68,43,9.7
David Gusta,146524,DI,KENTUCKY,12,4,0,,0,0,202,0,0,68.0,76.3,45.1,69.7,77.8,29.3,2,12,0,0,,27.8,5,0,3,0.0,0,1,0,4,0,0,408,404,258,145,0,1,0,4,216,192,0,8,9,2,0,15,0,0,0,
Sam Carrell,146530,ED,RICE,9,3,1,,0,0,275,0,0,60.0,64.7,77.9,65.4,61.1,75.0,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,0,83,82,0,16,19,47,0,1,39,44,0,0,0,0,0,0,0,0,0,
Avante Dickerson,146536,CB,ARK STATE,12,2,0,75.0,0,1,113,0,0,77.1,75.9,85.8,58.1,66.2,70.1,0,1,0,2,41.0,12.0,6,4,0,107.2,36,0,0,76,751,430,828,1,0,0,1,0,0,827,2,396,0,9,42,1,48,1,3,451,115,12.5
Brandon Buckner,146539,ED,MIDDLE TN,12,10,1,60.0,1,0,224,0,0,86.6,71.5,69.2,59.1,71.2,73.7,1,11,0,0,9.0,7.9,3,1,1,64.6,3,4,0,19,1,44,442,411,0,0,408,3,0,31,205,193,10,22,25,2,5,16,0,14,14,4.7
Jabril McNeill,146549,ED,TROY,4,1,0,,1,0,318,0,0,,60.8,0.0,65.6,61.8,76.6,0,4,0,0,,0.0,0,0,1,0.0,0,0,0,3,0,0,37,33,0,0,33,0,0,4,28,9,1,2,2,0,0,4,0,0,0,
Jaylin Davies,146551,CB,OKLA STATE,1,1,0,,0,0,262,0,0,62.6,65.5,70.3,,64.0,73.5,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,2,8,3,10,0,0,0,0,0,0,10,0,7,0,0,0,0,0,0,0,0,0,
Keanu Williams,146556,DI,UCLA,12,17,1,,0,0,324,0,0,60.0,65.8,65.8,58.6,68.2,78.4,0,4,0,0,,2.2,1,0,1,0.0,0,0,0,0,0,0,458,457,59,356,1,41,0,1,202,256,0,14,28,0,0,4,0,0,0,
Terrell Tilmon,146564,ED,TEXAS TECH,11,1,0,100.0,0,0,315,0,0,76.0,64.9,86.3,57.0,62.5,61.0,2,3,0,0,2.0,12.5,1,0,0,79.2,2,1,0,1,0,19,191,190,0,0,190,0,0,1,94,78,0,5,6,1,2,6,0,0,1,0.0
Christian Leary,146589,WR,W MICHIGAN,1,0,0,,0,0,347,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Keanu Koht,146605,ED,VANDERBILT,12,2,1,50.0,1,0,333,0,0,44.2,45.9,38.6,64.7,35.0,51.3,2,3,0,0,41.0,20.0,1,0,1,135.4,1,1,0,4,0,13,165,157,0,0,155,2,0,8,90,62,4,3,2,0,2,6,1,41,36,41.0
Brylan Lanier,146606,S,MISS STATE,12,9,0,63.4,0,0,227,0,0,60.2,59.7,85.0,68.1,55.9,57.9,0,0,0,3,62.0,16.7,12,1,1,75.5,26,1,0,299,15,321,609,4,0,0,4,0,128,605,9,279,163,16,51,1,41,1,2,342,120,13.2
DeVonta Smith,146607,CB,NOTRE DAME,8,2,0,57.7,0,0,258,1,0,72.2,72.4,86.6,47.6,72.5,75.6,0,1,0,0,20.0,9.1,2,3,2,71.0,15,0,0,25,26,179,287,21,0,0,21,0,8,266,4,104,207,8,18,1,26,1,0,130,53,8.7
Deontae Lawson,146608,LB,ALABAMA,13,20,1,83.3,0,2,103,2,0,70.2,78.3,86.5,58.0,85.3,60.7,0,11,0,0,37.0,16.1,15,2,0,115.8,25,1,0,514,0,264,591,55,0,0,55,0,5,536,91,236,17,38,58,4,30,12,2,194,131,7.8
