player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Nitro Tuggle,184580,WR,PURDUE,12,14.0,10,48.6,53.8,7,13,0,17.1,7,-0.06,24,273,0,34.2,72.2,56.7,61.9,56.0,0.2,1,3,36,0.2,1,424,0,42.9,34,93.2,395,18.6,79,73.5,70,4,81.1,344,500,116,3.4,14.7,1.27
Marcel Williams,184707,WR,AKRON,12,11.7,5,62.9,30.4,7,23,0,8.3,4,-0.01,32,102,0,67.7,73.5,75.1,,75.9,0.0,0,1,46,0.0,0,319,2,40.1,44,94.7,302,15.7,50,96.0,70,2,84.3,269,638,193,4.4,14.5,2.11
Eli Heidenreich,162554,FB,NAVY,12,13.1,7,66.7,81.3,13,16,0,2.1,1,0.38,34,237,0,86.5,84.5,93.0,53.6,94.8,8.0,16,3,82,2.5,5,200,1,45.5,46,93.0,186,23.5,47,115.8,69,5,45.5,91,877,338,7.3,19.1,4.72
Mike Matthews,184887,WR,TENNESSEE,12,13.8,9,72.5,37.5,3,8,0,10.7,6,0.31,35,307,0,59.5,74.3,66.8,,67.9,0.0,0,1,62,0.0,0,426,1,53.2,50,92.7,395,5.6,24,122.3,69,4,94.4,402,770,341,6.8,15.4,1.95
Elijah Metcalf,145307,WR,SO MISS,12,9.4,12,75.4,62.5,5,8,0,3.7,2,0.05,27,296,0,83.1,82.6,70.8,,73.5,0.0,0,2,76,0.0,0,336,1,45.1,52,91.7,308,94.3,317,103.4,69,2,4.8,16,677,368,7.1,13.0,2.2
Gavin Freeman,158078,WR,OKLA STATE,12,4.6,11,76.8,55.6,5,9,0,7.0,4,-0.19,24,262,2,71.8,55.0,66.0,,66.1,0.0,0,3,33,0.0,0,277,3,39.0,53,96.0,266,93.9,260,96.3,69,4,5.4,15,481,363,6.8,9.1,1.81
Emmanuel Henderson Jr.,163595,WR,KANSAS,12,15.0,3,66.2,75.0,6,8,0,8.2,4,0.14,27,198,0,67.5,76.9,70.9,,70.8,0.3,1,1,93,0.0,0,344,1,49.1,45,96.5,332,32.0,110,122.5,68,5,67.2,231,766,314,7.0,17.0,2.31
Dallen Bentley,176648,TE,UTAH,12,10.8,9,61.8,23.1,3,13,1,0.0,0,0.31,27,328,1,91.2,41.7,73.0,62.0,78.2,56.6,188,1,44,13.3,44,332,3,49.7,42,82.5,274,30.4,101,103.4,68,5,10.5,35,514,220,5.2,12.2,1.88
Chris Durr Jr.,184950,WR,WYOMING,11,6.7,14,66.2,40.0,4,10,0,6.3,3,-0.12,18,351,0,73.6,73.9,67.9,,68.8,0.0,0,2,49,0.0,0,239,1,42.3,45,92.9,222,87.9,210,93.3,68,4,12.1,29,469,297,6.6,10.4,2.11
Jayce Brown,173093,WR,KANSAS ST,10,14.4,4,60.3,50.0,6,12,1,10.9,5,0.01,22,199,1,59.1,46.4,75.0,,72.4,0.0,0,0,78,0.0,0,250,1,42.0,41,97.2,243,70.4,176,120.5,68,5,28.8,72,712,208,5.1,17.4,2.93
Justin Joly,158620,TE,NC STATE,11,7.6,6,70.1,57.1,8,14,0,2.1,1,0.19,27,248,0,81.4,73.7,77.7,73.6,81.4,44.7,139,5,59,12.5,39,311,1,49.0,47,83.6,260,47.9,149,93.4,67,7,6.8,21,468,175,3.7,10.0,1.8
Darrell Gill Jr.,176036,WR,SYRACUSE,12,16.7,5,47.8,33.3,4,12,0,8.6,3,-0.18,23,304,1,66.6,35.4,58.7,,59.3,0.0,0,5,43,0.0,0,438,1,39.1,32,94.1,412,14.2,62,66.9,67,5,85.6,375,502,100,3.1,15.7,1.22
Cam Pickett,163093,WR,KANSAS,12,7.0,5,67.2,40.0,2,5,0,15.1,8,0.07,26,198,1,46.2,74.0,67.1,,67.8,0.0,0,5,38,0.0,0,246,1,47.0,45,95.1,234,83.3,205,71.5,67,3,13.8,34,476,286,6.4,10.6,2.03
Tony Freeman,184219,WR,WASH STATE,12,7.4,11,76.1,45.5,5,11,0,3.8,2,-0.02,29,341,1,76.7,68.8,77.7,64.5,79.0,2.7,7,1,48,0.4,1,263,2,41.4,51,94.3,248,79.8,210,108.9,67,3,17.1,45,557,298,5.8,10.9,2.25
Cyrus Allen,156582,WR,CINCINNATI,12,11.0,8,70.1,20.0,1,5,0,2.1,1,0.24,28,138,1,87.1,49.0,74.4,62.1,75.6,0.0,0,4,88,0.4,1,278,0,47.1,47,93.9,261,92.8,258,115.8,67,11,7.2,20,652,262,5.6,13.9,2.5
Jordan Napier,175759,WR,S DIEGO ST,10,8.5,10,71.2,44.4,4,9,0,7.8,4,-0.03,29,284,0,63.8,71.8,77.4,,83.5,0.5,1,2,80,0.0,0,199,1,41.9,47,93.0,185,79.4,158,98.3,66,2,19.1,38,624,315,6.7,13.3,3.37
Dominique Henry,163249,WR,FAU,12,13.8,12,60.6,61.5,8,13,0,2.4,1,0.08,25,165,1,85.2,42.1,61.2,64.1,62.1,0.0,0,4,90,0.2,1,495,0,46.6,40,93.9,465,5.7,28,83.3,66,4,93.9,465,567,216,5.4,14.2,1.22
Romello Brinson,143936,WR,SMU,12,10.4,11,65.2,37.5,3,8,0,10.4,5,0.13,25,287,1,61.2,42.4,59.0,61.0,60.9,0.2,1,1,75,0.2,1,410,7,46.3,43,94.4,387,12.0,49,105.4,66,3,87.8,360,636,315,7.3,14.8,1.64
Donaven McCulley,144829,WR,MICHIGAN,12,13.7,6,53.8,58.3,7,12,0,5.4,2,0.07,28,222,0,75.2,73.1,68.2,,69.3,0.0,0,3,44,0.0,0,337,1,46.7,35,95.5,322,8.6,29,77.3,65,3,91.4,308,534,171,4.9,15.3,1.66
TK King,157338,WR,NEW MEX ST,8,14.0,2,63.1,47.1,8,17,0,6.8,3,-0.07,27,242,0,71.7,80.5,73.0,,74.4,0.0,0,3,64,0.0,0,264,1,43.2,41,94.7,250,20.1,53,88.9,65,3,79.2,209,594,123,3.0,14.5,2.38
Elijah Sarratt,159499,WR,INDIANA,10,9.6,9,72.3,35.0,7,20,0,6.0,3,0.43,37,190,0,74.6,73.5,85.0,,85.4,0.0,0,1,49,0.0,0,258,0,60.5,47,94.2,243,13.6,35,136.8,65,11,86.4,223,644,271,5.8,13.7,2.65
Le'Meke Brockington,144969,WR,MINNESOTA,12,9.2,5,70.8,61.5,8,13,0,0.0,0,-0.1,25,225,0,91.7,74.3,71.3,61.9,71.7,0.6,2,1,24,0.3,1,327,0,38.7,46,94.5,309,40.4,132,106.2,65,4,58.4,191,484,161,3.5,10.5,1.57
Yamir Knight,172250,WR,SMU,12,7.9,10,73.8,57.1,4,7,0,4.0,2,0.13,23,287,0,81.2,85.3,71.0,,73.0,0.0,0,1,61,0.0,0,290,1,44.0,48,94.8,275,88.6,257,117.1,65,5,11.4,33,534,324,6.8,11.1,1.94
Dorian Fleming,172225,TE,MARYLAND,12,4.7,8,63.1,66.7,8,12,0,12.8,6,-0.03,20,215,0,53.0,73.0,52.3,60.9,56.9,57.1,228,0,48,15.3,61,399,3,42.5,41,82.7,330,34.6,138,93.0,65,3,5.5,22,358,241,5.9,8.7,1.08
Ja'Cory Thomas,199065,WR,DOMINION,11,16.1,10,57.8,52.9,9,17,0,7.5,3,0.21,29,263,1,62.5,38.4,75.1,,74.7,0.4,1,3,55,0.0,0,278,1,48.7,37,93.9,261,8.3,23,100.5,64,5,91.4,254,672,230,6.2,18.2,2.57
Brandon White,163781,WR,HAWAII,11,14.3,9,57.8,22.2,2,9,2,7.5,3,0.01,12,180,0,69.9,74.3,60.7,,59.3,0.0,0,3,46,0.0,0,318,4,42.1,37,95.0,302,9.4,30,60.8,64,1,90.6,288,382,145,3.9,10.3,1.26
Nyziah Hunter,176556,WR,NEBRASKA,12,10.7,10,67.2,33.3,3,9,1,6.5,3,0.1,26,238,0,72.6,73.5,69.0,63.6,67.3,0.0,0,1,64,0.3,1,347,3,48.1,43,96.3,334,5.2,18,117.8,64,5,94.8,329,617,337,7.8,14.3,1.85
Ryan Coleman-Williams,191142,WR,ALABAMA,12,11.8,8,64.1,50.0,4,8,0,18.0,9,0.11,25,103,0,36.0,43.6,66.3,,66.1,0.6,2,1,75,0.0,0,322,0,46.6,41,95.3,307,54.7,176,109.0,64,4,44.1,142,603,250,6.1,14.7,1.96
Gavin Harris,177032,TE,NEW MEX ST,12,9.9,4,57.8,47.1,8,17,0,9.8,4,-0.12,25,242,0,62.5,72.6,62.0,54.2,63.9,34.5,178,0,35,14.7,76,516,1,40.3,37,79.8,412,55.6,287,90.7,64,1,0.8,4,541,197,5.3,14.6,1.31
