player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Ellis McAdoo,190590,C,LOUISVILLE,1,100.0,0,210,60.0,,60.0,0,0,0,,,,0,0,0,2,2,0,0,2,0,0,0,0,2,0
Seth Knothe,163378,HB,BOISE ST,3,14.3,0,120,69.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,14,0,0,0,0,2,0
John Clifford,158692,G,WISCONSIN,1,100.0,0,349,60.0,,60.0,0,0,0,,,,0,0,0,2,0,1,1,2,0,0,0,0,2,0
Jarred Kerr,158656,S,TEXAS A&M,2,100.0,0,312,60.0,63.8,60.0,0,0,1,100.0,100.0,100.0,0,0,0,2,0,0,0,2,1,1,0,0,1,0
Peyton Fox,163592,TE,ALABAMA,1,100.0,0,103,59.9,,59.4,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,2
James Bailey,158641,G,NEW MEXICO,2,100.0,0,241,60.0,63.8,60.0,0,0,1,100.0,100.0,100.0,0,0,0,2,0,0,0,2,1,1,0,0,1,0
Brooks Edmonson,163628,C,ARKANSAS,2,100.0,0,111,60.0,,60.0,0,0,0,,,,0,0,0,2,0,1,0,2,0,0,1,0,2,0
D'Mon Brinson,158609,S,UCONN,2,100.0,0,146,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,0
Kyle Kloska,158589,C,ARMY,1,100.0,0,114,60.0,,60.0,0,0,0,,,,0,0,0,2,2,0,0,2,0,0,0,0,2,0
Chase Gillespie,163712,FB,VANDERBILT,1,66.7,0,333,56.1,,58.4,0,0,0,,,,0,0,0,2,0,0,0,3,0,0,0,0,2,0
Aquavious Dunbar,190721,LB,TULSA,2,100.0,0,320,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,0
Dwartney Wortham,158457,WR,UCF,1,50.0,0,323,56.0,,60.0,0,0,0,0.0,0.0,,0,0,0,2,0,0,0,4,0,2,0,0,2,0
Jaquan Lee,158446,WR,ARK STATE,1,50.0,0,113,58.2,,59.9,0,0,0,0.0,0.0,,0,0,0,2,0,0,0,4,0,2,0,0,2,0
Buddha Garrett,190727,S,TULSA,2,100.0,0,320,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,0
Makhi Hughes,158417,HB,OREGON,4,4.8,0,264,70.6,67.7,60.0,0,0,1,4.5,4.2,100.0,0,0,0,2,0,0,0,42,1,24,0,0,1,0
Jack Nickel,158394,TE,MIAMI FL,1,100.0,0,220,60.0,65.3,57.8,0,0,1,100.0,100.0,100.0,0,0,0,2,0,0,0,2,1,1,0,0,1,2
Ashton Williams,190754,S,TULSA,2,100.0,0,320,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,0
Jaden Ligon,190771,C,UAB,2,100.0,0,321,60.0,,59.3,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,1
Justin Wood,190822,LS,FIU,2,100.0,0,166,60.0,61.8,60.0,0,0,1,100.0,100.0,100.0,0,0,0,2,0,0,0,2,1,1,0,0,1,0
Jonathan Maldonado,158241,ED,NEVADA,2,100.0,2,239,60.0,,60.0,0,0,0,,,,5,0,0,2,0,0,0,2,0,0,0,0,2,0
Stone Combs,158235,LB,NEVADA,2,100.0,0,239,60.0,,60.0,0,0,0,,,,1,0,0,2,0,0,0,2,0,0,0,0,2,0
Tyson Rooks,158225,CB,ILLINOIS,2,100.0,0,187,60.0,,60.0,0,0,0,,,,1,0,0,2,0,0,0,2,0,0,0,0,2,0
Brennan Burton,189433,WR,MIAMI FL,1,66.7,0,220,58.1,,60.0,0,0,0,0.0,0.0,,0,0,0,2,0,0,0,3,0,1,0,0,2,0
James Kreutz,158211,LB,ILLINOIS,2,100.0,0,187,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,0
Xavier Bausley,163939,T,W VIRGINIA,1,100.0,0,343,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,2,2,0
Khalil Witherspoon,190984,WR,AKRON,1,100.0,0,102,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,0
Sam Benjamin,164058,DI,S DIEGO ST,3,66.7,0,284,59.9,63.9,60.0,0,0,0,,50.0,,0,0,0,2,0,0,0,3,1,2,0,0,1,2
Pierce St Geme,191020,WR,BOWL GREEN,1,100.0,0,122,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,0
Tyler Wigglesworth,164436,LS,ARIZONA ST,2,100.0,0,110,60.0,99.9,,0,0,1,100.0,100.0,100.0,0,0,0,2,0,0,0,2,2,2,0,0,0,0
Jack Burgess,164475,P,TEXAS TECH,2,100.0,0,315,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,0
Braeden Tillman-Jones,191048,WR,C MICHIGAN,1,100.0,0,134,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,0
Malcolm Kinzer,188888,WR,TENNESSEE,2,100.0,0,307,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,0
Owen van Loben Sels,188878,WR,STANFORD,1,100.0,0,300,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,0
Khalil Jacobs,157870,LB,MISSOURI,2,100.0,0,229,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,0
Pat Farrell,175961,DI,ILLINOIS,2,100.0,0,187,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,0
Manuel Serna,188846,G,S JOSE ST,1,100.0,0,285,60.0,66.4,60.0,0,0,1,100.0,100.0,100.0,0,0,0,2,0,0,2,2,1,1,0,0,1,0
Amari Jefferson,191132,WR,TENNESSEE,2,50.0,0,307,48.6,,38.3,0,0,0,0.0,0.0,,0,0,0,2,0,0,0,4,0,2,0,0,2,0
Noah Holmes,104560,LB,E CAROLINA,2,100.0,0,156,60.0,63.8,60.0,0,0,1,100.0,100.0,100.0,0,0,0,2,0,0,0,2,1,1,0,0,1,0
Makoni Manukainiu,188837,T,S JOSE ST,1,100.0,0,285,60.0,,59.7,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,2
Demetrie Morgan,168355,ED,N TEXAS,1,100.0,0,251,60.0,,58.5,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,2
Max Brown,157756,QB,W VIRGINIA,2,20.0,0,343,54.0,,60.0,0,0,0,0.0,0.0,,0,0,0,2,0,0,0,10,0,5,0,0,2,0
Mac Resetich,175962,S,ILLINOIS,2,100.0,0,187,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,0
Coleson Fields,176000,HB,NC STATE,3,10.5,0,248,61.3,73.1,60.0,0,0,1,11.1,11.1,100.0,0,0,0,2,0,0,0,19,1,9,0,0,1,0
Jack Harper,191188,TE,OLE MISS,2,100.0,0,226,60.5,,69.5,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,2
Raheim Jeter,169901,QB,E CAROLINA,1,50.0,0,156,61.3,,60.0,0,0,0,,,,0,0,0,2,0,0,0,4,0,0,0,0,2,0
Barry Manning,157476,LB,E MICHIGAN,2,100.0,0,160,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,0
Jason Marshall,157457,S,E MICHIGAN,2,100.0,0,160,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,0
Ethan Rhodes,157414,QB,NC STATE,1,100.0,0,248,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,0
Whit Muschamp,188521,QB,VANDERBILT,1,28.6,0,333,66.0,,60.0,0,0,0,0.0,0.0,,0,0,0,2,0,0,0,7,0,3,0,0,2,0
David Titone-Perez,188499,WR,UNLV,1,100.0,0,325,60.0,,59.9,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,0
Traivon Dyson,188485,WR,UNLV,1,100.0,0,325,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,0
Jaxson Moi,157280,DI,TENNESSEE,1,100.0,0,307,59.5,,58.5,0,0,0,,,,2,0,0,2,0,0,0,2,0,0,0,0,2,0
James Ferguson-Reynolds,157204,P,OREGON,5,40.0,0,264,55.3,,60.0,0,0,0,,0.0,,0,0,0,2,0,0,0,5,0,2,0,0,2,0
Braxton Fely,157202,DI,BOISE ST,2,100.0,0,120,60.0,,60.0,0,0,0,,,,2,0,0,2,0,0,0,2,0,0,0,0,2,2
Kingtriton Samuela,188382,G,GA SOUTHRN,1,100.0,0,174,60.0,74.7,,0,0,2,100.0,100.0,100.0,0,0,0,2,0,0,0,2,2,2,2,0,0,0
JJ Okate,193137,LB,CHARLOTTE,2,100.0,0,136,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,0
Cam Chmura,193213,DI,MARSHALL,2,100.0,0,214,60.0,60.5,60.0,0,0,1,100.0,100.0,100.0,2,0,0,2,0,0,0,2,1,1,0,0,1,0
Elijah Brown,157012,TE,KENTUCKY,1,100.0,0,202,60.0,,60.1,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,2
Shawn Murphy,157006,LB,S CAROLINA,2,100.0,0,289,60.0,99.9,,0,0,2,100.0,100.0,100.0,0,0,0,2,0,0,0,2,2,2,0,0,0,0
PaSean Wimberly,100221,HB,BOWL GREEN,4,8.3,0,122,70.3,72.2,60.0,0,0,1,7.7,6.7,100.0,0,0,0,2,0,0,0,24,1,15,0,0,1,0
Rino Monteforte,156987,LS,CAL,1,100.0,0,130,60.0,,60.0,0,0,0,,,,0,0,0,2,1,0,0,2,0,0,0,0,2,0
Rico Watson III,99809,ED,USF,2,100.0,0,327,60.0,63.8,60.0,0,0,1,100.0,100.0,100.0,4,0,0,2,0,0,0,2,1,1,0,0,1,0
Jaylen Sneed,156972,LB,NOTRE DAME,2,100.0,0,258,60.0,63.8,60.0,0,0,1,100.0,100.0,100.0,1,0,0,2,0,0,0,2,1,1,0,0,1,0
Keegan Bass,198043,WR,AIR FORCE,1,100.0,0,101,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,0
Omari Elias,198048,FB,AIR FORCE,1,100.0,0,101,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,0
Johnique Thomas,198070,G,AIR FORCE,1,100.0,0,101,60.0,,60.0,0,0,0,,,,0,0,0,2,0,2,0,2,0,0,0,0,2,0
J'ven Williams,170305,T,PENN STATE,2,100.0,0,266,60.0,66.5,60.0,0,0,0,,100.0,,0,0,0,2,0,1,0,2,1,1,0,1,1,0
Jahmari Powell-Wonson,188260,WR,MARYLAND,1,50.0,0,215,48.6,,60.0,0,0,0,0.0,0.0,,0,0,0,2,0,0,0,4,0,2,0,0,2,0
Roman Jensen,188253,QB,MARYLAND,1,66.7,0,215,53.3,,60.0,0,0,0,,,,0,0,0,2,0,0,0,3,0,0,0,0,2,0
Nate Merchant,156685,LS,COAST CAR,2,100.0,0,141,60.0,63.8,60.0,0,0,1,100.0,100.0,100.0,0,0,0,2,0,0,0,2,1,1,0,0,1,0
Aghogho Eyafe,170418,WR,JVILLE ST,1,66.7,0,196,41.8,,60.0,0,0,0,0.0,0.0,,0,0,0,2,0,0,0,3,0,1,0,0,2,0
Websley Etienne,156663,S,FIU,2,100.0,0,166,60.0,61.8,60.0,0,0,1,100.0,100.0,100.0,0,0,0,2,0,0,0,2,1,1,0,0,1,0
Jake DeHaan,176093,QB,TOLEDO,1,66.7,0,316,68.7,,60.0,0,0,0,,,,0,0,0,2,0,0,0,3,0,0,0,0,2,0
Jason Wright,198203,QB,BUFFALO,4,11.1,0,126,70.3,,60.0,0,0,0,,0.0,,0,0,0,2,0,0,0,18,0,1,0,0,2,0
Hunter Clegg,198217,ED,BYU,2,100.0,0,128,60.0,,60.1,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,0
Mike Higgins,156505,TE,RUTGERS,1,100.0,0,278,60.0,,59.6,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,2
Kellen Davis,198258,TE,CINCINNATI,1,100.0,0,138,61.5,,67.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,0
LJ Johnson Jr.,205408,WR,TEXAS ST,1,66.7,0,314,36.7,,60.0,0,0,0,0.0,0.0,,0,0,0,2,0,0,0,3,0,1,0,0,2,0
DaMari Witherspoon,198270,TE,CINCINNATI,1,100.0,0,138,58.5,,55.7,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,1
Jacob Fields,170457,S,LA TECH,2,25.0,0,208,56.3,,59.9,0,0,0,0.0,0.0,,3,0,0,2,0,0,0,8,0,5,0,0,2,0
K'saan Farrar,198321,QB,UCONN,1,40.0,0,146,66.6,,60.0,0,0,0,0.0,0.0,,0,0,0,2,0,0,0,5,0,3,0,0,2,0
Donmiel Rogers,198374,CB,E MICHIGAN,2,100.0,0,160,60.0,,60.1,0,0,0,,,,1,0,0,2,0,0,0,2,0,0,0,0,2,0
Ormond Wallace,198396,S,FIU,2,100.0,0,166,60.0,61.8,60.0,0,0,1,100.0,100.0,100.0,0,0,0,2,0,0,0,2,1,1,0,0,1,0
Christian Langford,198412,QB,FIU,2,50.0,0,166,59.9,,60.0,0,0,0,0.0,0.0,,0,0,0,2,0,0,0,4,0,1,0,0,2,0
Tucker McDonald,171056,QB,UCONN,2,33.3,0,146,80.0,,60.0,0,0,0,0.0,0.0,,0,0,0,2,0,0,0,6,0,3,0,0,2,0
Gabriel Iniguez Jr.,171068,DI,UTAH ST,2,100.0,0,329,60.0,63.8,59.7,0,0,1,100.0,100.0,100.0,0,0,0,2,0,0,0,2,1,1,0,0,1,0
