Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
134270-199609,QB,KJ,KJ Jackson,Jackson,7.960000038146973,1,8100,UGA@ARK,ARK,UGA,,,,,,QB/Super FLEX
134270-205947,RB,Fluff,Fluff Bothwell,Bothwell,15.699999809265137,2,8100,MSST@SCAR,MSST,SCAR,,,,,,RB/Super FLEX
134270-192228,WR,Keshaun,Keshaun Singleton,Singleton,9.050000190734863,2,8100,UF@AUB,AUB,UF,,,,,,WR/Super FLEX
134270-231615,WR,Tanook,Tanook Hines,Hines,8.800000190734863,1,8000,USC@RUT,USC,RUT,,,,,,WR/Super FLEX
134270-185103,QB,Kenny,Kenny Minchey,Minchey,17.34000015258789,2,8000,UK@TXAM,UK,TXAM,,,,,,QB/Super FLEX
134270-184265,RB,Rueben,Rueben Owens II,Owens II,10.949999809265137,2,8000,UK@TXAM,TXAM,UK,,,,,,RB/Super FLEX
134270-229391,RB,Ousmane,Ousmane Kromah,Kromah,18.850000381469727,2,7900,FSU@BAMA,FSU,BAMA,,,,,,RB/Super FLEX
134270-177305,WR,Braden,Braden Pegan,Pegan,14,2,7900,UTST@UTAH,UTAH,UTST,,,,,,WR/Super FLEX
134270-155379,QB,Billy,Billy Edwards Jr.,Edwards Jr.,8.880000114440918,1,7900,UNC@CLEM,UNC,CLEM,,,,,,QB/Super FLEX
134270-190896,WR,Nyck,Nyck Harbor,Harbor,9.5,1,7800,MSST@SCAR,SCAR,MSST,,,,,,WR/Super FLEX
134270-187400,RB,Jeremiah,Jeremiah Cobb,Cobb,10.600000381469727,2,7800,UF@AUB,AUB,UF,,,,,,RB/Super FLEX
134270-187983,RB,Keyjuan,Keyjuan Brown,Brown,6.599999904632568,1,7700,SMU@LOU,LOU,SMU,,,,,,RB/Super FLEX
134270-223215,WR,Vernell,Vernell Brown III,Brown III,22.100000381469727,1,7700,UF@AUB,UF,AUB,,,,,,WR/Super FLEX
134270-200728,QB,AJ,AJ Surace,Surace,11.239999771118164,2,7600,USC@RUT,RUT,USC,,,,,,QB/Super FLEX
134270-166549,RB,Xavier,Xavier Brown,Brown,22.799999237060547,1,7600,WVU@UVA,UVA,WVU,,,,,,RB/Super FLEX
