Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
134050-241788,QB,Faizon,Faizon Brandon,Brandon,39.84000015258789,1,11500,TENN@GT,TENN,GT,,,,,,QB/Super FLEX
134050-223168,QB,Kamario,Kamario Taylor,Taylor,42.060001373291016,1,11200,MSST@MINN,MSST,MINN,,,,,,QB/Super FLEX
134050-225823,QB,Mason,Mason Heintschel,Heintschel,48.41999816894531,1,10800,UCF@PITT,PITT,UCF,,,,,,QB/Super FLEX
134050-225658,RB,Nate,Nate Sheppard,Sheppard,36.099998474121094,1,10600,DUKE@ILL,DUKE,ILL,,,,,,RB/Super FLEX
134050-200755,WR,Jeremiah,Jeremiah Smith,Smith,31.600000381469727,1,10500,OSU@TEX,OSU,TEX,,,,,,WR/Super FLEX
134050-190651,QB,Dante,Dante Moore,Moore,26.6200008392334,1,10500,ORE@OKST,ORE,OKST,,,,,,QB/Super FLEX
134050-193016,QB,Marcel,Marcel Reed,Reed,19.31999969482422,1,10400,ASU@TXAM,TXAM,ASU,,,,,,QB/Super FLEX
134050-167634,QB,Katin,Katin Houser,Houser,28.18000030517578,1,10300,DUKE@ILL,ILL,DUKE,,,,,,QB/Super FLEX
134050-188980,RB,Kamari,Kamari Moulton,Moulton,30.299999237060547,1,10200,ISU@IOWA,IOWA,ISU,,,,,,RB/Super FLEX
134050-223959,QB,Keelon,Keelon Russell,Russell,22.34000015258789,1,10200,BAMA@UK,BAMA,UK,,,,,,QB/Super FLEX
134050-184472,QB,Gio,Gio Lopez,Lopez,29.899999618530273,1,10100,WAKE@PUR,WAKE,PUR,,,,,,QB/Super FLEX
134050-183495,QB,Arch,Arch Manning,Manning,27.799999237060547,1,10000,OSU@TEX,TEX,OSU,,,,,,QB/Super FLEX
134050-189837,RB,LJ,LJ Martin,Martin,18.76923076923077,13,9800,ARIZ@BYU,BYU,ARIZ,,,,,,RB/Super FLEX
134050-225796,QB,Bear,Bear Bachmeier,Bachmeier,20.701429094587052,14,9700,ARIZ@BYU,BYU,ARIZ,,,,,,QB/Super FLEX
134050-174824,QB,John,John Mateer,Mateer,21.700000762939453,1,9600,OU@MICH,OU,MICH,,,,,,QB/Super FLEX
134050-226073,WR,Dakorien,Dakorien Moore,Moore,18.299999237060547,1,9600,ORE@OKST,ORE,OKST,,,,,,WR/Super FLEX
134050-169380,QB,Steve,Steve Angeli,Angeli,16.03333282470703,3,9500,CAL@SYR,SYR,CAL,,,,,,QB/Super FLEX
134050-200748,QB,Julian,Julian Sayin,Sayin,29.899999618530273,1,9400,OSU@TEX,OSU,TEX,,,,,,QB/Super FLEX
134050-200801,RB,Adam,Adam Mohammed,Mohammed,26.100000381469727,1,9400,CAL@SYR,CAL,SYR,,,,,,RB/Super FLEX
134050-199743,WR,Mike,Mike Matthews,Matthews,27.200000762939453,1,9400,TENN@GT,TENN,GT,,,,,,WR/Super FLEX
